Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,6.00,6.20,6.00,6.05,12863140.00,
2017-03-02,6.10,6.10,6.00,6.00,21089100.00,
2017-03-01,6.10,6.10,6.05,6.05,5978300.00,
2017-02-28,6.05,6.10,6.00,6.05,12344870.00,
2017-02-27,6.10,6.15,6.00,6.00,35575580.00,
2017-02-24,6.15,6.15,6.10,6.10,5996100.00,
2017-02-23,6.15,6.20,6.10,6.15,5471400.00,
2017-02-22,6.15,6.20,6.05,6.10,42814800.00,
2017-02-21,6.20,6.25,6.15,6.15,4878690.00,
2017-02-20,6.20,6.25,6.15,6.15,5411100.00,
2017-02-17,6.15,6.25,6.15,6.20,7929400.00,
2017-02-16,6.25,6.25,6.15,6.15,5273250.00,
2017-02-15,6.15,6.25,6.10,6.20,8721350.00,
2017-02-14,6.20,6.25,6.15,6.15,5243600.00,
2017-02-10,6.20,6.30,6.20,6.20,10556230.00,
2017-02-09,6.15,6.35,6.10,6.20,30281410.00,
2017-02-08,6.15,6.20,6.10,6.10,9524110.00,
2017-02-07,6.20,6.20,6.05,6.10,58085650.00,
2017-02-06,6.20,6.25,6.15,6.20,13158130.00,
2017-02-03,6.30,6.35,6.25,6.25,13017820.00,
2017-02-02,6.40,6.40,6.30,6.30,12648200.00,
2017-02-01,6.20,6.40,6.20,6.40,40063110.00,
2017-01-31,6.10,6.20,6.10,6.10,19223760.00,
2017-01-30,6.20,6.25,6.10,6.15,26806650.00,
2017-01-27,6.20,6.30,5.95,6.20,116472860.00,
2017-01-26,6.60,6.70,6.45,6.50,33263420.00,
2017-01-25,6.70,6.75,6.55,6.60,71376950.00,
2017-01-24,6.50,6.75,6.50,6.70,117115850.00,
2017-01-23,6.50,6.55,6.40,6.50,14202430.00,
2017-01-20,6.45,6.55,6.40,6.50,24531060.00,
2017-01-19,6.50,6.50,6.40,6.45,23486830.00,
2017-01-18,6.45,6.50,6.40,6.45,18726110.00,
2017-01-17,6.50,6.55,6.40,6.45,27904900.00,
2017-01-16,6.40,6.55,6.35,6.50,29830990.00,
2017-01-13,6.40,6.45,6.35,6.40,11087820.00,
2017-01-12,6.50,6.50,6.35,6.40,17881970.00,
2017-01-11,6.55,6.60,6.45,6.45,42095440.00,
2017-01-10,6.55,6.60,6.40,6.55,40700030.00,
2017-01-09,6.55,6.65,6.45,6.55,89284640.00,
2017-01-06,6.20,6.45,6.15,6.45,87493950.00,
2017-01-05,6.10,6.20,6.05,6.15,26283740.00,
2017-01-04,6.10,6.20,6.05,6.10,17925270.00,
2016-12-30,6.10,6.20,6.00,6.05,29498580.00,
2016-12-29,6.15,6.20,6.10,6.10,14035030.00,
2016-12-28,6.05,6.20,6.05,6.15,12262630.00,
2016-12-27,6.05,6.10,5.95,6.05,35109720.00,
2016-12-26,6.05,6.20,6.05,6.05,36729940.00,
2016-12-23,6.05,6.10,6.00,6.05,20581400.00,
2016-12-22,6.10,6.10,6.00,6.00,19991820.00,
2016-12-21,6.15,6.20,6.05,6.10,21197420.00,
2016-12-20,6.20,6.25,6.15,6.15,4712610.00,
2016-12-19,6.25,6.30,6.20,6.20,11618420.00,
2016-12-16,6.20,6.35,6.15,6.20,27737100.00,
2016-12-15,6.25,6.35,6.10,6.15,48587630.00,
2016-12-14,6.25,6.30,6.15,6.25,16003770.00,
2016-12-13,6.35,6.35,6.20,6.25,15686380.00,
2016-12-09,6.40,6.45,6.30,6.30,15449820.00,
2016-12-08,6.55,6.55,6.35,6.40,16840810.00,
2016-12-07,6.35,6.45,6.30,6.40,21537840.00,
2016-12-06,6.25,6.40,6.20,6.30,28598470.00,
2016-12-02,6.40,6.50,6.25,6.25,32377200.00,
2016-12-01,6.55,6.55,6.35,6.40,57553220.00,
2016-11-30,6.60,6.60,6.50,6.55,15759580.00,
2016-11-29,6.60,6.65,6.50,6.55,41170940.00,
2016-11-28,6.65,6.70,6.55,6.55,29431400.00,
2016-11-25,6.50,6.65,6.45,6.60,65396910.00,
2016-11-24,6.50,6.60,6.45,6.45,35890100.00,
2016-11-23,6.75,6.75,6.40,6.50,151365820.00,
2016-11-22,6.60,6.80,6.55,6.75,34861600.00,
2016-11-21,6.75,6.90,6.65,6.70,48861840.00,
2016-11-18,6.90,6.90,6.65,6.80,81860430.00,
2016-11-17,6.90,6.95,6.85,6.95,31494750.00,
2016-11-16,6.95,7.00,6.90,6.90,25472300.00,
2016-11-15,6.95,7.00,6.85,6.90,48462010.00,
2016-11-14,7.00,7.05,6.90,6.90,42005410.00,
2016-11-11,7.20,7.25,7.05,7.05,38631980.00,
2016-11-10,7.25,7.35,7.10,7.15,69254180.00,
2016-11-09,7.00,7.25,6.90,7.10,105248430.00,
2016-11-08,7.15,7.20,7.00,7.05,43563570.00,
2016-11-07,7.20,7.25,7.10,7.10,41637810.00,
2016-11-04,7.20,7.20,7.05,7.15,52341710.00,
2016-11-03,7.35,7.40,7.15,7.20,88850950.00,
2016-11-02,7.15,7.30,7.10,7.30,52820450.00,
2016-11-01,7.10,7.30,7.10,7.10,117814890.00,
2016-10-31,6.95,7.10,6.90,7.05,73699980.00,
2016-10-28,6.85,7.00,6.80,6.90,25666850.00,
2016-10-27,6.90,6.95,6.80,6.80,31537430.00,
2016-10-26,6.95,7.00,6.90,6.90,18421860.00,
2016-10-25,7.10,7.10,6.90,6.95,55211290.00,
2016-10-21,6.85,7.10,6.80,7.05,114666770.00,
2016-10-20,7.00,7.00,6.75,6.80,67398640.00,
2016-10-19,6.65,7.10,6.65,6.95,107020870.00,
2016-10-18,6.75,6.85,6.60,6.70,25793270.00,
2016-10-17,6.55,6.80,6.50,6.75,60623440.00,
2016-10-14,6.40,6.90,6.20,6.75,163911560.00,
2016-10-13,6.00,6.25,5.60,6.10,133334340.00,
2016-10-12,6.30,6.30,5.35,6.05,205442640.00,
2016-10-11,6.75,6.80,6.25,6.40,89458160.00,
2016-10-10,6.60,6.90,6.50,6.70,78709870.00,
2016-10-07,7.05,7.10,6.95,7.05,24621800.00,
2016-10-06,7.00,7.10,6.95,7.05,18646900.00,
2016-10-05,7.10,7.10,7.00,7.00,15636680.00,
2016-10-04,7.10,7.10,6.95,7.05,51214100.00,
2016-10-03,7.10,7.15,7.00,7.05,15460180.00,
2016-09-30,7.10,7.15,6.90,7.15,30271400.00,
2016-09-29,7.15,7.15,7.10,7.15,8909560.00,
2016-09-28,7.15,7.20,7.05,7.15,44793010.00,
2016-09-27,7.05,7.20,7.05,7.10,30586980.00,
2016-09-26,7.05,7.10,7.00,7.05,40876110.00,
2016-09-23,7.20,7.25,7.05,7.10,62813480.00,
2016-09-22,7.15,7.25,7.15,7.20,39480880.00,
2016-09-21,7.20,7.25,7.10,7.10,39698430.00,
2016-09-20,7.40,7.40,7.05,7.15,95251970.00,
2016-09-19,7.05,7.35,7.05,7.35,106795710.00,
2016-09-16,7.05,7.15,7.00,7.00,52083560.00,
2016-09-15,7.05,7.10,7.00,7.00,39055320.00,
2016-09-14,7.05,7.15,6.95,7.05,43087960.00,
2016-09-13,7.05,7.10,6.90,7.10,36057440.00,
2016-09-12,6.80,7.05,6.80,6.90,54103800.00,
2016-09-09,6.95,7.10,6.80,7.10,67078550.00,
