Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,169.50,171.50,169.50,170.00,11465300.00,
2017-02-08,164.00,171.00,163.50,170.50,28112070.00,
2017-02-07,161.50,164.50,161.00,163.50,11258200.00,
2017-02-06,160.50,162.00,158.50,161.50,9703670.00,
2017-02-03,160.00,160.50,159.00,160.50,4899390.00,
2017-02-02,160.50,161.50,160.00,160.50,2836130.00,
2017-02-01,158.00,161.00,157.00,160.50,7224750.00,
2017-01-31,161.00,161.00,158.50,159.00,8657720.00,
2017-01-30,162.00,163.00,162.00,162.00,3393230.00,
2017-01-27,162.00,164.50,161.00,163.00,7140200.00,
2017-01-26,163.50,164.00,161.50,162.50,9684620.00,
2017-01-25,155.50,162.00,155.00,161.50,17186900.00,
2017-01-24,155.50,156.00,155.00,155.00,5033080.00,
2017-01-23,155.50,156.50,155.00,155.00,1847220.00,
2017-01-20,155.00,156.50,154.50,155.50,3758740.00,
2017-01-19,155.00,156.00,154.50,155.00,3780370.00,
2017-01-18,156.50,157.00,155.00,155.00,4498790.00,
2017-01-17,155.00,156.50,154.50,156.50,5449700.00,
2017-01-16,154.50,156.50,154.00,155.50,4749940.00,
2017-01-13,154.50,155.50,153.00,155.00,4885120.00,
2017-01-12,155.50,156.00,153.50,154.00,7292000.00,
2017-01-11,153.50,156.50,153.00,155.00,12044640.00,
2017-01-10,151.00,153.50,151.00,153.00,4839960.00,
2017-01-09,153.00,153.00,150.50,151.00,5734820.00,
2017-01-06,154.00,154.00,152.50,152.50,6743660.00,
2017-01-05,150.50,154.00,150.00,153.50,15874830.00,
2017-01-04,147.00,150.00,147.00,149.50,7240240.00,
2016-12-30,147.00,148.00,147.00,147.00,3442320.00,
2016-12-29,145.00,147.50,144.50,147.00,5940040.00,
2016-12-28,144.50,145.00,144.00,144.50,2412470.00,
2016-12-27,145.50,145.50,144.00,144.00,2124480.00,
2016-12-26,145.00,145.50,144.50,145.00,2573060.00,
2016-12-23,145.00,145.50,144.00,144.50,3364750.00,
2016-12-22,145.50,145.50,144.50,145.00,2351410.00,
2016-12-21,146.00,146.00,145.00,145.00,1868670.00,
2016-12-20,146.50,147.00,145.00,145.00,3268590.00,
2016-12-19,146.00,147.50,145.50,146.50,1984790.00,
2016-12-16,147.00,147.50,146.50,146.50,3379650.00,
2016-12-15,146.00,148.00,145.50,147.50,3722700.00,
2016-12-14,147.50,147.50,146.50,146.50,2753790.00,
2016-12-13,147.00,148.00,145.00,147.50,6165580.00,
2016-12-09,148.50,148.50,147.00,147.00,3515570.00,
2016-12-08,146.50,148.50,146.00,147.00,9193780.00,
2016-12-07,144.50,146.00,143.50,145.50,5500990.00,
2016-12-06,142.50,144.00,142.00,144.00,2813970.00,
2016-12-02,142.50,143.50,141.50,142.00,4941740.00,
2016-12-01,144.50,145.00,142.50,143.00,6525750.00,
2016-11-30,145.00,145.50,144.00,144.50,7405330.00,
2016-11-29,145.00,147.00,145.00,145.00,7966710.00,
2016-11-28,145.00,145.50,144.50,144.50,2817470.00,
2016-11-25,143.50,145.00,143.50,144.50,4174820.00,
2016-11-24,144.00,146.00,143.00,143.50,5049050.00,
2016-11-23,142.00,144.00,141.00,144.00,9794540.00,
2016-11-22,144.00,144.00,142.00,142.00,8024480.00,
2016-11-21,143.50,145.00,143.50,143.50,5142800.00,
2016-11-18,143.50,144.50,143.00,143.50,6574600.00,
2016-11-17,144.00,145.00,143.50,143.50,6055470.00,
2016-11-16,147.00,147.50,143.50,144.00,11709040.00,
2016-11-15,146.50,147.50,146.00,146.50,6678840.00,
2016-11-14,148.00,148.50,146.00,146.00,10094260.00,
2016-11-11,150.00,150.00,148.50,149.00,9497610.00,
2016-11-10,153.00,153.50,150.50,150.50,9336250.00,
2016-11-09,151.50,153.50,150.50,152.50,11056410.00,
2016-11-08,152.00,154.50,151.50,153.00,9092710.00,
2016-11-07,154.00,154.00,151.00,151.00,10537000.00,
2016-11-04,153.00,154.50,152.00,153.00,5141140.00,
2016-11-03,154.00,155.50,153.50,153.50,3329790.00,
2016-11-02,154.50,155.50,154.00,154.00,1734090.00,
2016-11-01,154.00,157.00,153.50,154.00,5311430.00,
2016-10-31,154.50,155.00,153.00,153.50,4504580.00,
2016-10-28,156.00,156.50,155.00,155.00,3583350.00,
2016-10-27,156.00,157.00,155.50,156.00,3035670.00,
2016-10-26,157.00,157.00,156.00,156.50,2147570.00,
2016-10-25,156.50,158.00,156.00,156.50,5315910.00,
2016-10-21,156.50,156.50,155.50,156.50,4290560.00,
2016-10-20,156.50,157.00,156.00,156.50,5521750.00,
2016-10-19,155.00,157.00,154.00,156.00,6714850.00,
2016-10-18,156.50,157.00,155.00,155.50,6006480.00,
2016-10-17,156.00,158.00,155.00,157.00,6274220.00,
2016-10-14,158.00,158.50,155.00,157.00,14132690.00,
2016-10-13,147.00,151.00,144.00,150.50,20211970.00,
2016-10-12,152.00,153.00,141.00,150.00,23566060.00,
2016-10-11,156.00,156.50,152.50,153.00,12670320.00,
2016-10-10,155.00,158.00,155.00,156.00,12306380.00,
2016-10-07,161.50,162.00,159.50,160.00,5748540.00,
2016-10-06,163.50,163.50,161.00,161.50,6294800.00,
2016-10-05,164.00,164.00,162.00,163.50,5076920.00,
2016-10-04,161.00,163.00,161.00,163.00,4471290.00,
2016-10-03,160.50,161.50,160.50,161.00,2334880.00,
2016-09-30,161.50,161.50,160.00,160.00,4384250.00,
2016-09-29,161.50,162.50,160.50,162.00,5338020.00,
2016-09-28,162.50,163.00,160.00,160.00,5781340.00,
2016-09-27,162.50,163.50,161.50,162.00,4799400.00,
2016-09-26,161.00,162.50,160.50,161.50,5505860.00,
2016-09-23,163.50,163.50,161.00,162.50,6902090.00,
2016-09-22,165.00,165.50,163.00,163.00,8685730.00,
2016-09-21,163.50,165.00,162.00,163.00,8494990.00,
2016-09-20,166.00,166.00,162.00,163.00,8619380.00,
2016-09-19,166.00,168.00,165.00,166.00,11106820.00,
2016-09-16,162.00,165.50,162.00,165.00,13815680.00,
2016-09-15,158.00,162.00,157.50,160.50,8352700.00,
2016-09-14,157.50,159.00,156.50,158.00,5832290.00,
2016-09-13,155.00,158.00,155.00,158.00,7325080.00,
2016-09-12,154.00,156.00,153.00,153.00,9639620.00,
2016-09-09,158.50,159.00,155.50,156.50,8507850.00,
