Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,38.50,38.75,38.00,38.25,37763220.00,
2017-03-02,39.00,39.25,38.75,38.75,13416140.00,
2017-03-01,39.00,39.00,38.50,39.00,16206020.00,
2017-02-28,39.00,39.00,38.75,38.75,10696630.00,
2017-02-27,38.75,39.25,38.50,38.75,14765320.00,
2017-02-24,39.00,39.25,38.75,38.75,16222310.00,
2017-02-23,39.50,39.75,38.50,38.75,55935840.00,
2017-02-22,39.50,40.00,39.25,39.75,26920020.00,
2017-02-21,40.00,40.25,39.25,39.25,37413000.00,
2017-02-20,40.00,40.25,39.75,40.25,28226700.00,
2017-02-17,40.00,40.25,39.50,40.00,95951420.00,
2017-02-16,39.50,40.25,39.25,39.75,133221980.00,
2017-02-15,37.75,39.25,37.25,39.00,290296860.00,
2017-02-14,40.50,40.75,39.00,39.50,117281270.00,
2017-02-10,40.75,41.00,40.25,40.50,43112340.00,
2017-02-09,42.50,42.50,40.25,40.25,121521080.00,
2017-02-08,412.00,422.00,412.00,420.00,9659770.00,
2017-02-07,414.00,416.00,408.00,412.00,4514570.00,
2017-02-06,416.00,422.00,410.00,414.00,6325060.00,
2017-02-03,416.00,416.00,414.00,416.00,1479060.00,
2017-02-02,412.00,418.00,410.00,416.00,5535260.00,
2017-02-01,414.00,414.00,408.00,412.00,2957790.00,
2017-01-31,408.00,418.00,406.00,414.00,10115060.00,
2017-01-30,408.00,412.00,404.00,408.00,4047630.00,
2017-01-27,408.00,410.00,404.00,406.00,3143910.00,
2017-01-26,402.00,412.00,399.00,408.00,12072870.00,
2017-01-25,399.00,400.00,397.00,398.00,4149570.00,
2017-01-24,394.00,402.00,394.00,398.00,8006600.00,
2017-01-23,394.00,395.00,392.00,393.00,1590200.00,
2017-01-20,393.00,395.00,392.00,394.00,2733830.00,
2017-01-19,393.00,395.00,391.00,394.00,2513000.00,
2017-01-18,395.00,396.00,392.00,392.00,1996120.00,
2017-01-17,394.00,395.00,394.00,394.00,1031340.00,
2017-01-16,392.00,395.00,392.00,394.00,1586810.00,
2017-01-13,393.00,394.00,391.00,393.00,2400650.00,
2017-01-12,392.00,395.00,391.00,392.00,1845580.00,
2017-01-11,393.00,394.00,391.00,391.00,3381770.00,
2017-01-10,392.00,395.00,392.00,393.00,1769610.00,
2017-01-09,394.00,396.00,394.00,394.00,1516360.00,
2017-01-06,396.00,397.00,394.00,394.00,3750000.00,
2017-01-05,399.00,400.00,396.00,396.00,3639620.00,
2017-01-04,399.00,402.00,397.00,398.00,3234220.00,
2016-12-30,397.00,400.00,397.00,398.00,2206010.00,
2016-12-29,395.00,398.00,394.00,396.00,3073520.00,
2016-12-28,394.00,395.00,393.00,394.00,1758500.00,
2016-12-27,395.00,395.00,392.00,393.00,2089710.00,
2016-12-26,391.00,397.00,390.00,394.00,2108620.00,
2016-12-23,389.00,390.00,387.00,388.00,1535040.00,
