Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,7.30,7.40,7.20,7.40,6894700.00,
2017-03-02,7.40,7.40,7.25,7.30,5541630.00,
2017-03-01,7.15,7.40,7.15,7.40,5404980.00,
2017-02-28,7.20,7.30,7.15,7.15,7227640.00,
2017-02-27,7.25,7.30,7.20,7.20,3612130.00,
2017-02-24,7.35,7.40,7.25,7.25,5457800.00,
2017-02-23,7.40,7.45,7.30,7.45,4470860.00,
2017-02-22,7.40,7.40,7.25,7.35,6545380.00,
2017-02-21,7.45,7.45,7.35,7.40,3166640.00,
2017-02-20,7.45,7.45,7.35,7.45,1576500.00,
2017-02-17,7.40,7.45,7.35,7.45,3686600.00,
2017-02-16,7.35,7.45,7.30,7.40,5007240.00,
2017-02-15,7.35,7.40,7.35,7.40,2836030.00,
2017-02-14,7.45,7.45,7.30,7.40,8977180.00,
2017-02-10,7.45,7.45,7.30,7.40,4821220.00,
2017-02-09,7.30,7.40,7.30,7.40,4191200.00,
2017-02-08,7.20,7.40,7.15,7.30,4395910.00,
2017-02-07,7.20,7.25,7.05,7.25,8686530.00,
2017-02-06,7.35,7.35,7.20,7.20,10840720.00,
2017-02-03,7.25,7.40,7.20,7.35,4434480.00,
2017-02-02,7.30,7.30,7.15,7.25,9805450.00,
2017-02-01,7.30,7.40,7.25,7.30,10778640.00,
2017-01-31,7.40,7.45,7.30,7.40,5872930.00,
2017-01-30,7.30,7.40,7.30,7.35,4217370.00,
2017-01-27,7.45,7.50,7.25,7.30,12267430.00,
2017-01-26,7.70,7.70,7.50,7.50,9777280.00,
2017-01-25,7.60,7.75,7.60,7.75,10949960.00,
2017-01-24,7.65,7.65,7.50,7.55,7242360.00,
2017-01-23,7.40,7.65,7.40,7.65,8907080.00,
2017-01-20,7.30,7.45,7.30,7.40,4467880.00,
2017-01-19,7.50,7.55,7.25,7.30,11568370.00,
2017-01-18,7.55,7.60,7.50,7.55,10666010.00,
2017-01-17,7.55,7.55,7.50,7.50,2809700.00,
2017-01-16,7.65,7.65,7.50,7.55,3348460.00,
2017-01-13,7.70,7.70,7.55,7.65,4647780.00,
2017-01-12,7.75,7.75,7.60,7.70,14292300.00,
2017-01-11,7.50,7.80,7.50,7.75,29367620.00,
2017-01-10,7.35,7.50,7.30,7.45,6461580.00,
2017-01-09,7.30,7.40,7.25,7.30,3920970.00,
2017-01-06,7.40,7.40,7.30,7.35,4113530.00,
2017-01-05,7.45,7.50,7.35,7.40,3766940.00,
2017-01-04,7.40,7.50,7.30,7.45,6001230.00,
2016-12-30,7.30,7.50,7.05,7.50,45162750.00,
2016-12-29,7.35,7.55,7.20,7.45,17028820.00,
2016-12-28,7.35,7.45,7.30,7.40,60002100.00,
2016-12-27,7.10,7.30,7.05,7.30,10802110.00,
2016-12-26,7.05,7.10,7.00,7.10,7676150.00,
2016-12-23,6.80,7.05,6.80,7.00,10479250.00,
2016-12-22,6.75,6.85,6.75,6.85,5337550.00,
2016-12-21,6.75,6.85,6.70,6.75,5912640.00,
2016-12-20,6.85,6.90,6.75,6.75,3909760.00,
2016-12-19,6.95,6.95,6.80,6.90,2791570.00,
2016-12-16,6.80,6.95,6.75,6.95,5455650.00,
2016-12-15,6.80,6.90,6.75,6.80,5762780.00,
2016-12-14,6.80,6.90,6.75,6.85,6874910.00,
2016-12-13,6.80,6.85,6.75,6.80,3995300.00,
2016-12-09,6.80,6.90,6.75,6.80,4496280.00,
2016-12-08,6.80,6.90,6.75,6.85,6975880.00,
2016-12-07,6.75,6.85,6.65,6.80,7533210.00,
2016-12-06,6.75,6.75,6.65,6.70,4079470.00,
2016-12-02,6.75,6.80,6.75,6.75,1769510.00,
2016-12-01,6.95,6.95,6.75,6.75,9829990.00,
2016-11-30,6.80,7.00,6.80,7.00,2980560.00,
2016-11-29,6.70,6.90,6.70,6.85,4734620.00,
2016-11-28,6.80,6.85,6.70,6.70,3487230.00,
2016-11-25,6.75,6.85,6.75,6.80,2499790.00,
2016-11-24,6.85,6.85,6.75,6.75,1625660.00,
2016-11-23,6.75,6.95,6.70,6.90,4837040.00,
2016-11-22,6.75,6.75,6.70,6.70,4636290.00,
2016-11-21,6.70,6.80,6.65,6.70,1972860.00,
2016-11-18,6.80,6.80,6.65,6.70,5645420.00,
2016-11-17,6.75,6.90,6.75,6.80,4668230.00,
2016-11-16,6.85,6.85,6.70,6.80,8973480.00,
2016-11-15,6.80,6.90,6.70,6.80,7342890.00,
2016-11-14,7.00,7.00,6.75,6.80,9112100.00,
2016-11-11,7.00,7.05,6.90,7.00,6307960.00,
2016-11-10,7.05,7.10,7.00,7.05,4994160.00,
2016-11-09,7.00,7.05,6.90,7.00,6946810.00,
2016-11-08,7.00,7.10,6.95,7.05,5124710.00,
2016-11-07,7.00,7.10,6.95,7.00,5407800.00,
2016-11-04,7.00,7.05,6.90,7.00,3269510.00,
2016-11-03,6.90,7.05,6.90,7.00,4778810.00,
2016-11-02,6.95,7.05,6.90,6.95,5650930.00,
2016-11-01,7.15,7.15,6.85,6.95,14289470.00,
2016-10-31,7.05,7.20,7.05,7.10,701300.00,
2016-10-28,7.15,7.20,7.10,7.10,2589770.00,
2016-10-27,7.15,7.20,7.10,7.15,3243300.00,
2016-10-26,7.15,7.25,7.10,7.15,4031970.00,
2016-10-25,7.10,7.20,7.05,7.15,6523960.00,
2016-10-21,7.15,7.15,7.05,7.05,11955220.00,
2016-10-20,6.95,7.25,6.90,7.20,10161730.00,
2016-10-19,6.85,7.00,6.80,6.95,8844040.00,
2016-10-18,6.85,6.90,6.80,6.90,4124730.00,
2016-10-17,6.80,7.00,6.75,6.80,15525400.00,
2016-10-14,7.00,7.10,6.75,6.80,22527380.00,
2016-10-13,6.70,6.70,6.45,6.70,11990280.00,
2016-10-12,6.80,6.90,5.50,6.85,33578550.00,
2016-10-11,6.90,7.00,6.75,6.90,23342400.00,
2016-10-10,6.80,6.95,6.70,6.85,27779390.00,
2016-10-07,7.15,7.20,7.05,7.05,8884090.00,
2016-10-06,7.35,7.35,7.10,7.10,27200160.00,
2016-10-05,7.15,7.35,7.10,7.35,9815820.00,
2016-10-04,7.15,7.20,7.10,7.20,9868740.00,
2016-10-03,7.25,7.30,7.10,7.10,4946010.00,
2016-09-30,7.15,7.25,7.10,7.25,8413680.00,
2016-09-29,7.20,7.30,7.20,7.25,14780970.00,
2016-09-28,7.30,7.30,7.05,7.05,11266530.00,
2016-09-27,7.25,7.30,7.20,7.25,3679490.00,
2016-09-26,7.30,7.35,7.20,7.20,4296870.00,
2016-09-23,7.25,7.40,7.15,7.35,20673070.00,
2016-09-22,7.25,7.30,7.20,7.25,7811930.00,
2016-09-21,7.20,7.25,7.15,7.20,13967470.00,
2016-09-20,7.30,7.30,7.15,7.15,3698010.00,
2016-09-19,7.20,7.30,7.15,7.30,5884310.00,
2016-09-16,7.25,7.25,7.05,7.20,41794040.00,
2016-09-15,7.15,7.25,7.10,7.25,5801630.00,
2016-09-14,7.05,7.25,7.00,7.15,7876560.00,
2016-09-13,7.00,7.25,7.00,7.15,12197610.00,
2016-09-12,7.00,7.10,6.90,6.90,8966520.00,
2016-09-09,7.10,7.30,6.90,7.20,22212690.00,
