Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,20.10,20.10,19.90,20.00,5168550.00,
2017-03-02,19.90,20.10,19.80,20.10,12308760.00,
2017-03-01,19.80,19.90,19.50,19.80,12936900.00,
2017-02-28,20.20,20.20,19.60,19.70,13303140.00,
2017-02-27,20.50,20.50,19.90,20.10,13380220.00,
2017-02-24,20.40,20.60,20.20,20.50,8003390.00,
2017-02-23,20.50,20.60,20.30,20.40,4850830.00,
2017-02-22,20.60,20.60,20.40,20.60,4696180.00,
2017-02-21,21.30,21.30,20.40,20.50,21195810.00,
2017-02-20,21.30,21.40,21.20,21.20,2200960.00,
2017-02-17,21.50,21.50,21.10,21.30,4635510.00,
2017-02-16,21.50,21.60,21.20,21.30,2053660.00,
2017-02-15,21.50,21.50,21.30,21.50,2422380.00,
2017-02-14,21.70,21.70,21.30,21.40,2297210.00,
2017-02-10,21.50,21.70,21.50,21.60,3068350.00,
2017-02-09,21.30,21.50,21.30,21.40,3457400.00,
2017-02-08,21.40,21.40,21.10,21.30,5165450.00,
2017-02-07,21.30,21.70,21.20,21.40,4573150.00,
2017-02-06,21.50,21.70,21.10,21.20,13082400.00,
2017-02-03,21.50,21.80,21.50,21.50,3707810.00,
2017-02-02,21.60,21.80,21.50,21.50,3629780.00,
2017-02-01,21.90,21.90,21.30,21.30,16482460.00,
2017-01-31,21.90,22.00,21.80,22.00,3160550.00,
2017-01-30,21.80,22.10,21.80,21.90,5171210.00,
2017-01-27,22.00,22.30,21.60,21.70,37681550.00,
2017-01-26,23.00,23.10,22.70,22.80,6135160.00,
2017-01-25,22.80,22.90,22.50,22.90,5413060.00,
2017-01-24,22.30,22.80,22.30,22.70,5511740.00,
2017-01-23,22.40,22.50,22.30,22.30,3284780.00,
2017-01-20,22.30,22.40,22.20,22.30,4961800.00,
2017-01-19,22.30,22.40,22.20,22.30,4573500.00,
2017-01-18,22.30,22.40,22.20,22.20,10389200.00,
2017-01-17,22.60,22.60,22.30,22.30,6765950.00,
