Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,19.10,19.30,18.70,18.70,75413490.00,
2017-02-08,19.10,19.20,19.00,19.10,40622780.00,
2017-02-07,19.20,19.30,19.10,19.10,20817310.00,
2017-02-06,19.20,19.50,19.10,19.20,45993720.00,
2017-02-03,19.20,19.30,18.90,19.20,72409860.00,
2017-02-02,19.30,19.40,19.10,19.20,29104830.00,
2017-02-01,19.50,19.60,19.20,19.30,37037690.00,
2017-01-31,19.20,19.60,19.10,19.40,65204020.00,
2017-01-30,19.60,19.70,19.10,19.20,69037890.00,
2017-01-27,19.60,19.80,19.40,19.60,29492840.00,
2017-01-26,20.10,20.10,19.60,19.60,56173070.00,
2017-01-25,19.80,20.10,19.80,20.00,79713840.00,
2017-01-24,19.60,19.90,19.60,19.70,44665020.00,
2017-01-23,19.50,19.80,19.50,19.50,36618020.00,
2017-01-20,19.20,19.50,19.20,19.30,32306420.00,
2017-01-19,19.40,19.50,19.10,19.30,46137860.00,
2017-01-18,19.50,19.80,19.40,19.40,43173960.00,
2017-01-17,19.70,19.80,19.40,19.50,32384710.00,
2017-01-16,19.60,19.70,19.30,19.60,67764480.00,
2017-01-13,19.70,19.80,19.60,19.60,51481460.00,
2017-01-12,20.00,20.10,19.50,19.70,71083260.00,
2017-01-11,20.20,20.50,19.80,19.80,135318290.00,
2017-01-10,19.60,20.30,19.60,20.30,125297100.00,
2017-01-09,20.10,20.20,19.60,19.70,141493100.00,
2017-01-06,19.70,20.20,19.50,20.10,166146210.00,
2017-01-05,19.90,20.00,19.60,19.60,101579920.00,
2017-01-04,19.20,20.00,19.00,19.90,126842310.00,
2016-12-30,19.20,19.20,18.80,19.20,62157530.00,
2016-12-29,18.80,19.10,18.80,18.90,60927530.00,
2016-12-28,18.90,18.90,18.60,18.70,27429040.00,
2016-12-27,18.60,18.90,18.50,18.80,34318670.00,
2016-12-26,18.70,18.80,18.50,18.50,18855130.00,
2016-12-23,18.40,18.90,18.30,18.70,39312250.00,
2016-12-22,18.50,18.60,18.30,18.30,20381730.00,
2016-12-21,18.60,18.70,18.50,18.50,13279120.00,
2016-12-20,18.80,18.80,18.50,18.50,41074580.00,
2016-12-19,18.70,19.00,18.60,18.90,33995650.00,
2016-12-16,18.90,18.90,18.60,18.70,43067570.00,
2016-12-15,18.90,19.40,18.60,18.70,113336640.00,
2016-12-14,19.10,19.20,18.90,19.00,59971820.00,
2016-12-13,18.50,19.20,18.40,19.20,97525830.00,
2016-12-09,18.60,18.70,18.40,18.50,33110500.00,
2016-12-08,18.60,18.70,18.50,18.50,26167080.00,
2016-12-07,18.80,18.80,18.30,18.50,59975130.00,
2016-12-06,18.70,18.70,18.40,18.60,17106240.00,
2016-12-02,18.90,19.00,18.50,18.60,41452900.00,
2016-12-01,18.90,19.00,18.70,18.80,81422510.00,
2016-11-30,18.60,18.90,18.30,18.70,60562490.00,
2016-11-29,19.10,19.20,18.70,18.70,71681830.00,
2016-11-28,19.20,19.20,18.70,18.80,77271420.00,
2016-11-25,18.80,19.50,18.70,19.20,110038560.00,
2016-11-24,18.70,18.90,18.60,18.70,41047440.00,
2016-11-23,19.00,19.20,18.70,18.90,117010080.00,
2016-11-22,18.10,18.70,18.00,18.70,162400130.00,
2016-11-21,18.50,18.50,17.70,17.70,82239020.00,
2016-11-18,18.00,18.50,17.50,18.40,228279590.00,
2016-11-17,18.60,18.80,18.00,18.20,207761150.00,
2016-11-16,19.30,19.60,18.80,18.80,103159890.00,
2016-11-15,19.60,19.70,18.80,19.00,290278960.00,
2016-11-14,20.10,20.30,19.60,19.70,144209660.00,
2016-11-11,20.10,21.00,20.00,20.50,251547640.00,
2016-11-10,20.70,20.80,20.30,20.40,159826040.00,
2016-11-09,19.00,20.50,18.90,20.50,315593860.00,
2016-11-08,20.00,20.00,19.20,19.30,167673970.00,
2016-11-07,19.60,20.10,19.50,19.80,134293480.00,
2016-11-04,19.50,19.60,19.00,19.20,178059750.00,
2016-11-03,20.10,20.40,19.60,19.70,182161790.00,
2016-11-02,19.70,20.50,19.60,20.10,272738700.00,
2016-11-01,18.60,19.60,18.60,19.60,202347960.00,
2016-10-31,18.50,18.60,18.20,18.30,61841140.00,
2016-10-28,19.00,19.00,18.40,18.50,121981330.00,
2016-10-27,19.00,19.10,18.20,19.00,226290200.00,
2016-10-26,18.90,19.30,18.70,18.70,135387050.00,
2016-10-25,19.20,19.20,18.50,18.80,153900220.00,
2016-10-21,19.70,19.70,19.20,19.20,99759160.00,
2016-10-20,18.60,19.70,18.50,19.50,255758470.00,
2016-10-19,19.00,19.20,18.50,18.50,148069080.00,
2016-10-18,18.70,19.50,18.20,19.00,292884970.00,
2016-10-17,17.30,18.50,17.10,18.50,211879430.00,
2016-10-14,17.30,17.70,16.90,17.30,367791320.00,
2016-10-13,15.80,16.50,15.50,16.50,192389780.00,
2016-10-12,16.10,16.30,15.00,16.20,285042910.00,
2016-10-11,16.70,16.80,16.00,16.20,214084660.00,
2016-10-10,16.50,17.00,16.40,16.50,206508470.00,
2016-10-07,17.40,17.90,17.10,17.50,269089670.00,
2016-10-06,17.00,17.40,16.70,17.40,141818880.00,
2016-10-05,16.30,17.10,16.30,16.90,221720190.00,
2016-10-04,16.00,16.40,15.90,16.20,83186950.00,
2016-10-03,15.70,16.10,15.70,15.90,56658690.00,
2016-09-30,15.50,15.70,15.30,15.70,65399520.00,
2016-09-29,15.90,15.90,15.60,15.60,48706910.00,
2016-09-28,15.90,16.00,15.40,15.60,50659030.00,
2016-09-27,15.70,16.00,15.60,15.90,76700390.00,
2016-09-26,15.20,15.70,15.20,15.60,52247780.00,
2016-09-23,15.30,15.50,15.00,15.40,62881420.00,
2016-09-22,15.10,15.40,15.00,15.30,74783540.00,
2016-09-21,14.90,15.20,14.80,14.90,34120660.00,
2016-09-20,14.90,15.00,14.60,14.80,34210460.00,
