Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,179.50,182.50,179.50,181.00,7381500.00,
2017-02-08,180.00,180.00,178.50,179.00,2574430.00,
2017-02-07,180.50,181.00,179.00,180.00,3649240.00,
2017-02-06,178.50,181.50,178.50,180.50,8152330.00,
2017-02-03,175.00,178.50,175.00,178.50,5471270.00,
2017-02-02,175.00,177.00,174.50,175.50,5250930.00,
2017-02-01,174.50,175.50,173.50,175.50,6542030.00,
2017-01-31,174.00,174.50,172.50,174.50,5290910.00,
2017-01-30,173.00,175.50,173.00,174.50,1487300.00,
2017-01-27,175.00,175.00,173.00,174.00,3783020.00,
2017-01-26,176.00,176.00,175.00,176.00,5349750.00,
2017-01-25,171.50,175.50,171.50,175.50,10647890.00,
2017-01-24,168.00,171.50,167.00,171.00,5435090.00,
2017-01-23,168.50,168.50,166.50,168.00,1726150.00,
2017-01-20,165.00,168.50,165.00,168.50,4005050.00,
2017-01-19,166.00,166.00,165.00,166.00,1760000.00,
2017-01-18,166.00,167.50,166.00,166.00,2305350.00,
2017-01-17,166.50,167.50,166.00,167.00,2270040.00,
2017-01-16,169.00,169.00,165.50,168.50,2776330.00,
2017-01-13,167.00,169.00,166.50,169.00,2866000.00,
2017-01-12,167.00,167.50,166.00,166.00,2612620.00,
2017-01-11,168.50,169.50,167.00,167.00,3996600.00,
2017-01-10,164.50,169.50,164.50,168.00,11250280.00,
2017-01-09,163.00,164.50,163.00,164.00,2430370.00,
2017-01-06,164.00,164.50,162.50,164.50,2791630.00,
2017-01-05,163.00,164.50,163.00,164.00,4460710.00,
2017-01-04,159.50,163.50,159.50,163.00,4612420.00,
2016-12-30,158.50,159.50,158.00,159.50,1661310.00,
2016-12-29,158.00,159.50,157.50,159.00,2043420.00,
2016-12-28,158.00,158.50,157.00,158.00,907830.00,
2016-12-27,157.50,159.00,157.00,158.00,1224720.00,
2016-12-26,158.00,158.00,157.00,157.50,969560.00,
2016-12-23,156.50,158.00,155.50,158.00,2080800.00,
2016-12-22,155.50,157.50,155.50,156.50,1559070.00,
2016-12-21,157.00,157.50,155.50,155.50,1888400.00,
2016-12-20,156.00,157.00,155.50,156.00,2563750.00,
2016-12-19,157.00,157.50,156.00,157.00,2076420.00,
2016-12-16,157.00,158.00,156.50,157.50,1032940.00,
2016-12-15,156.50,157.50,155.50,157.00,2789580.00,
2016-12-14,159.00,159.50,157.00,158.00,3831660.00,
2016-12-13,158.00,160.00,157.50,159.50,4864120.00,
2016-12-09,157.50,159.00,157.50,158.50,2999650.00,
2016-12-08,156.50,158.00,156.50,157.00,3119340.00,
2016-12-07,154.50,156.00,154.50,155.50,3293930.00,
2016-12-06,155.50,156.00,154.50,155.00,1805330.00,
2016-12-02,155.50,156.00,155.00,155.50,1373940.00,
2016-12-01,156.50,156.50,155.00,156.00,2019460.00,
2016-11-30,154.00,156.00,154.00,156.00,2733070.00,
2016-11-29,155.50,156.00,154.50,154.50,1291850.00,
2016-11-28,155.50,155.50,154.50,154.50,1801710.00,
2016-11-25,155.50,156.00,154.50,155.00,2699340.00,
2016-11-24,157.00,157.00,155.50,155.50,1892880.00,
2016-11-23,156.50,157.00,156.00,157.00,1518650.00,
2016-11-22,156.50,157.00,156.00,156.00,1071910.00,
2016-11-21,156.50,157.50,156.00,156.00,1734260.00,
2016-11-18,156.00,158.00,155.50,156.50,1743820.00,
2016-11-17,155.00,156.00,154.50,156.00,3620420.00,
2016-11-16,157.00,157.00,155.00,155.00,3092110.00,
2016-11-15,157.00,157.50,155.50,156.00,3480430.00,
2016-11-14,158.00,158.50,156.50,156.50,2748140.00,
2016-11-11,161.00,161.50,159.50,160.00,3073280.00,
2016-11-10,162.50,163.00,161.50,162.00,9724600.00,
2016-11-09,158.00,161.50,157.00,161.00,6333590.00,
2016-11-08,157.00,160.00,157.00,159.00,5343060.00,
2016-11-07,154.50,158.00,154.50,156.00,3975940.00,
2016-11-04,155.50,155.50,153.50,153.50,6227860.00,
2016-11-03,157.50,158.00,156.00,156.00,2138060.00,
2016-11-02,159.00,159.00,156.00,157.50,4040620.00,
2016-11-01,160.00,160.50,159.00,159.50,2161340.00,
2016-10-31,160.50,161.50,159.50,159.50,3344480.00,
2016-10-28,161.00,161.50,159.50,160.50,3164510.00,
2016-10-27,159.50,161.00,159.50,161.00,3493470.00,
2016-10-26,162.00,162.00,158.50,159.50,3983270.00,
2016-10-25,162.50,163.00,161.00,162.00,2989030.00,
2016-10-21,160.00,164.00,159.00,163.50,5917960.00,
2016-10-20,158.00,162.00,157.50,162.00,8850900.00,
2016-10-19,154.50,157.50,154.00,157.50,5242010.00,
2016-10-18,158.50,159.00,154.00,154.50,8570050.00,
2016-10-17,159.00,159.50,157.50,158.50,7681420.00,
2016-10-14,163.00,164.50,160.00,161.00,10311500.00,
2016-10-13,153.00,155.00,151.00,155.00,13046220.00,
2016-10-12,156.50,157.00,151.00,154.00,13553540.00,
2016-10-11,161.50,161.50,156.00,157.00,11751060.00,
2016-10-10,160.50,162.00,159.00,161.00,5525380.00,
2016-10-07,165.00,166.00,164.50,165.00,3693440.00,
2016-10-06,167.50,168.00,166.50,166.50,2597270.00,
2016-10-05,167.00,168.00,166.00,167.00,3493360.00,
2016-10-04,164.00,167.00,163.00,167.00,6446080.00,
2016-10-03,163.50,163.50,163.00,163.00,672990.00,
2016-09-30,162.50,163.50,162.00,162.50,2386580.00,
2016-09-29,164.00,164.50,162.00,163.00,3796990.00,
2016-09-28,163.00,163.00,162.00,162.00,3464640.00,
2016-09-27,164.50,165.00,163.00,163.00,3434180.00,
2016-09-26,164.00,165.00,163.50,164.50,4176800.00,
