Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,34.50,35.00,34.00,34.50,3865540.00,
2017-02-08,35.25,35.75,34.50,34.50,7480540.00,
2017-02-07,35.25,35.75,35.00,35.25,3568730.00,
2017-02-06,34.50,35.75,34.50,35.25,4581910.00,
2017-02-03,34.25,34.75,34.25,34.50,2351320.00,
2017-02-02,34.75,35.50,34.25,34.25,5860110.00,
2017-02-01,35.25,35.50,34.50,34.50,3224390.00,
2017-01-31,35.25,35.25,34.50,35.25,4772840.00,
2017-01-30,35.25,35.75,35.25,35.25,2328740.00,
2017-01-27,35.50,35.75,35.00,35.25,2739350.00,
2017-01-26,35.75,36.00,35.25,35.75,3317450.00,
2017-01-25,35.50,35.75,35.00,35.50,5123720.00,
2017-01-24,35.25,35.50,35.00,35.00,4453960.00,
2017-01-23,35.25,35.25,34.75,35.25,3379490.00,
2017-01-20,34.25,35.75,34.00,35.25,10614600.00,
2017-01-19,33.75,34.50,33.50,34.25,7372260.00,
2017-01-18,33.75,34.00,33.50,33.75,2806720.00,
2017-01-17,33.50,34.00,33.50,33.75,2444600.00,
2017-01-16,33.50,33.50,33.25,33.25,1569300.00,
2017-01-13,33.75,34.00,33.00,33.50,6564780.00,
2017-01-12,34.00,34.00,33.50,33.75,1397810.00,
2017-01-11,34.00,34.50,33.75,33.75,4925740.00,
2017-01-10,34.00,34.25,33.75,34.00,2186420.00,
2017-01-09,34.00,34.25,33.75,34.00,2627590.00,
2017-01-06,34.00,34.00,33.50,33.75,3701700.00,
2017-01-05,34.50,34.50,34.00,34.00,3916650.00,
2017-01-04,33.50,34.25,33.50,34.00,6841740.00,
2016-12-30,33.00,34.00,33.00,33.50,5474760.00,
2016-12-29,33.00,33.50,32.75,33.25,3730580.00,
2016-12-28,33.00,33.00,32.50,33.00,2370680.00,
2016-12-27,32.75,33.00,32.50,32.75,2728950.00,
2016-12-26,32.50,33.00,32.25,33.00,2451800.00,
2016-12-23,32.75,33.00,32.50,32.75,868040.00,
2016-12-22,32.75,33.00,32.75,32.75,2285300.00,
2016-12-21,33.00,33.25,32.75,32.75,676900.00,
2016-12-20,32.75,33.00,32.50,33.00,1438480.00,
2016-12-19,33.25,33.25,32.75,33.00,1859720.00,
2016-12-16,33.00,33.25,32.75,33.00,2681840.00,
2016-12-15,32.50,33.00,32.50,32.75,2629110.00,
2016-12-14,33.50,33.75,32.50,32.75,4737780.00,
2016-12-13,33.25,33.50,33.00,33.50,1430350.00,
2016-12-09,33.50,33.50,32.75,33.25,3451760.00,
2016-12-08,33.25,33.75,33.25,33.50,4765760.00,
2016-12-07,33.50,33.75,33.00,33.25,3005390.00,
2016-12-06,33.50,33.75,33.00,33.75,3834190.00,
2016-12-02,33.25,34.00,33.25,33.50,8720160.00,
2016-12-01,33.25,33.75,32.75,33.25,10319260.00,
2016-11-30,32.50,33.00,32.25,32.75,3536140.00,
2016-11-29,32.25,32.50,32.00,32.25,2774070.00,
2016-11-28,32.25,32.25,31.75,32.00,2071410.00,
2016-11-25,31.75,32.50,31.75,32.25,2639260.00,
2016-11-24,32.00,32.25,31.75,31.75,2100900.00,
2016-11-23,32.50,32.50,32.00,32.00,2644800.00,
