Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,20.10,20.20,19.80,20.00,27577610.00,
2017-03-02,20.10,20.20,19.90,20.10,43331230.00,
2017-03-01,20.10,20.40,20.00,20.10,48183060.00,
2017-02-28,20.40,20.50,20.10,20.10,22587230.00,
2017-02-27,20.50,20.50,20.10,20.40,25248570.00,
2017-02-24,20.70,20.80,20.30,20.50,34359820.00,
2017-02-23,20.80,20.90,20.70,20.80,20869260.00,
2017-02-22,20.80,20.90,20.50,20.80,30190270.00,
2017-02-21,21.00,21.10,20.70,20.80,19549760.00,
2017-02-20,20.90,21.20,20.80,21.00,25672340.00,
2017-02-17,21.00,21.10,20.80,20.80,38041390.00,
2017-02-16,21.00,21.10,20.90,20.90,26620870.00,
2017-02-15,21.40,21.40,21.00,21.00,30191280.00,
2017-02-14,21.40,21.50,21.20,21.30,26148200.00,
2017-02-10,21.40,21.50,21.20,21.40,22998000.00,
2017-02-09,21.20,21.40,21.10,21.30,22808140.00,
2017-02-08,21.20,21.40,21.10,21.10,29557030.00,
2017-02-07,21.20,21.40,21.00,21.30,59346040.00,
2017-02-06,21.60,21.60,21.20,21.20,78497930.00,
2017-02-03,21.90,22.10,21.60,21.70,40384420.00,
2017-02-02,22.10,22.30,22.00,22.00,19649210.00,
2017-02-01,22.20,22.40,22.00,22.10,30945220.00,
2017-01-31,22.10,22.40,22.10,22.20,17213210.00,
2017-01-30,22.40,22.40,22.20,22.20,13200250.00,
2017-01-27,22.50,22.50,22.40,22.50,10348880.00,
2017-01-26,22.40,22.60,22.30,22.50,35738560.00,
2017-01-25,22.50,22.60,22.30,22.40,19492590.00,
2017-01-24,22.50,22.50,22.30,22.40,19075430.00,
2017-01-23,22.40,22.50,22.30,22.50,12411980.00,
2017-01-20,22.40,22.50,22.20,22.30,25639290.00,
2017-01-19,22.30,22.50,22.30,22.50,19204860.00,
2017-01-18,22.50,22.50,22.30,22.30,14086260.00,
2017-01-17,22.50,22.60,22.40,22.50,15917950.00,
2017-01-16,22.50,22.70,22.50,22.50,13450540.00,
2017-01-13,22.70,22.80,22.50,22.50,20057000.00,
2017-01-12,22.80,22.90,22.70,22.80,6144600.00,
2017-01-11,22.50,22.80,22.50,22.70,17251200.00,
2017-01-10,22.60,22.70,22.40,22.50,18681570.00,
2017-01-09,22.80,22.80,22.40,22.70,21020890.00,
2017-01-06,23.00,23.10,22.70,22.70,29606440.00,
2017-01-05,23.30,23.30,22.80,23.00,25840670.00,
2017-01-04,23.20,23.40,22.90,23.30,29364900.00,
2016-12-30,23.20,23.30,22.90,23.10,18029040.00,
2016-12-29,22.60,23.20,22.60,23.10,28106990.00,
2016-12-28,22.70,22.80,22.50,22.70,5416540.00,
2016-12-27,22.60,22.80,22.40,22.60,8263630.00,
2016-12-26,22.50,22.70,22.40,22.60,5977670.00,
2016-12-23,22.20,22.50,22.20,22.40,13097910.00,
2016-12-22,22.20,22.40,22.10,22.30,13904230.00,
2016-12-21,22.50,22.60,22.20,22.20,18213600.00,
2016-12-20,22.60,22.60,22.40,22.50,9673020.00,
2016-12-19,22.50,22.50,22.30,22.50,13867300.00,
2016-12-16,22.60,22.70,22.40,22.50,17725000.00,
2016-12-15,22.60,22.60,22.30,22.60,24068600.00,
2016-12-14,22.90,22.90,22.50,22.60,16826720.00,
2016-12-13,22.80,22.90,22.70,22.80,12502380.00,
2016-12-09,22.90,23.00,22.80,22.90,10490620.00,
2016-12-08,23.10,23.30,22.90,22.90,17750200.00,
2016-12-07,23.20,23.30,22.90,23.10,15371040.00,
2016-12-06,23.00,23.30,22.90,23.30,22148560.00,
2016-12-02,23.10,23.20,22.80,22.90,13138620.00,
2016-12-01,23.40,23.40,23.10,23.20,13018600.00,
2016-11-30,22.90,23.30,22.70,23.30,31981940.00,
2016-11-29,23.00,23.00,22.70,23.00,16756350.00,
2016-11-28,22.80,22.90,22.70,22.90,6480620.00,
2016-11-25,22.80,22.90,22.70,22.80,6675100.00,
2016-11-24,22.70,22.80,22.60,22.70,4608140.00,
2016-11-23,22.90,22.90,22.60,22.80,14202410.00,
2016-11-22,22.60,22.90,22.50,22.90,23500730.00,
2016-11-21,22.10,22.70,22.10,22.40,34314290.00,
2016-11-18,22.00,22.00,21.80,21.90,10016830.00,
2016-11-17,21.90,22.10,21.90,22.00,11260470.00,
2016-11-16,22.10,22.30,21.90,22.00,27649940.00,
2016-11-15,22.30,22.40,22.00,22.00,30498120.00,
2016-11-14,22.70,22.70,22.10,22.20,27269050.00,
2016-11-11,23.00,23.00,22.60,22.80,22268370.00,
2016-11-10,23.10,23.10,22.80,23.10,21575440.00,
2016-11-09,22.80,23.00,22.70,23.00,25654320.00,
2016-11-08,22.80,23.10,22.70,23.00,37400620.00,
2016-11-07,22.80,22.90,22.60,22.80,13192160.00,
2016-11-04,22.60,22.80,22.50,22.80,24624220.00,
2016-11-03,22.60,22.80,22.60,22.80,24778650.00,
2016-11-02,22.70,22.70,22.50,22.60,18592430.00,
2016-11-01,22.80,22.80,22.50,22.80,20787720.00,
2016-10-31,22.70,23.00,22.60,22.80,37099910.00,
2016-10-28,21.90,22.60,21.80,22.50,50215970.00,
2016-10-27,21.60,22.00,21.60,21.90,41036800.00,
2016-10-26,21.60,21.80,21.50,21.60,15264160.00,
2016-10-25,21.70,21.80,21.50,21.60,27034450.00,
2016-10-21,21.50,21.80,21.50,21.70,22645230.00,
2016-10-20,21.70,21.70,21.40,21.50,21142110.00,
2016-10-19,21.50,21.70,21.20,21.50,28154750.00,
2016-10-18,21.60,21.80,21.50,21.50,21383830.00,
2016-10-17,21.60,21.80,21.50,21.60,25245840.00,
2016-10-14,21.60,22.00,21.30,21.80,60514080.00,
2016-10-13,20.70,20.90,20.10,20.80,96949730.00,
2016-10-12,21.50,21.60,20.30,21.00,164898940.00,
2016-10-11,22.00,22.10,21.60,21.60,40526890.00,
2016-10-10,21.60,22.00,21.60,21.80,40992280.00,
2016-10-07,22.30,22.50,22.20,22.20,42475650.00,
2016-10-06,22.50,22.80,22.40,22.40,37137520.00,
2016-10-05,22.40,22.60,22.30,22.50,31402630.00,
2016-10-04,22.00,22.40,21.90,22.40,31464140.00,
2016-10-03,21.80,22.00,21.70,21.90,23559910.00,
2016-09-30,21.60,22.10,21.50,21.80,78248290.00,
2016-09-29,21.40,21.80,20.90,21.60,215728170.00,
2016-09-28,22.00,22.30,22.00,22.00,25606340.00,
2016-09-27,22.30,22.40,22.00,22.00,35700390.00,
2016-09-26,22.40,22.60,22.10,22.20,42635470.00,
2016-09-23,22.60,22.80,22.30,22.50,30182000.00,
2016-09-22,22.80,23.00,22.60,22.70,27125970.00,
2016-09-21,22.40,22.70,22.40,22.70,29887860.00,
2016-09-20,22.30,22.50,22.20,22.30,21522550.00,
2016-09-19,22.70,22.70,22.30,22.40,37432590.00,
2016-09-16,22.40,22.70,22.20,22.70,139288580.00,
2016-09-15,22.30,22.30,22.10,22.20,14558410.00,
2016-09-14,21.90,22.30,21.90,22.20,30526820.00,
2016-09-13,22.00,22.10,21.60,22.00,69315890.00,
2016-09-12,22.20,22.40,21.30,21.80,50264400.00,
2016-09-09,22.50,22.60,22.00,22.40,48881880.00,
