Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,18.20,18.70,18.20,18.60,3500040.00,
2017-02-08,18.20,18.30,18.00,18.20,4669530.00,
2017-02-07,18.10,18.40,18.00,18.20,4230620.00,
2017-02-06,18.20,18.20,18.00,18.10,1049350.00,
2017-02-03,18.00,18.20,17.80,18.20,2242750.00,
2017-02-02,18.10,18.20,17.90,18.10,1216010.00,
2017-02-01,17.50,18.10,17.40,18.10,4096930.00,
2017-01-31,18.20,18.30,17.70,17.70,4167550.00,
2017-01-30,18.40,18.50,18.20,18.20,2363500.00,
2017-01-27,18.40,18.50,18.30,18.40,933960.00,
2017-01-26,18.60,18.80,18.30,18.40,1987100.00,
2017-01-25,18.20,19.00,18.20,18.60,7132430.00,
2017-01-24,18.10,18.40,18.00,18.10,3598520.00,
2017-01-23,17.90,18.40,17.90,18.00,1720670.00,
2017-01-20,18.10,18.20,17.80,17.90,2469880.00,
2017-01-19,18.00,18.10,17.90,18.00,1429590.00,
2017-01-18,18.50,18.60,17.80,18.00,2824180.00,
2017-01-17,18.70,18.90,18.50,18.60,1872290.00,
2017-01-16,19.30,19.30,18.70,18.80,1727660.00,
2017-01-13,18.90,19.30,18.80,18.90,3060500.00,
2017-01-12,19.10,19.40,18.60,18.70,2414220.00,
2017-01-11,18.80,19.30,18.70,19.00,4384070.00,
2017-01-10,18.40,18.80,18.30,18.70,2861460.00,
2017-01-09,18.60,18.70,18.20,18.40,1608960.00,
2017-01-06,18.10,19.10,18.10,18.60,3696050.00,
2017-01-05,17.40,18.20,17.30,18.20,4428080.00,
2017-01-04,16.90,17.20,16.90,17.20,2414380.00,
2016-12-30,17.00,17.00,16.40,16.60,5976190.00,
2016-12-29,16.50,17.10,16.50,17.00,2924240.00,
2016-12-28,16.50,16.70,16.40,16.50,1788940.00,
2016-12-27,16.60,16.70,16.40,16.40,1472800.00,
2016-12-26,16.60,16.70,16.50,16.70,873340.00,
2016-12-23,16.70,16.70,16.40,16.50,2282500.00,
2016-12-22,17.00,17.10,16.70,16.70,1472680.00,
2016-12-21,17.30,17.40,16.90,16.90,2081880.00,
2016-12-20,17.20,17.30,17.00,17.10,1964380.00,
2016-12-19,17.30,17.30,17.10,17.10,2457800.00,
2016-12-16,17.60,17.80,17.20,17.20,3549130.00,
2016-12-15,17.70,17.80,17.50,17.50,1819200.00,
2016-12-14,18.20,18.30,17.80,17.80,1217900.00,
2016-12-13,18.00,18.40,17.70,18.30,1836310.00,
2016-12-09,18.10,18.10,17.80,18.00,1242080.00,
2016-12-08,17.60,18.10,17.60,17.90,1752920.00,
2016-12-07,17.20,17.80,17.20,17.60,1135870.00,
2016-12-06,17.60,17.60,17.10,17.40,2561460.00,
2016-12-02,17.70,17.90,17.50,17.70,2109790.00,
2016-12-01,18.70,18.80,17.70,17.70,4272500.00,
2016-11-30,18.50,18.70,18.00,18.50,11462990.00,
2016-11-29,18.90,18.90,18.50,18.50,2294000.00,
2016-11-28,19.00,19.10,18.70,18.70,1958440.00,
2016-11-25,18.80,19.80,18.80,18.90,2928980.00,
2016-11-24,19.10,19.20,18.80,18.80,872390.00,
2016-11-23,19.00,19.30,18.80,19.20,2057280.00,
2016-11-22,19.50,19.70,19.10,19.10,1553560.00,
2016-11-21,19.30,19.90,19.10,19.60,1426820.00,
2016-11-18,19.40,19.40,19.00,19.40,998500.00,
2016-11-17,18.70,19.20,18.70,19.20,1521520.00,
2016-11-16,19.00,19.00,18.60,18.80,2080380.00,
2016-11-15,19.00,19.30,18.70,19.00,1698100.00,
2016-11-14,19.70,19.80,19.00,19.00,2058850.00,
2016-11-11,20.00,20.00,19.70,19.70,1477570.00,
2016-11-10,20.20,20.40,20.20,20.30,525900.00,
2016-11-09,20.30,20.30,20.00,20.30,513310.00,
2016-11-08,20.10,20.30,20.00,20.30,511190.00,
2016-11-07,20.10,20.20,19.90,20.10,969860.00,
2016-11-04,20.00,20.10,19.90,20.00,1307710.00,
2016-11-03,20.10,20.30,20.10,20.20,732990.00,
2016-11-02,20.50,20.60,20.10,20.10,1265570.00,
2016-11-01,20.70,20.80,20.50,20.60,538710.00,
2016-10-31,20.90,20.90,20.40,20.50,1113930.00,
2016-10-28,21.40,21.40,20.80,20.80,663920.00,
2016-10-27,20.70,21.20,20.60,21.20,753810.00,
2016-10-26,21.50,21.60,20.90,20.90,1046260.00,
2016-10-25,21.80,21.80,21.40,21.60,1381670.00,
2016-10-21,20.30,21.70,20.10,21.70,4151860.00,
2016-10-20,20.50,20.90,20.20,20.40,1600040.00,
2016-10-19,20.70,20.70,20.40,20.40,1018080.00,
2016-10-18,19.80,21.00,19.70,20.90,2561450.00,
2016-10-17,19.80,19.90,19.30,19.70,1360440.00,
2016-10-14,19.30,20.30,19.20,19.70,2089020.00,
2016-10-13,18.00,18.70,17.70,18.40,9778640.00,
2016-10-12,20.40,20.40,17.20,18.00,4114150.00,
2016-10-11,21.00,21.10,20.30,20.40,1214700.00,
2016-10-10,21.00,21.40,21.00,21.00,927620.00,
2016-10-07,22.00,22.00,21.70,21.90,754220.00,
2016-10-06,22.50,22.50,22.00,22.00,835280.00,
2016-10-05,22.50,22.50,22.30,22.30,246320.00,
2016-10-04,22.00,22.40,22.00,22.40,992910.00,
2016-10-03,22.00,22.10,21.90,22.00,242400.00,
2016-09-30,22.10,22.20,22.00,22.00,1261280.00,
2016-09-29,22.80,23.00,22.20,22.30,8684950.00,
2016-09-28,22.70,22.80,22.50,22.60,560800.00,
2016-09-27,22.50,22.90,22.50,22.70,800840.00,
2016-09-26,22.70,22.70,22.30,22.70,1631620.00,
2016-09-23,23.00,23.00,22.50,22.90,1903980.00,
2016-09-22,22.80,23.00,22.70,23.00,1203470.00,
2016-09-21,22.90,22.90,22.70,22.70,934310.00,
2016-09-20,23.00,23.00,22.50,22.80,2363460.00,
2016-09-19,22.70,22.80,22.70,22.80,335050.00,
2016-09-16,22.20,23.00,22.10,22.70,5643990.00,
2016-09-15,21.90,22.40,21.80,22.00,2674330.00,
2016-09-14,21.50,22.20,21.50,22.00,2653760.00,
2016-09-13,21.60,21.70,21.10,21.40,2440010.00,
2016-09-12,21.90,21.90,21.40,21.60,2441070.00,
2016-09-09,22.20,22.50,21.90,22.10,2221660.00,
