Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,7.10,7.10,7.05,7.05,15081170.00,
2017-03-02,7.05,7.15,7.05,7.10,35527480.00,
2017-03-01,7.10,7.10,7.05,7.05,12708960.00,
2017-02-28,7.05,7.10,7.00,7.05,25138700.00,
2017-02-27,7.10,7.10,7.00,7.05,23750070.00,
2017-02-24,7.10,7.15,7.05,7.10,24725410.00,
2017-02-23,7.10,7.15,7.05,7.10,31227960.00,
2017-02-22,7.10,7.15,7.05,7.15,34833320.00,
2017-02-21,7.20,7.20,7.10,7.10,25065920.00,
2017-02-20,7.15,7.20,7.10,7.20,19376760.00,
2017-02-17,7.15,7.20,7.10,7.15,35052990.00,
2017-02-16,7.15,7.20,7.05,7.15,56322640.00,
2017-02-15,7.10,7.15,7.05,7.10,43327450.00,
2017-02-14,7.25,7.25,7.00,7.05,94792710.00,
2017-02-10,7.15,7.25,7.10,7.20,74520520.00,
2017-02-09,7.10,7.15,7.05,7.10,54800680.00,
2017-02-08,7.10,7.20,7.00,7.10,84777430.00,
2017-02-07,7.00,7.10,6.95,7.05,59701030.00,
2017-02-06,7.15,7.20,7.00,7.00,84091030.00,
2017-02-03,7.00,7.15,6.95,7.15,108806510.00,
2017-02-02,7.00,7.10,7.00,7.00,51981870.00,
2017-02-01,7.00,7.10,7.00,7.00,43855260.00,
2017-01-31,7.10,7.10,7.00,7.05,75180940.00,
2017-01-30,7.20,7.20,7.05,7.10,53191900.00,
2017-01-27,7.10,7.20,7.05,7.20,58228630.00,
2017-01-26,7.20,7.25,7.05,7.05,146716830.00,
2017-01-25,7.30,7.35,7.20,7.20,87807830.00,
2017-01-24,7.35,7.35,7.25,7.30,79086670.00,
2017-01-23,7.40,7.40,7.30,7.35,46772380.00,
2017-01-20,7.35,7.45,7.30,7.40,36632670.00,
2017-01-19,7.45,7.45,7.30,7.35,81949560.00,
2017-01-18,7.50,7.55,7.40,7.45,34392890.00,
2017-01-17,7.50,7.55,7.45,7.50,20448920.00,
2017-01-16,7.60,7.65,7.45,7.50,79087590.00,
2017-01-13,7.55,7.65,7.50,7.65,24745360.00,
2017-01-12,7.60,7.65,7.50,7.55,30604870.00,
2017-01-11,7.65,7.70,7.55,7.60,54237640.00,
2017-01-10,7.50,7.65,7.50,7.65,42414160.00,
2017-01-09,7.60,7.60,7.50,7.50,59530180.00,
2017-01-06,7.55,7.70,7.50,7.55,238240630.00,
2017-01-05,7.55,7.55,7.45,7.50,72731490.00,
2017-01-04,7.50,7.55,7.45,7.50,84200920.00,
2016-12-30,7.45,7.50,7.40,7.45,24795340.00,
2016-12-29,7.45,7.45,7.35,7.45,32474260.00,
2016-12-28,7.40,7.45,7.35,7.40,39737180.00,
2016-12-27,7.30,7.40,7.30,7.35,50481690.00,
2016-12-26,7.35,7.35,7.25,7.25,43823760.00,
2016-12-23,7.35,7.40,7.30,7.35,45441170.00,
2016-12-22,7.45,7.50,7.35,7.35,46436980.00,
2016-12-21,7.45,7.50,7.35,7.45,47205220.00,
2016-12-20,7.45,7.50,7.40,7.40,40437150.00,
2016-12-19,7.50,7.55,7.40,7.45,46850800.00,
2016-12-16,7.55,7.60,7.45,7.45,89157310.00,
2016-12-15,7.40,7.55,7.40,7.55,90612170.00,
2016-12-14,7.55,7.55,7.40,7.45,76413210.00,
2016-12-13,7.60,7.60,7.45,7.60,66314840.00,
2016-12-09,7.65,7.70,7.50,7.60,84386100.00,
2016-12-08,7.50,7.65,7.50,7.55,86810400.00,
2016-12-07,7.50,7.50,7.35,7.45,124737720.00,
2016-12-06,7.55,7.60,7.50,7.55,29258280.00,
2016-12-02,7.60,7.70,7.50,7.55,36899440.00,
2016-12-01,7.80,7.80,7.60,7.65,76995920.00,
2016-11-30,7.65,7.75,7.60,7.75,103205530.00,
2016-11-29,7.75,7.80,7.60,7.60,84231770.00,
2016-11-28,7.60,7.75,7.55,7.70,165830020.00,
2016-11-25,7.45,7.55,7.40,7.55,85959780.00,
2016-11-24,7.45,7.45,7.40,7.40,15225980.00,
2016-11-23,7.40,7.50,7.35,7.45,68506380.00,
2016-11-22,7.50,7.55,7.40,7.40,96134810.00,
2016-11-21,7.45,7.55,7.40,7.50,81059670.00,
2016-11-18,7.50,7.50,7.40,7.45,75373740.00,
2016-11-17,7.55,7.65,7.45,7.50,81835070.00,
2016-11-16,7.65,7.65,7.50,7.50,55776750.00,
2016-11-15,7.45,7.60,7.35,7.55,85068220.00,
2016-11-14,7.55,7.60,7.40,7.40,135781380.00,
2016-11-11,7.70,7.85,7.65,7.65,244367100.00,
2016-11-10,7.95,8.00,7.70,7.75,258488980.00,
2016-11-09,7.70,7.95,7.60,7.90,390673250.00,
2016-11-08,7.95,8.10,7.80,7.80,342053420.00,
2016-11-07,7.70,7.95,7.65,7.95,298218860.00,
2016-11-04,7.60,7.70,7.55,7.55,120466600.00,
2016-11-03,7.55,7.75,7.55,7.65,207952710.00,
2016-11-02,7.60,7.60,7.50,7.50,64152490.00,
2016-11-01,7.50,7.70,7.50,7.60,119925390.00,
2016-10-31,7.50,7.55,7.45,7.45,57579510.00,
2016-10-28,7.50,7.60,7.45,7.50,91821550.00,
2016-10-27,7.50,7.60,7.40,7.45,141727880.00,
2016-10-26,7.70,7.75,7.50,7.50,152765620.00,
2016-10-25,7.70,7.75,7.65,7.75,167651200.00,
2016-10-21,7.35,7.75,7.30,7.65,414940470.00,
2016-10-20,7.30,7.45,7.30,7.35,263540540.00,
2016-10-19,6.90,7.30,6.85,7.20,221182900.00,
2016-10-18,7.00,7.05,6.85,6.90,117321470.00,
2016-10-17,7.00,7.05,6.85,7.00,147146800.00,
2016-10-14,7.05,7.15,6.80,7.05,405069710.00,
2016-10-13,6.40,6.85,6.15,6.75,414973150.00,
2016-10-12,6.70,6.75,6.10,6.55,400748520.00,
2016-10-11,6.85,6.90,6.60,6.75,114057090.00,
2016-10-10,6.75,6.95,6.70,6.75,212699330.00,
2016-10-07,7.25,7.30,7.05,7.10,84141200.00,
2016-10-06,7.30,7.35,7.20,7.25,48714560.00,
2016-10-05,7.35,7.40,7.20,7.25,66690150.00,
