Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,176.00,178.00,174.50,174.50,863620.00,
2017-03-02,178.50,178.50,175.50,175.50,1085050.00,
2017-03-01,178.00,179.00,176.50,177.50,575930.00,
2017-02-28,177.00,178.00,176.00,176.00,865950.00,
2017-02-27,179.50,180.50,176.50,177.00,764870.00,
2017-02-24,181.50,182.50,180.50,181.00,474600.00,
2017-02-23,183.00,183.00,180.50,181.50,685040.00,
2017-02-22,182.50,183.50,181.00,183.00,840930.00,
2017-02-21,181.50,183.50,181.00,181.00,429190.00,
2017-02-20,183.50,184.00,181.50,181.50,227830.00,
2017-02-17,185.00,185.00,183.00,183.50,294180.00,
2017-02-16,183.00,185.00,183.00,184.50,685840.00,
2017-02-15,186.00,186.00,182.50,184.50,696320.00,
2017-02-14,187.00,188.00,183.50,184.00,838140.00,
2017-02-10,183.50,187.00,183.50,186.00,1910000.00,
2017-02-09,183.00,184.50,181.50,183.50,826860.00,
2017-02-08,178.50,183.50,178.50,183.00,1437400.00,
2017-02-07,179.00,180.00,178.50,179.00,730140.00,
2017-02-06,181.00,181.00,179.00,180.50,555520.00,
2017-02-03,181.00,181.50,178.50,180.00,798330.00,
2017-02-02,181.00,182.50,180.00,181.00,880040.00,
2017-02-01,178.50,181.50,178.50,179.00,773780.00,
2017-01-31,179.50,181.50,179.00,179.00,1164220.00,
2017-01-30,180.50,183.00,180.00,180.50,567660.00,
2017-01-27,182.00,183.50,181.00,181.00,477980.00,
2017-01-26,181.50,184.00,181.00,183.00,939590.00,
2017-01-25,182.00,182.50,181.00,182.00,436470.00,
2017-01-24,180.50,182.00,178.50,181.50,650270.00,
2017-01-23,180.50,181.00,178.00,180.50,1172230.00,
2017-01-20,179.50,180.50,178.50,179.50,1275920.00,
2017-01-19,181.00,181.00,179.50,180.00,1049370.00,
2017-01-18,182.50,183.00,181.00,181.00,753230.00,
2017-01-17,184.00,184.50,182.00,183.00,594030.00,
2017-01-16,184.50,184.50,182.50,184.00,495530.00,
2017-01-13,184.50,185.00,183.50,184.50,499570.00,
2017-01-12,184.50,185.50,183.50,183.50,338870.00,
2017-01-11,183.00,185.00,183.00,184.50,865510.00,
2017-01-10,183.00,185.00,181.50,184.50,823520.00,
2017-01-09,185.00,185.00,183.00,183.00,530560.00,
2017-01-06,185.00,186.00,182.50,185.00,1270300.00,
2017-01-05,185.00,185.00,182.00,185.00,1150150.00,
2017-01-04,180.50,185.00,179.50,185.00,1401490.00,
2016-12-30,181.00,182.00,179.50,181.00,593130.00,
2016-12-29,178.00,183.00,176.50,181.00,1251360.00,
2016-12-28,177.00,179.00,175.50,178.00,832410.00,
2016-12-27,172.50,176.00,172.50,176.00,836760.00,
2016-12-26,172.00,172.00,171.50,172.00,751170.00,
2016-12-23,177.00,177.50,173.50,174.00,1208270.00,
2016-12-22,180.00,180.00,176.00,177.00,867440.00,
2016-12-21,179.50,180.00,179.00,180.00,470600.00,
2016-12-20,181.00,181.50,179.00,180.00,1721300.00,
2016-12-19,179.00,180.50,178.50,180.00,1159010.00,
2016-12-16,180.00,181.00,179.00,179.50,1556830.00,
2016-12-15,179.50,182.00,178.50,180.50,1622040.00,
2016-12-14,183.00,183.50,178.50,179.50,3185670.00,
2016-12-13,182.50,183.50,179.00,182.50,3693840.00,
2016-12-09,190.00,192.00,183.50,184.00,3010780.00,
2016-12-08,193.00,193.50,190.50,190.50,1085830.00,
2016-12-07,194.00,195.00,192.50,193.50,826800.00,
2016-12-06,191.50,194.50,189.50,193.50,1186940.00,
2016-12-02,193.50,194.50,190.00,194.00,954580.00,
2016-12-01,195.50,197.00,193.50,195.50,1978120.00,
2016-11-30,188.00,192.00,187.50,192.00,1409130.00,
2016-11-29,191.50,192.00,187.00,188.50,1155820.00,
2016-11-28,190.00,191.00,189.50,191.00,972880.00,
2016-11-25,188.00,189.50,187.50,189.50,570460.00,
2016-11-24,190.00,190.00,187.50,188.00,414320.00,
2016-11-23,189.00,189.50,188.00,189.50,918200.00,
