Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,5.50,5.55,5.20,5.35,29228200.00,
2017-03-02,5.55,5.55,5.50,5.50,5005040.00,
2017-03-01,5.55,5.65,5.50,5.55,9773300.00,
2017-02-28,5.55,5.70,5.50,5.55,8613000.00,
2017-02-27,5.50,5.75,5.50,5.60,14841000.00,
2017-02-24,5.70,5.70,5.55,5.55,4200000.00,
2017-02-23,5.55,5.65,5.50,5.65,8161300.00,
2017-02-22,5.70,5.70,5.40,5.55,21283800.00,
2017-02-21,5.70,5.80,5.60,5.65,10008600.00,
2017-02-20,5.90,5.95,5.65,5.70,24223290.00,
2017-02-17,6.00,6.05,5.85,5.85,43451640.00,
2017-02-16,5.60,6.00,5.60,6.00,65299910.00,
2017-02-15,5.65,5.65,5.55,5.65,13208600.00,
2017-02-14,5.60,5.70,5.55,5.60,9805000.00,
2017-02-10,5.55,5.65,5.55,5.65,4864100.00,
2017-02-09,5.55,5.65,5.55,5.55,5214500.00,
2017-02-08,5.65,5.70,5.45,5.60,16899150.00,
2017-02-07,5.65,5.80,5.60,5.65,22758040.00,
2017-02-06,5.55,5.70,5.50,5.65,25301410.00,
2017-02-03,5.55,5.55,5.35,5.50,14437500.00,
2017-02-02,5.55,5.60,5.50,5.50,17313040.00,
2017-02-01,5.45,5.50,5.40,5.50,12123400.00,
2017-01-31,5.35,5.50,5.35,5.40,11889260.00,
2017-01-30,5.25,5.40,5.20,5.35,20263380.00,
2017-01-27,5.10,5.25,5.05,5.20,17796000.00,
2017-01-26,5.20,5.35,5.05,5.05,25817600.00,
2017-01-25,5.40,5.45,5.15,5.20,24020500.00,
2017-01-24,5.60,5.60,5.30,5.30,15840900.00,
2017-01-23,5.55,5.60,5.45,5.55,10074300.00,
2017-01-20,5.50,5.55,5.40,5.50,6168900.00,
2017-01-19,5.45,5.50,5.35,5.45,13768940.00,
2017-01-18,5.70,5.75,5.40,5.45,52667550.00,
2017-01-17,5.40,5.70,5.35,5.65,76791140.00,
2017-01-16,5.30,5.35,5.25,5.35,9250700.00,
2017-01-13,5.15,5.30,5.10,5.30,10420460.00,
2017-01-12,5.20,5.30,5.10,5.15,13417300.00,
2017-01-11,5.20,5.30,5.10,5.15,20894500.00,
2017-01-10,5.25,5.30,5.00,5.20,34549600.00,
2017-01-09,5.30,5.35,5.20,5.25,11649100.00,
2017-01-06,5.40,5.45,5.30,5.35,16005550.00,
2017-01-05,5.35,5.50,5.25,5.35,19185110.00,
2017-01-04,5.30,5.45,5.30,5.40,17780910.00,
2016-12-30,5.40,5.45,5.15,5.30,38233800.00,
2016-12-29,5.55,5.55,5.35,5.40,11987500.00,
2016-12-28,5.55,5.65,5.50,5.50,10461810.00,
2016-12-27,5.55,5.60,5.40,5.50,8742990.00,
2016-12-26,5.65,5.70,5.50,5.55,6236400.00,
2016-12-23,5.55,5.65,5.50,5.60,8767300.00,
2016-12-22,5.55,5.75,5.35,5.55,26055650.00,
2016-12-21,5.60,5.65,5.45,5.55,26194640.00,
2016-12-20,5.85,5.90,5.55,5.55,50653500.00,
2016-12-19,5.50,5.80,5.45,5.80,48735710.00,
2016-12-16,5.40,5.50,5.30,5.45,18092100.00,
2016-12-15,5.35,5.45,5.30,5.40,8704100.00,
2016-12-14,5.45,5.45,5.25,5.40,15442100.00,
2016-12-13,5.40,5.60,5.40,5.40,18196700.00,
2016-12-09,5.30,5.50,5.30,5.40,12276800.00,
2016-12-08,5.35,5.40,5.25,5.30,16204900.00,
2016-12-07,5.35,5.55,5.30,5.30,23255700.00,
2016-12-06,5.20,5.35,5.10,5.35,25272510.00,
2016-12-02,5.35,5.45,4.98,5.05,43314330.00,
2016-12-01,5.75,5.75,4.98,5.30,37074790.00,
2016-11-30,5.65,5.75,5.55,5.75,19135900.00,
2016-11-29,5.65,5.80,5.50,5.65,41318230.00,
2016-11-28,5.55,5.75,5.50,5.65,64454430.00,
2016-11-25,5.10,5.50,5.10,5.50,99724480.00,
2016-11-24,5.15,5.15,4.98,5.05,29114940.00,
2016-11-23,4.96,5.20,4.94,5.15,68259730.00,
2016-11-22,4.70,4.92,4.70,4.84,58786410.00,
2016-11-21,4.66,4.70,4.64,4.66,2979300.00,
2016-11-18,4.66,4.68,4.60,4.62,6366000.00,
2016-11-17,4.68,4.74,4.62,4.70,8200420.00,
2016-11-16,4.66,4.68,4.64,4.66,2250130.00,
2016-11-15,4.70,4.74,4.62,4.70,8808160.00,
2016-11-14,4.64,4.74,4.62,4.70,7989600.00,
2016-11-11,4.70,4.72,4.60,4.68,20921550.00,
2016-11-10,4.78,4.86,4.72,4.72,20439300.00,
2016-11-09,4.64,4.74,4.62,4.74,15103020.00,
2016-11-08,4.68,4.74,4.64,4.72,18047700.00,
2016-11-07,4.74,4.76,4.66,4.68,11091800.00,
2016-11-04,4.72,4.74,4.50,4.66,30157310.00,
2016-11-03,4.70,4.80,4.70,4.72,12602670.00,
2016-11-02,4.76,4.80,4.68,4.68,13644900.00,
2016-11-01,4.78,4.82,4.76,4.80,20688230.00,
2016-10-31,4.84,4.86,4.72,4.74,12160850.00,
2016-10-28,4.74,4.88,4.74,4.88,14726200.00,
2016-10-27,4.88,4.88,4.64,4.78,37059000.00,
2016-10-26,4.92,4.94,4.78,4.82,29083570.00,
2016-10-25,4.70,4.96,4.64,4.94,76107720.00,
2016-10-21,4.60,4.68,4.54,4.64,49962900.00,
2016-10-20,4.34,4.58,4.34,4.54,73603530.00,
2016-10-19,4.22,4.38,4.18,4.36,65920260.00,
2016-10-18,4.16,4.22,4.10,4.16,21487370.00,
2016-10-17,4.04,4.20,4.02,4.14,23616800.00,
2016-10-14,4.00,4.12,3.90,4.06,37785910.00,
2016-10-13,3.34,3.60,3.26,3.60,45333700.00,
2016-10-12,3.78,3.84,2.98,3.48,84065000.00,
2016-10-11,4.04,4.08,3.72,3.78,22429310.00,
2016-10-10,3.80,4.10,3.80,3.98,41829760.00,
2016-10-07,4.34,4.34,4.24,4.28,23686600.00,
2016-10-06,4.12,4.36,4.10,4.34,51892900.00,
2016-10-05,4.12,4.18,4.12,4.12,15668740.00,
2016-10-04,4.16,4.20,4.08,4.12,23593000.00,
2016-10-03,4.18,4.22,4.10,4.10,7762500.00,
2016-09-30,4.12,4.20,4.12,4.16,8048990.00,
2016-09-29,4.26,4.26,4.14,4.14,15954300.00,
2016-09-28,4.32,4.32,4.16,4.18,15213860.00,
2016-09-27,4.32,4.36,4.28,4.28,7615500.00,
2016-09-26,4.24,4.40,4.22,4.32,16894240.00,
2016-09-23,4.48,4.48,4.30,4.30,33421080.00,
2016-09-22,4.46,4.54,4.42,4.42,39167500.00,
2016-09-21,4.20,4.46,4.20,4.42,68407800.00,
2016-09-20,4.26,4.26,4.14,4.18,18123400.00,
2016-09-19,4.30,4.30,4.14,4.26,27720820.00,
2016-09-16,4.30,4.32,4.24,4.24,18945710.00,
2016-09-15,4.34,4.36,4.24,4.24,29540600.00,
2016-09-14,4.06,4.30,4.00,4.26,73679150.00,
2016-09-13,4.02,4.08,3.96,4.04,61025030.00,
2016-09-12,3.64,3.96,3.60,3.82,88442100.00,
2016-09-09,4.00,4.08,3.62,3.76,101573730.00,
