Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,50.25,50.25,49.25,49.50,1465940.00,
2017-03-02,50.50,50.50,50.00,50.25,2067020.00,
2017-03-01,49.25,50.50,49.00,50.50,3004160.00,
2017-02-28,49.50,49.75,48.25,48.75,4444640.00,
2017-02-27,51.25,51.25,49.50,49.75,3665000.00,
2017-02-24,51.75,52.50,51.50,51.50,1124280.00,
2017-02-23,52.25,52.75,51.25,51.50,4194120.00,
2017-02-22,51.50,52.50,51.25,52.25,2178950.00,
2017-02-21,52.50,52.50,51.25,51.50,3218010.00,
2017-02-20,52.50,53.50,52.50,52.50,6244450.00,
2017-02-17,53.00,53.25,52.25,52.25,2100790.00,
2017-02-16,51.75,53.25,51.50,53.00,9009790.00,
2017-02-15,51.75,52.00,51.25,51.75,2232320.00,
2017-02-14,51.25,52.00,50.50,51.25,3846750.00,
2017-02-10,52.00,52.00,51.00,51.00,2389750.00,
2017-02-09,51.00,51.50,51.00,51.25,4824230.00,
2017-02-08,50.00,51.25,50.00,51.00,5454980.00,
2017-02-07,49.75,50.50,49.50,50.00,4935560.00,
2017-02-06,49.00,49.75,48.75,49.50,1555320.00,
2017-02-03,48.75,49.00,48.50,48.75,951500.00,
2017-02-02,49.00,49.00,48.50,48.75,573100.00,
2017-02-01,48.50,49.00,48.50,48.75,797830.00,
2017-01-31,48.50,48.75,48.25,48.75,383220.00,
2017-01-30,48.50,49.00,48.50,48.50,494850.00,
2017-01-27,48.75,49.00,48.25,48.50,883520.00,
2017-01-26,49.00,49.25,48.50,48.75,1100300.00,
2017-01-25,49.25,49.50,48.75,48.75,1333000.00,
2017-01-24,49.25,50.00,49.00,49.00,2152920.00,
2017-01-23,49.50,50.00,49.00,49.00,3410850.00,
2017-01-20,49.00,49.50,48.75,49.25,1767530.00,
2017-01-19,48.75,50.00,48.25,49.00,4629220.00,
2017-01-18,48.50,48.75,48.00,48.75,1147200.00,
2017-01-17,49.25,49.50,48.50,48.50,1958220.00,
2017-01-16,48.75,49.25,48.25,48.75,2875330.00,
2017-01-13,47.75,48.75,46.75,48.75,7297120.00,
2017-01-12,49.00,49.75,47.50,47.75,5211980.00,
2017-01-11,50.25,50.50,48.75,48.75,4174250.00,
2017-01-10,51.00,51.25,50.00,50.25,2332100.00,
2017-01-09,51.50,51.75,51.00,51.00,948200.00,
2017-01-06,52.00,52.25,51.25,51.75,2718140.00,
2017-01-05,53.00,53.00,51.75,51.75,1678280.00,
2017-01-04,52.50,53.00,52.25,52.75,1560920.00,
2016-12-30,51.75,53.00,51.25,53.00,2368190.00,
2016-12-29,51.75,52.50,51.50,52.00,1743350.00,
2016-12-28,52.50,52.75,51.00,51.50,3129600.00,
2016-12-27,53.50,54.25,52.75,53.00,1609160.00,
2016-12-26,54.00,54.50,53.00,54.00,887390.00,
2016-12-23,51.75,54.50,51.75,54.00,1756230.00,
2016-12-22,53.75,53.75,51.75,52.50,2208850.00,
2016-12-21,54.25,54.75,53.50,53.50,1722760.00,
2016-12-20,55.25,55.25,54.50,54.75,772190.00,
2016-12-19,54.25,55.25,54.25,54.75,1104820.00,
2016-12-16,55.00,55.00,54.00,54.75,1627010.00,
2016-12-15,54.25,55.50,54.00,54.00,2872440.00,
2016-12-14,54.50,54.75,53.25,54.00,1964660.00,
2016-12-13,54.00,54.50,53.75,54.50,821280.00,
2016-12-09,54.75,54.75,54.00,54.25,1179680.00,
2016-12-08,54.00,54.50,53.75,54.50,1565100.00,
2016-12-07,53.50,54.25,53.50,54.00,992840.00,
2016-12-06,53.25,54.25,53.25,54.00,1914910.00,
2016-12-02,53.25,54.00,53.00,53.25,1565100.00,
2016-12-01,53.00,54.75,52.75,53.50,4531080.00,
2016-11-30,51.75,52.75,51.25,52.75,2569310.00,
2016-11-29,52.75,52.75,51.75,52.00,1197370.00,
2016-11-28,52.50,53.00,52.00,52.25,1990910.00,
2016-11-25,53.00,53.00,52.00,52.50,829140.00,
2016-11-24,53.00,53.00,52.25,52.50,661940.00,
2016-11-23,53.00,53.25,52.25,53.00,2432650.00,
2016-11-22,51.25,52.50,51.25,52.50,1294520.00,
2016-11-21,52.00,52.25,50.75,51.25,2182500.00,
2016-11-18,53.00,53.00,51.50,51.75,2096840.00,
2016-11-17,52.00,53.25,52.00,52.75,2335250.00,
2016-11-16,52.25,53.50,51.75,52.00,2825540.00,
2016-11-15,52.25,52.75,51.50,52.25,1665730.00,
2016-11-14,52.00,52.75,51.75,52.00,1335660.00,
2016-11-11,52.50,53.00,51.75,52.50,3593170.00,
2016-11-10,51.00,52.50,51.00,52.00,4197280.00,
2016-11-09,52.50,52.50,49.75,50.50,9988880.00,
2016-11-08,52.75,53.25,52.00,53.00,2074360.00,
2016-11-07,52.50,53.75,52.50,52.75,3191830.00,
2016-11-04,51.75,52.25,51.75,52.00,2109430.00,
2016-11-03,52.00,52.50,51.75,52.00,2888520.00,
2016-11-02,51.75,52.00,50.75,52.00,2451380.00,
2016-11-01,50.00,51.75,50.00,51.75,2400820.00,
2016-10-31,50.25,51.00,49.75,49.75,1341790.00,
2016-10-28,50.75,51.25,50.50,50.50,1356940.00,
2016-10-27,49.50,52.50,49.50,50.75,4969560.00,
2016-10-26,49.50,50.75,49.25,50.00,2274420.00,
2016-10-25,50.25,50.25,49.50,49.75,1068720.00,
2016-10-21,50.00,50.50,48.25,50.00,4254850.00,
2016-10-20,50.75,51.50,49.75,50.00,2129700.00,
2016-10-19,49.75,51.50,49.75,50.75,3738530.00,
2016-10-18,50.00,50.75,49.25,50.50,4606230.00,
2016-10-17,47.75,50.25,47.25,49.25,3742610.00,
2016-10-14,47.75,48.25,46.50,47.75,5037730.00,
2016-10-13,44.00,46.25,42.75,46.00,6982890.00,
2016-10-12,43.50,45.25,39.50,45.00,5545160.00,
2016-10-11,45.25,45.25,43.75,44.25,1159150.00,
2016-10-10,43.50,46.00,43.50,44.75,2725440.00,
2016-10-07,47.50,47.50,46.00,46.00,1938520.00,
2016-10-06,46.25,47.50,46.00,47.50,3488010.00,
2016-10-05,46.75,46.75,46.00,46.50,1019950.00,
2016-10-04,45.25,46.50,45.00,46.50,1613030.00,
2016-10-03,45.00,45.50,44.75,45.00,969890.00,
2016-09-30,44.00,45.00,43.75,44.75,2020340.00,
2016-09-29,43.75,44.50,43.50,44.50,2371320.00,
2016-09-28,44.50,44.75,43.50,43.75,2432750.00,
2016-09-27,45.00,45.25,44.75,44.75,746220.00,
2016-09-26,45.00,45.25,44.75,45.00,847740.00,
2016-09-23,45.75,45.75,44.50,45.50,1511060.00,
2016-09-22,46.00,46.00,45.50,45.50,1276060.00,
2016-09-21,45.00,46.00,44.75,45.25,1540200.00,
2016-09-20,45.50,45.50,44.50,44.50,1159840.00,
2016-09-19,45.75,46.00,45.25,45.50,1585920.00,
2016-09-16,45.00,45.50,44.75,45.50,3094680.00,
2016-09-15,45.00,45.25,44.00,44.75,2582960.00,
2016-09-14,44.00,45.50,44.00,44.75,3781700.00,
2016-09-13,44.00,44.25,43.25,43.75,2079480.00,
2016-09-12,41.75,44.50,41.50,43.50,5399160.00,
2016-09-09,42.00,43.50,41.00,42.50,4122600.00,
