Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,1.82,1.87,1.81,1.86,76933190.00,
2017-03-02,1.83,1.83,1.81,1.82,32143510.00,
2017-03-01,1.83,1.84,1.82,1.83,12298330.00,
2017-02-28,1.80,1.83,1.80,1.82,33486870.00,
2017-02-27,1.83,1.84,1.80,1.81,43277820.00,
2017-02-24,1.84,1.86,1.83,1.83,19386100.00,
2017-02-23,1.84,1.85,1.82,1.84,46697810.00,
2017-02-22,1.84,1.85,1.82,1.84,53281910.00,
2017-02-21,1.88,1.89,1.83,1.85,110028310.00,
2017-02-20,1.85,1.90,1.84,1.89,116828020.00,
2017-02-17,1.78,1.87,1.77,1.84,235692800.00,
2017-02-16,1.83,1.84,1.77,1.80,296182360.00,
2017-02-15,1.94,1.94,1.77,1.83,667543210.00,
2017-02-14,1.96,1.97,1.90,1.95,98673270.00,
2017-02-10,1.96,1.97,1.94,1.96,108901280.00,
2017-02-09,1.95,1.96,1.94,1.95,43670390.00,
2017-02-08,1.96,1.97,1.95,1.95,68530620.00,
2017-02-07,1.95,1.98,1.94,1.96,130190130.00,
2017-02-06,1.97,1.97,1.94,1.94,71121560.00,
2017-02-03,1.95,1.97,1.94,1.95,123190790.00,
2017-02-02,1.93,1.96,1.92,1.94,257047410.00,
2017-02-01,1.90,1.93,1.89,1.92,93378060.00,
2017-01-31,1.92,1.92,1.89,1.90,87175640.00,
2017-01-30,1.88,1.94,1.88,1.92,272785890.00,
2017-01-27,1.86,1.88,1.85,1.87,34778500.00,
2017-01-26,1.86,1.87,1.85,1.86,36707510.00,
2017-01-25,1.88,1.89,1.84,1.85,71481310.00,
2017-01-24,1.88,1.90,1.86,1.88,62136690.00,
2017-01-23,1.88,1.90,1.87,1.88,115673960.00,
2017-01-20,1.83,1.89,1.82,1.88,282892040.00,
2017-01-19,1.83,1.84,1.81,1.83,150351590.00,
2017-01-18,1.86,1.88,1.84,1.84,382289210.00,
2017-01-17,1.79,1.84,1.79,1.83,280621820.00,
2017-01-16,1.78,1.80,1.77,1.79,46961700.00,
2017-01-13,1.78,1.79,1.77,1.78,30355410.00,
2017-01-12,1.80,1.80,1.77,1.78,39037000.00,
2017-01-11,1.79,1.80,1.78,1.79,26761310.00,
2017-01-10,1.79,1.80,1.76,1.79,130886040.00,
2017-01-09,1.79,1.81,1.78,1.80,195505290.00,
2017-01-06,1.75,1.79,1.75,1.78,124521940.00,
2017-01-05,1.75,1.76,1.74,1.75,29937940.00,
2017-01-04,1.73,1.75,1.72,1.75,76406020.00,
2016-12-30,1.72,1.74,1.72,1.72,48208080.00,
2016-12-29,1.73,1.74,1.71,1.71,21029750.00,
2016-12-28,1.72,1.73,1.72,1.73,15384100.00,
2016-12-27,1.72,1.73,1.71,1.72,12020020.00,
2016-12-26,1.74,1.74,1.72,1.72,16029090.00,
2016-12-23,1.72,1.75,1.71,1.74,45833820.00,
2016-12-22,1.72,1.73,1.71,1.71,14265200.00,
2016-12-21,1.71,1.72,1.71,1.72,20054310.00,
2016-12-20,1.73,1.73,1.71,1.72,36897840.00,
2016-12-19,1.75,1.75,1.73,1.73,22376060.00,
2016-12-16,1.73,1.75,1.72,1.75,27950490.00,
2016-12-15,1.71,1.75,1.71,1.73,46903940.00,
2016-12-14,1.74,1.74,1.71,1.72,58855460.00,
2016-12-13,1.75,1.75,1.73,1.74,24272500.00,
2016-12-09,1.75,1.76,1.74,1.75,22855510.00,
2016-12-08,1.75,1.76,1.73,1.75,74622880.00,
2016-12-07,1.76,1.78,1.75,1.75,246369740.00,
2016-12-06,1.71,1.72,1.70,1.72,20109770.00,
2016-12-02,1.73,1.74,1.70,1.70,52204100.00,
2016-12-01,1.74,1.75,1.72,1.73,53945020.00,
2016-11-30,1.73,1.75,1.72,1.74,143247360.00,
2016-11-29,1.73,1.73,1.70,1.73,100907890.00,
2016-11-28,1.71,1.74,1.71,1.72,135672520.00,
2016-11-25,1.67,1.71,1.67,1.71,203917940.00,
2016-11-24,1.63,1.67,1.62,1.67,175159900.00,
2016-11-23,1.62,1.63,1.61,1.63,24489410.00,
2016-11-22,1.60,1.62,1.60,1.62,30608720.00,
2016-11-21,1.60,1.61,1.59,1.61,23109000.00,
2016-11-18,1.60,1.60,1.59,1.59,13154700.00,
2016-11-17,1.59,1.61,1.59,1.60,11651610.00,
2016-11-16,1.60,1.61,1.59,1.59,20381560.00,
2016-11-15,1.61,1.62,1.59,1.59,47923660.00,
2016-11-14,1.62,1.63,1.60,1.61,37474110.00,
2016-11-11,1.64,1.64,1.62,1.63,58024960.00,
2016-11-10,1.62,1.66,1.61,1.64,140004820.00,
2016-11-09,1.62,1.62,1.59,1.61,78488800.00,
2016-11-08,1.63,1.65,1.62,1.62,86708830.00,
2016-11-07,1.64,1.64,1.62,1.63,40906200.00,
2016-11-04,1.64,1.65,1.61,1.63,181684610.00,
2016-11-03,1.57,1.64,1.57,1.61,201711800.00,
2016-11-02,1.57,1.58,1.56,1.58,26351880.00,
2016-11-01,1.58,1.59,1.57,1.57,27468400.00,
2016-10-31,1.57,1.59,1.57,1.58,17129910.00,
2016-10-28,1.57,1.57,1.56,1.56,15888210.00,
2016-10-27,1.56,1.57,1.56,1.56,21579110.00,
2016-10-26,1.60,1.60,1.57,1.57,25717060.00,
2016-10-25,1.58,1.61,1.57,1.59,76852320.00,
