Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,8.30,8.40,8.30,8.35,17308700.00,
2017-02-08,8.30,8.35,8.25,8.35,24117540.00,
2017-02-07,8.30,8.35,8.30,8.30,18597830.00,
2017-02-06,8.40,8.40,8.30,8.30,27245780.00,
2017-02-03,8.35,8.40,8.30,8.35,15650080.00,
2017-02-02,8.35,8.40,8.30,8.35,24324100.00,
2017-02-01,8.35,8.45,8.35,8.35,26936730.00,
2017-01-31,8.45,8.45,8.35,8.35,31041570.00,
2017-01-30,8.45,8.50,8.40,8.50,8415330.00,
2017-01-27,8.50,8.50,8.45,8.50,12645770.00,
2017-01-26,8.50,8.50,8.40,8.50,20117860.00,
2017-01-25,8.45,8.50,8.45,8.50,13539670.00,
2017-01-24,8.50,8.50,8.40,8.40,17766600.00,
2017-01-23,8.45,8.50,8.40,8.50,22181260.00,
2017-01-20,8.45,8.50,8.40,8.45,25035190.00,
2017-01-19,8.45,8.50,8.40,8.45,25758190.00,
2017-01-18,8.65,8.65,8.55,8.55,27475710.00,
2017-01-17,8.65,8.65,8.60,8.60,11112430.00,
2017-01-16,8.65,8.65,8.60,8.60,9377420.00,
2017-01-13,8.65,8.70,8.60,8.65,17165240.00,
2017-01-12,8.70,8.70,8.65,8.65,15790210.00,
2017-01-11,8.70,8.75,8.65,8.65,29822230.00,
2017-01-10,8.70,8.70,8.60,8.70,27844840.00,
2017-01-09,8.65,8.70,8.60,8.70,15572040.00,
2017-01-06,8.65,8.70,8.60,8.60,18723530.00,
2017-01-05,8.75,8.75,8.60,8.65,26684720.00,
2017-01-04,8.60,8.70,8.60,8.70,21584140.00,
2016-12-30,8.65,8.70,8.55,8.55,17614680.00,
2016-12-29,8.60,8.65,8.55,8.65,24753080.00,
2016-12-28,8.50,8.60,8.45,8.60,20034990.00,
2016-12-27,8.45,8.55,8.45,8.50,7234900.00,
2016-12-26,8.45,8.50,8.40,8.50,9327600.00,
2016-12-23,8.40,8.50,8.40,8.40,14321540.00,
2016-12-22,8.40,8.45,8.40,8.40,13818470.00,
2016-12-21,8.45,8.50,8.40,8.40,11438490.00,
2016-12-20,8.50,8.55,8.45,8.45,12777290.00,
2016-12-19,8.45,8.50,8.45,8.45,8146710.00,
2016-12-16,8.40,8.60,8.40,8.45,48606220.00,
2016-12-15,8.50,8.55,8.40,8.40,41484830.00,
2016-12-14,8.65,8.70,8.50,8.55,44764080.00,
2016-12-13,8.70,8.75,8.65,8.70,24891350.00,
2016-12-09,8.75,8.85,8.70,8.70,30027440.00,
2016-12-08,8.95,8.95,8.75,8.75,38883420.00,
2016-12-07,8.80,9.00,8.80,8.85,110401850.00,
2016-12-06,8.55,8.75,8.50,8.65,30702440.00,
2016-12-02,8.60,8.65,8.50,8.50,14001180.00,
2016-12-01,8.75,8.80,8.60,8.60,21365840.00,
2016-11-30,8.55,8.70,8.55,8.70,49641350.00,
2016-11-29,8.55,8.65,8.50,8.55,22430340.00,
2016-11-28,8.55,8.60,8.45,8.50,16705380.00,
2016-11-25,8.45,8.60,8.40,8.55,19565010.00,
2016-11-24,8.50,8.55,8.40,8.40,12808890.00,
2016-11-23,8.35,8.55,8.30,8.55,19108990.00,
2016-11-22,8.35,8.45,8.30,8.30,18407670.00,
2016-11-21,8.40,8.40,8.35,8.35,8033360.00,
2016-11-18,8.45,8.45,8.35,8.35,13636800.00,
2016-11-17,8.45,8.50,8.35,8.45,21333410.00,
2016-11-16,8.50,8.55,8.45,8.45,15362770.00,
2016-11-15,8.50,8.50,8.40,8.45,22959860.00,
2016-11-14,8.45,8.55,8.45,8.45,17560010.00,
2016-11-11,8.65,8.70,8.50,8.50,39289060.00,
2016-11-10,8.65,8.90,8.60,8.70,56834880.00,
2016-11-09,8.55,8.60,8.50,8.55,18854640.00,
2016-11-08,8.60,8.70,8.50,8.55,35576860.00,
2016-11-07,8.55,8.60,8.50,8.55,16471300.00,
2016-11-04,8.50,8.55,8.50,8.55,8826820.00,
2016-11-03,8.60,8.60,8.55,8.55,5159620.00,
2016-11-02,8.55,8.60,8.50,8.60,6938240.00,
2016-11-01,8.55,8.60,8.50,8.55,11332310.00,
2016-10-31,8.55,8.60,8.45,8.55,11057200.00,
2016-10-28,8.60,8.60,8.50,8.55,5883210.00,
2016-10-27,8.55,8.60,8.50,8.60,7696850.00,
2016-10-26,8.65,8.70,8.45,8.60,16049020.00,
2016-10-25,8.65,8.70,8.60,8.65,17998280.00,
2016-10-21,8.45,8.60,8.45,8.60,22507050.00,
2016-10-20,8.45,8.50,8.40,8.45,8501000.00,
2016-10-19,8.35,8.50,8.35,8.40,18622340.00,
2016-10-18,8.45,8.50,8.35,8.35,16282040.00,
2016-10-17,8.45,8.50,8.40,8.45,13542320.00,
