Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,75.50,75.75,74.50,75.00,1915750.00,
2017-02-08,75.75,76.25,75.25,75.25,2420560.00,
2017-02-07,76.75,77.25,75.50,75.75,1708400.00,
2017-02-06,77.50,78.00,76.25,76.50,3689610.00,
2017-02-03,74.50,77.00,74.50,77.00,4457410.00,
2017-02-02,75.25,75.75,74.25,74.25,2439150.00,
2017-02-01,75.25,76.25,75.00,75.00,3040460.00,
2017-01-31,74.50,76.00,74.25,75.25,2390950.00,
2017-01-30,75.50,75.75,74.75,74.75,1462320.00,
2017-01-27,76.75,76.75,75.00,75.50,2854120.00,
2017-01-26,77.00,77.50,76.25,76.50,2346510.00,
2017-01-25,77.00,78.25,76.25,76.50,4180140.00,
2017-01-24,77.25,77.75,76.50,76.75,2645120.00,
2017-01-23,77.25,77.50,76.25,77.00,1374560.00,
2017-01-20,75.75,77.50,75.50,77.00,3714220.00,
2017-01-19,77.00,77.50,73.50,75.50,6719680.00,
2017-01-18,79.75,79.75,77.25,77.25,5361890.00,
2017-01-17,79.25,80.50,79.00,79.25,3313420.00,
2017-01-16,79.75,80.00,79.00,79.25,1852510.00,
2017-01-13,80.00,80.25,79.50,79.75,1776210.00,
2017-01-12,79.75,80.75,79.25,80.00,4167520.00,
2017-01-11,79.00,80.50,79.00,79.25,7091730.00,
2017-01-10,75.75,79.50,75.75,79.00,6376450.00,
2017-01-09,77.50,77.75,76.00,76.00,2646400.00,
2017-01-06,76.75,78.50,76.50,77.25,5359470.00,
2017-01-05,76.50,77.25,76.50,76.75,3071490.00,
2017-01-04,77.00,78.00,76.25,76.25,4449650.00,
2016-12-30,76.00,76.50,75.00,76.25,3900920.00,
2016-12-29,75.00,76.75,74.50,76.25,1893600.00,
2016-12-28,76.00,76.50,75.00,75.00,838700.00,
2016-12-27,74.75,75.75,74.00,75.50,1278840.00,
2016-12-26,72.50,75.00,72.50,74.75,1471910.00,
2016-12-23,73.50,73.75,72.50,73.25,1699300.00,
2016-12-22,73.00,75.00,73.00,73.00,2661840.00,
2016-12-21,75.00,75.75,74.25,74.50,1361790.00,
2016-12-20,77.00,77.00,73.50,75.25,3853910.00,
2016-12-19,75.75,77.25,75.75,76.50,2579900.00,
