Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,35.25,35.75,35.00,35.00,1724740.00,
2017-03-02,36.50,36.50,35.25,35.50,2331120.00,
2017-03-01,36.25,36.25,35.75,36.00,1180910.00,
2017-02-28,35.75,36.25,35.25,36.00,1275100.00,
2017-02-27,35.50,35.75,35.25,35.25,1307200.00,
2017-02-24,36.00,36.25,35.50,35.75,1499850.00,
2017-02-23,36.25,36.25,35.75,36.00,910600.00,
2017-02-22,36.50,36.50,35.75,36.25,683500.00,
2017-02-21,36.50,36.50,36.00,36.25,961650.00,
2017-02-20,37.25,37.25,36.25,36.50,1796690.00,
2017-02-17,37.00,37.25,37.00,37.00,441440.00,
2017-02-16,37.00,37.50,36.75,37.25,1535400.00,
2017-02-15,36.75,37.00,36.50,36.75,645810.00,
2017-02-14,37.25,37.25,36.75,36.75,689410.00,
2017-02-10,36.75,37.25,36.75,37.00,914690.00,
2017-02-09,36.50,37.00,36.50,36.75,1328800.00,
2017-02-08,36.75,37.00,36.25,36.50,2537540.00,
2017-02-07,36.75,37.00,36.25,36.50,1955590.00,
2017-02-06,37.25,37.50,36.50,36.75,3205500.00,
2017-02-03,37.25,37.75,37.00,37.25,1585000.00,
2017-02-02,37.50,37.75,37.00,37.50,1606930.00,
2017-02-01,37.00,37.75,37.00,37.25,1508920.00,
2017-01-31,37.00,37.25,37.00,37.25,1348400.00,
2017-01-30,38.00,38.25,36.75,37.25,3123020.00,
2017-01-27,37.50,38.25,37.50,38.00,1995200.00,
2017-01-26,37.75,37.75,37.50,37.75,471530.00,
2017-01-25,38.25,38.25,37.00,37.75,2402720.00,
2017-01-24,38.25,38.25,37.75,38.00,1000630.00,
2017-01-23,37.25,38.25,37.25,38.25,2447690.00,
2017-01-20,36.75,37.50,36.75,37.25,787100.00,
2017-01-19,37.25,37.50,36.75,37.00,3090200.00,
2017-01-18,37.50,37.50,37.25,37.25,332900.00,
2017-01-17,37.50,37.75,37.00,37.25,659300.00,
2017-01-16,37.75,38.00,37.50,37.50,1881100.00,
2017-01-13,37.00,37.50,36.75,37.50,2837510.00,
2017-01-12,37.25,38.00,36.75,36.75,5492980.00,
2017-01-11,37.50,38.00,37.25,37.25,2552000.00,
2017-01-10,38.25,38.50,37.50,37.50,1652210.00,
