Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.84,2.84,2.78,2.80,87867970.00,
2017-02-08,2.86,2.88,2.80,2.84,57424350.00,
2017-02-07,2.90,2.94,2.84,2.86,66073070.00,
2017-02-06,2.88,2.92,2.88,2.90,27381140.00,
2017-02-03,2.86,2.88,2.84,2.88,24259100.00,
2017-02-02,2.88,2.90,2.82,2.84,54898400.00,
2017-02-01,2.92,2.96,2.84,2.88,87844080.00,
2017-01-31,2.92,2.92,2.88,2.90,29516300.00,
2017-01-30,2.86,2.94,2.86,2.90,35980040.00,
2017-01-27,2.90,2.92,2.84,2.86,38752970.00,
2017-01-26,2.94,2.98,2.88,2.88,90048400.00,
2017-01-25,2.98,3.00,2.88,2.90,70997900.00,
2017-01-24,3.02,3.04,2.96,2.96,95024380.00,
2017-01-23,2.90,2.98,2.90,2.96,140529030.00,
2017-01-20,2.80,2.90,2.80,2.88,79235610.00,
2017-01-19,2.84,2.84,2.78,2.80,41475000.00,
2017-01-18,2.86,2.88,2.82,2.84,22637900.00,
2017-01-17,2.84,2.88,2.84,2.86,8527500.00,
2017-01-16,2.88,2.88,2.84,2.84,25922200.00,
2017-01-13,2.88,2.90,2.84,2.88,16419400.00,
2017-01-12,2.90,2.90,2.86,2.90,21562940.00,
2017-01-11,2.86,2.90,2.86,2.88,21949840.00,
2017-01-10,2.86,2.90,2.86,2.86,22689440.00,
2017-01-09,2.84,2.88,2.84,2.86,21850350.00,
2017-01-06,2.84,2.86,2.82,2.84,18914700.00,
2017-01-05,2.82,2.90,2.82,2.82,75376720.00,
2017-01-04,2.86,2.88,2.80,2.82,38627300.00,
2016-12-30,2.86,2.88,2.84,2.86,9405100.00,
2016-12-29,2.84,2.88,2.82,2.86,11241400.00,
2016-12-28,2.84,2.86,2.82,2.84,13249800.00,
2016-12-27,2.80,2.84,2.80,2.84,18449740.00,
2016-12-26,2.82,2.84,2.80,2.80,7545800.00,
2016-12-23,2.82,2.84,2.80,2.82,14360620.00,
2016-12-22,2.80,2.84,2.78,2.78,21115190.00,
2016-12-21,2.76,2.86,2.76,2.82,25880850.00,
2016-12-20,2.80,2.84,2.76,2.76,46148040.00,
2016-12-19,2.86,2.88,2.78,2.80,42023700.00,
2016-12-16,2.86,2.90,2.84,2.86,37265300.00,
2016-12-15,2.86,2.90,2.84,2.84,39385810.00,
2016-12-14,2.98,2.98,2.84,2.88,58093060.00,
2016-12-13,2.96,2.98,2.94,2.98,27990350.00,
2016-12-09,2.96,2.98,2.92,2.96,33105300.00,
2016-12-08,2.94,2.98,2.90,2.94,101656900.00,
2016-12-07,2.80,2.96,2.78,2.96,138215780.00,
2016-12-06,2.84,2.86,2.78,2.80,31793550.00,
2016-12-02,2.86,2.88,2.82,2.82,26239910.00,
2016-12-01,2.90,2.92,2.84,2.84,23155800.00,
2016-11-30,2.82,2.90,2.76,2.90,88721140.00,
2016-11-29,2.82,2.86,2.80,2.82,13529560.00,
2016-11-28,2.84,2.86,2.82,2.82,10008850.00,
2016-11-25,2.86,2.86,2.80,2.82,26947420.00,
2016-11-24,2.86,2.90,2.82,2.84,54079040.00,
2016-11-23,2.78,2.88,2.78,2.86,69203450.00,
2016-11-22,2.78,2.80,2.76,2.78,22229760.00,
2016-11-21,2.80,2.84,2.78,2.80,31133280.00,
2016-11-18,2.80,2.80,2.74,2.80,19980910.00,
2016-11-17,2.80,2.82,2.76,2.78,73124520.00,
2016-11-16,2.72,2.78,2.70,2.76,43439870.00,
2016-11-15,2.72,2.76,2.66,2.70,57750280.00,
2016-11-14,2.76,2.82,2.70,2.72,72417590.00,
2016-11-11,2.82,2.82,2.76,2.76,35255330.00,
2016-11-10,2.88,2.88,2.82,2.82,36762760.00,
2016-11-09,2.82,2.86,2.76,2.84,73630210.00,
2016-11-08,2.82,2.90,2.82,2.86,103253330.00,
2016-11-07,2.76,2.80,2.74,2.80,20013440.00,
2016-11-04,2.76,2.76,2.70,2.74,22990020.00,
2016-11-03,2.72,2.80,2.72,2.74,34396420.00,
2016-11-02,2.78,2.78,2.70,2.72,26759420.00,
2016-11-01,2.84,2.84,2.76,2.78,41890020.00,
2016-10-31,2.78,2.82,2.76,2.82,48771290.00,
2016-10-28,2.78,2.84,2.76,2.76,141970030.00,
2016-10-27,2.58,2.78,2.56,2.76,318418260.00,
2016-10-26,2.58,2.58,2.54,2.56,16604600.00,
2016-10-25,2.60,2.60,2.54,2.56,24522000.00,
2016-10-21,2.56,2.58,2.52,2.56,17292710.00,
2016-10-20,2.60,2.60,2.54,2.56,19075480.00,
2016-10-19,2.50,2.58,2.50,2.56,41041860.00,
2016-10-18,2.52,2.54,2.48,2.48,14500820.00,
2016-10-17,2.50,2.54,2.46,2.52,40192030.00,
2016-10-14,2.42,2.52,2.36,2.52,83816750.00,
2016-10-13,2.22,2.34,2.12,2.32,81159840.00,
2016-10-12,2.26,2.30,2.06,2.26,131284340.00,
2016-10-11,2.34,2.40,2.26,2.30,96555530.00,
2016-10-10,2.40,2.46,2.34,2.34,127516100.00,
2016-10-07,2.58,2.60,2.52,2.52,57123060.00,
2016-10-06,2.66,2.66,2.58,2.60,33075070.00,
2016-10-05,2.64,2.66,2.62,2.66,16319750.00,
2016-10-04,2.66,2.66,2.60,2.64,25031490.00,
2016-10-03,2.64,2.66,2.60,2.64,22888110.00,
2016-09-30,2.64,2.68,2.62,2.62,29870780.00,
2016-09-29,2.68,2.74,2.66,2.68,46689880.00,
2016-09-28,2.70,2.72,2.64,2.64,77094480.00,
2016-09-27,2.60,2.72,2.58,2.70,150565520.00,
2016-09-26,2.52,2.60,2.50,2.60,36241500.00,
2016-09-23,2.60,2.62,2.50,2.54,55069860.00,
2016-09-22,2.56,2.60,2.54,2.60,42345400.00,
2016-09-21,2.52,2.58,2.52,2.54,26870700.00,
2016-09-20,2.58,2.60,2.48,2.50,55354110.00,
2016-09-19,2.58,2.62,2.54,2.58,56617710.00,
2016-09-16,2.56,2.58,2.50,2.56,41489430.00,
2016-09-15,2.52,2.60,2.52,2.54,98849010.00,
2016-09-14,2.34,2.50,2.32,2.50,98187440.00,
2016-09-13,2.24,2.34,2.20,2.34,80218800.00,
2016-09-12,2.22,2.26,2.18,2.18,46054350.00,
2016-09-09,2.28,2.32,2.24,2.30,63334000.00,
