Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,27.75,28.25,27.50,27.50,7988460.00,
2017-03-02,27.75,28.25,27.50,28.00,14548000.00,
2017-03-01,27.50,27.75,27.00,27.50,5986580.00,
2017-02-28,26.75,27.25,26.50,27.25,8724900.00,
2017-02-27,27.50,27.50,26.00,26.75,35782860.00,
2017-02-24,28.25,28.25,27.00,27.75,25154280.00,
2017-02-23,28.25,28.25,28.00,28.00,7813150.00,
2017-02-22,28.50,28.50,28.00,28.00,9174510.00,
2017-02-21,28.25,28.75,28.00,28.25,12994300.00,
2017-02-20,28.25,28.25,28.00,28.00,3724300.00,
2017-02-17,28.25,28.50,28.00,28.25,12731440.00,
2017-02-16,28.25,28.50,28.00,28.00,11274490.00,
2017-02-15,28.50,28.50,28.00,28.25,8342850.00,
2017-02-14,29.00,29.00,28.25,28.25,9745590.00,
2017-02-10,29.00,29.00,28.50,29.00,11199170.00,
2017-02-09,29.00,29.25,28.50,28.75,9017150.00,
2017-02-08,28.75,29.25,28.25,28.75,20381720.00,
2017-02-07,29.00,29.25,28.75,28.75,3893960.00,
2017-02-06,29.00,29.50,28.75,29.00,7555400.00,
2017-02-03,28.75,29.25,28.75,29.00,6521600.00,
2017-02-02,29.25,29.25,28.50,28.50,12926770.00,
2017-02-01,28.75,29.25,28.50,29.25,12060390.00,
2017-01-31,29.00,29.25,28.50,28.75,12277490.00,
2017-01-30,29.50,29.75,28.75,29.00,15292550.00,
2017-01-27,29.50,29.75,28.75,29.75,14490720.00,
2017-01-26,30.00,30.25,29.50,29.50,7686170.00,
2017-01-25,30.00,30.00,29.25,29.50,6751020.00,
2017-01-24,30.00,30.25,29.75,30.00,2916570.00,
2017-01-23,29.75,30.00,29.50,29.75,4146030.00,
2017-01-20,29.50,30.00,29.25,29.75,2703480.00,
2017-01-19,29.75,30.00,29.25,29.50,7462560.00,
2017-01-18,29.75,30.25,29.50,29.75,5571790.00,
2017-01-17,29.75,30.00,29.50,29.50,8768270.00,
2017-01-16,30.50,30.50,29.75,29.75,20322920.00,
2017-01-13,30.75,30.75,30.25,30.50,6851870.00,
2017-01-12,31.00,31.00,30.50,30.50,6232890.00,
2017-01-11,31.25,31.25,30.50,31.00,12032830.00,
2017-01-10,31.00,31.25,30.75,31.00,6995640.00,
2017-01-09,31.25,31.50,30.75,30.75,10627140.00,
2017-01-06,31.00,31.75,31.00,31.25,12763720.00,
2017-01-05,31.50,31.75,30.75,31.00,18625430.00,
2017-01-04,31.00,31.50,31.00,31.25,9246170.00,
2016-12-30,30.75,31.25,30.75,31.00,6429910.00,
2016-12-29,30.75,31.00,30.25,30.75,3983660.00,
2016-12-28,30.50,30.75,30.25,30.75,6428500.00,
2016-12-27,30.50,30.50,30.25,30.50,1717690.00,
2016-12-26,30.25,30.75,30.00,30.50,6120080.00,
2016-12-23,30.25,30.50,30.00,30.50,4358710.00,
2016-12-22,30.50,30.50,30.00,30.25,3404350.00,
2016-12-21,30.75,30.75,30.25,30.50,3911010.00,
2016-12-20,31.00,31.25,30.50,30.50,5501290.00,
2016-12-19,31.00,31.00,30.50,31.00,2109870.00,
2016-12-16,31.25,31.25,30.75,31.00,5758160.00,
2016-12-15,30.50,31.00,30.50,31.00,6542450.00,
2016-12-14,31.50,31.75,30.75,30.75,9480750.00,
2016-12-13,31.75,32.00,31.50,31.50,6940560.00,
2016-12-09,32.00,32.25,31.00,31.75,25947110.00,
2016-12-08,31.25,32.25,31.00,31.75,27013260.00,
2016-12-07,30.25,31.00,30.25,30.75,13926690.00,
2016-12-06,30.50,30.75,30.25,30.75,2867950.00,
2016-12-02,30.75,31.00,30.25,30.25,4036990.00,
2016-12-01,31.50,31.75,30.75,31.00,8060770.00,
2016-11-30,31.00,31.50,30.75,31.50,12776450.00,
2016-11-29,31.00,31.25,30.50,31.00,4875910.00,
2016-11-28,30.75,31.00,30.50,31.00,5891160.00,
2016-11-25,30.50,31.00,30.50,30.50,4427130.00,
2016-11-24,30.50,30.75,30.25,30.50,3119010.00,
2016-11-23,30.75,30.75,30.50,30.50,2744050.00,
2016-11-22,30.00,30.75,30.00,30.50,8076590.00,
2016-11-21,30.25,30.25,29.50,29.75,6747130.00,
2016-11-18,30.25,30.25,30.00,30.25,2244900.00,
2016-11-17,30.50,30.50,30.00,30.50,5661270.00,
2016-11-16,30.50,30.50,30.25,30.50,3639610.00,
2016-11-15,30.25,30.75,29.75,30.25,11982950.00,
2016-11-14,30.75,31.00,30.25,30.25,12172190.00,
2016-11-11,30.75,31.25,30.50,31.00,10547650.00,
2016-11-10,31.75,31.75,31.00,31.00,7895610.00,
2016-11-09,30.25,31.25,29.75,31.25,25757420.00,
2016-11-08,31.00,31.25,30.75,30.75,9543660.00,
2016-11-07,31.00,31.00,30.75,31.00,12107930.00,
2016-11-04,30.50,30.75,30.25,30.50,8200580.00,
2016-11-03,30.75,31.25,30.50,30.75,18038670.00,
2016-11-02,30.75,31.00,30.25,30.75,18844720.00,
2016-11-01,30.00,31.00,30.00,30.75,34838100.00,
2016-10-31,29.25,29.50,29.00,29.50,6868260.00,
2016-10-28,29.50,29.50,29.00,29.25,4589190.00,
2016-10-27,29.50,29.75,29.00,29.50,5898880.00,
2016-10-26,30.00,30.00,29.50,29.50,4441760.00,
2016-10-25,30.00,30.25,29.50,30.00,8449370.00,
2016-10-21,30.00,30.00,29.50,30.00,6036530.00,
2016-10-20,30.00,30.00,29.25,29.50,9531540.00,
2016-10-19,29.25,30.25,29.25,29.75,16328220.00,
2016-10-18,29.50,29.50,28.75,29.25,8251280.00,
2016-10-17,29.00,29.50,28.75,29.25,11978510.00,
2016-10-14,28.25,29.25,28.00,29.00,34229620.00,
2016-10-13,26.00,27.50,25.00,27.50,34541500.00,
2016-10-12,27.50,28.00,24.30,26.75,78030460.00,
2016-10-11,28.50,28.75,27.50,28.00,18423400.00,
2016-10-10,28.00,28.75,28.00,28.50,40067800.00,
2016-10-07,30.50,30.75,29.75,30.00,8630130.00,
2016-10-06,30.25,30.75,30.00,30.50,15107460.00,
2016-10-05,29.75,30.25,29.75,30.00,11735760.00,
2016-10-04,29.00,29.75,29.00,29.75,10598700.00,
2016-10-03,29.25,29.50,28.75,29.00,9379110.00,
2016-09-30,28.75,29.50,28.25,29.50,11281330.00,
2016-09-29,29.00,29.25,28.75,28.75,5269850.00,
2016-09-28,29.00,29.25,28.50,28.75,3393870.00,
2016-09-27,29.00,29.50,28.75,29.00,5029290.00,
2016-09-26,28.75,29.00,28.50,29.00,7322530.00,
2016-09-23,29.75,30.00,28.75,29.00,26375850.00,
2016-09-22,29.75,29.75,29.25,29.75,7830220.00,
2016-09-21,29.50,29.75,29.25,29.25,11675110.00,
2016-09-20,29.50,29.50,28.75,29.00,18624660.00,
2016-09-19,29.25,30.00,29.00,29.50,12132010.00,
2016-09-16,29.25,29.50,28.75,29.25,20140390.00,
2016-09-15,29.00,29.50,28.75,29.00,10356010.00,
2016-09-14,28.25,29.25,28.25,29.00,16898870.00,
2016-09-13,28.00,28.50,28.00,28.50,13392820.00,
2016-09-12,27.75,28.50,27.25,27.25,21759210.00,
2016-09-09,27.75,28.75,27.25,28.50,31926480.00,
