Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,3.26,3.28,3.24,3.26,6997000.00,
2017-03-02,3.30,3.30,3.26,3.28,4666910.00,
2017-03-01,3.24,3.30,3.24,3.28,32189160.00,
2017-02-28,3.20,3.26,3.18,3.24,35010680.00,
2017-02-27,3.18,3.20,3.16,3.18,8670120.00,
2017-02-24,3.18,3.20,3.16,3.20,13385090.00,
2017-02-23,3.14,3.18,3.12,3.16,30891300.00,
2017-02-22,3.18,3.20,3.12,3.16,26171880.00,
2017-02-21,3.26,3.26,3.18,3.18,15947130.00,
2017-02-20,3.26,3.26,3.22,3.24,10313640.00,
2017-02-17,3.24,3.28,3.22,3.24,15062880.00,
2017-02-16,3.28,3.28,3.20,3.22,19679410.00,
2017-02-15,3.20,3.26,3.16,3.26,25191200.00,
2017-02-14,3.28,3.32,3.16,3.18,55866660.00,
2017-02-10,3.16,3.32,3.16,3.30,87914020.00,
2017-02-09,3.16,3.20,3.12,3.14,22282530.00,
2017-02-08,3.18,3.18,3.12,3.14,37039560.00,
2017-02-07,3.16,3.20,3.12,3.16,64009440.00,
2017-02-06,3.22,3.26,3.10,3.12,72861420.00,
2017-02-03,3.22,3.28,3.18,3.20,64216620.00,
2017-02-02,3.30,3.36,3.18,3.22,77317140.00,
2017-02-01,3.36,3.40,3.24,3.28,55939640.00,
2017-01-31,3.38,3.42,3.32,3.36,33299380.00,
2017-01-30,3.42,3.48,3.34,3.36,59594920.00,
2017-01-27,3.46,3.50,3.44,3.44,18090740.00,
2017-01-26,3.50,3.52,3.44,3.46,49032140.00,
2017-01-25,3.54,3.56,3.46,3.48,66654170.00,
2017-01-24,3.58,3.60,3.54,3.54,14512000.00,
2017-01-23,3.58,3.62,3.56,3.56,17697800.00,
2017-01-20,3.52,3.60,3.52,3.56,27854320.00,
2017-01-19,3.54,3.56,3.50,3.50,35789500.00,
2017-01-18,3.58,3.60,3.54,3.54,16899120.00,
2017-01-17,3.64,3.66,3.54,3.58,42971710.00,
2017-01-16,3.60,3.74,3.60,3.64,208540680.00,
2017-01-13,3.58,3.58,3.56,3.58,5259380.00,
2017-01-12,3.60,3.62,3.56,3.58,15315400.00,
2017-01-11,3.56,3.62,3.50,3.62,41805300.00,
2017-01-10,3.50,3.58,3.48,3.54,22649380.00,
2017-01-09,3.56,3.56,3.48,3.50,43560300.00,
2017-01-06,3.58,3.60,3.54,3.54,22260900.00,
2017-01-05,3.62,3.64,3.54,3.56,45654600.00,
2017-01-04,3.56,3.66,3.56,3.60,35089400.00,
2016-12-30,3.54,3.56,3.52,3.56,20540840.00,
2016-12-29,3.60,3.62,3.50,3.52,57936620.00,
2016-12-28,3.58,3.66,3.58,3.60,27830950.00,
2016-12-27,3.58,3.62,3.56,3.56,9449640.00,
2016-12-26,3.62,3.62,3.56,3.60,15207670.00,
2016-12-23,3.56,3.62,3.56,3.60,11907800.00,
2016-12-22,3.60,3.64,3.56,3.56,15611210.00,
2016-12-21,3.60,3.62,3.58,3.60,13085100.00,
2016-12-20,3.68,3.70,3.56,3.60,50975770.00,
2016-12-19,3.68,3.70,3.64,3.68,17809980.00,
2016-12-16,3.68,3.78,3.66,3.68,83484200.00,
2016-12-15,3.64,3.68,3.62,3.68,17656250.00,
2016-12-14,3.72,3.72,3.64,3.68,20976570.00,
2016-12-13,3.64,3.72,3.58,3.72,66689690.00,
2016-12-09,3.68,3.68,3.60,3.62,44113920.00,
2016-12-08,3.54,3.70,3.52,3.70,89276620.00,
2016-12-07,3.52,3.58,3.50,3.52,23314500.00,
2016-12-06,3.50,3.56,3.46,3.52,35920610.00,
2016-12-02,3.60,3.62,3.46,3.50,61960120.00,
2016-12-01,3.72,3.72,3.54,3.60,76474700.00,
2016-11-30,3.54,3.72,3.50,3.70,190298990.00,
2016-11-29,3.50,3.54,3.46,3.54,29792300.00,
2016-11-28,3.54,3.56,3.50,3.50,39467000.00,
2016-11-25,3.48,3.52,3.46,3.50,18298400.00,
2016-11-24,3.50,3.52,3.44,3.46,27681900.00,
2016-11-23,3.54,3.56,3.48,3.50,29284420.00,
2016-11-22,3.40,3.54,3.40,3.52,31949140.00,
2016-11-21,3.40,3.42,3.38,3.40,5669500.00,
2016-11-18,3.38,3.40,3.36,3.40,5681900.00,
2016-11-17,3.38,3.40,3.36,3.38,5578870.00,
2016-11-16,3.46,3.48,3.38,3.38,15247830.00,
2016-11-15,3.42,3.46,3.34,3.46,14798720.00,
2016-11-14,3.48,3.48,3.36,3.40,21087200.00,
2016-11-11,3.52,3.54,3.46,3.50,13299210.00,
2016-11-10,3.46,3.56,3.44,3.54,25100820.00,
2016-11-09,3.42,3.48,3.38,3.44,18947200.00,
2016-11-08,3.42,3.50,3.40,3.46,16103490.00,
2016-11-07,3.42,3.48,3.34,3.42,26166030.00,
2016-11-04,3.48,3.48,3.34,3.44,25081140.00,
2016-11-03,3.46,3.50,3.44,3.48,10275100.00,
2016-11-02,3.50,3.50,3.44,3.44,17827410.00,
2016-11-01,3.54,3.56,3.50,3.50,19880320.00,
2016-10-31,3.50,3.54,3.46,3.54,14042380.00,
2016-10-28,3.54,3.54,3.46,3.50,24262300.00,
2016-10-27,3.48,3.56,3.44,3.54,21830270.00,
2016-10-26,3.60,3.60,3.48,3.52,29136470.00,
2016-10-25,3.48,3.60,3.46,3.58,40614250.00,
2016-10-21,3.52,3.58,3.46,3.48,26703380.00,
2016-10-20,3.44,3.58,3.40,3.52,40812920.00,
2016-10-19,3.26,3.48,3.26,3.46,43385360.00,
2016-10-18,3.32,3.32,3.24,3.28,15866000.00,
2016-10-17,3.28,3.34,3.20,3.30,43803920.00,
2016-10-14,3.28,3.38,3.20,3.32,152210440.00,
2016-10-13,3.02,3.22,2.92,3.22,161993700.00,
2016-10-12,3.26,3.34,2.80,3.12,242207150.00,
2016-10-11,3.34,3.42,3.26,3.30,132818220.00,
2016-10-10,3.26,3.38,3.26,3.30,172665760.00,
2016-10-07,3.70,3.72,3.46,3.48,350807430.00,
2016-10-06,3.48,3.84,3.44,3.74,344955420.00,
2016-10-05,3.48,3.50,3.42,3.48,43799010.00,
2016-10-04,3.44,3.52,3.40,3.50,89332180.00,
2016-10-03,3.32,3.40,3.30,3.40,55335000.00,
2016-09-30,3.34,3.38,3.24,3.28,52672480.00,
2016-09-29,3.32,3.42,3.30,3.38,74285840.00,
2016-09-28,3.42,3.50,3.28,3.28,73697860.00,
2016-09-27,3.44,3.48,3.40,3.44,90365220.00,
2016-09-26,3.48,3.58,3.42,3.42,262665310.00,
2016-09-23,3.24,3.50,3.18,3.48,204695570.00,
2016-09-22,3.24,3.28,3.22,3.24,24507680.00,
2016-09-21,3.22,3.26,3.20,3.20,13687200.00,
2016-09-20,3.26,3.26,3.16,3.18,36346680.00,
2016-09-19,3.22,3.28,3.18,3.28,33251400.00,
2016-09-16,3.14,3.22,3.12,3.20,37519100.00,
2016-09-15,3.10,3.16,3.04,3.14,36907800.00,
2016-09-14,3.02,3.06,3.00,3.06,21677800.00,
2016-09-13,3.00,3.06,2.96,3.04,34590980.00,
2016-09-12,2.94,3.06,2.90,2.94,47646420.00,
2016-09-09,2.92,3.00,2.82,2.96,54288460.00,
