Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,12.00,12.00,11.90,11.90,1603820.00,
2017-03-02,12.00,12.10,11.90,12.00,3953400.00,
2017-03-01,11.80,12.00,11.80,12.00,2810020.00,
2017-02-28,11.70,11.90,11.70,11.70,879200.00,
2017-02-27,11.80,11.90,11.70,11.70,5559800.00,
2017-02-24,12.00,12.10,11.90,11.90,3605900.00,
2017-02-23,12.20,12.20,11.90,11.90,6378430.00,
2017-02-22,12.00,12.00,11.70,12.00,2903300.00,
2017-02-21,12.20,12.20,11.90,11.90,4491320.00,
2017-02-20,12.10,12.30,12.00,12.20,5058650.00,
2017-02-17,12.10,12.30,11.90,12.00,6492950.00,
2017-02-16,11.60,12.10,11.60,12.10,11014300.00,
2017-02-15,11.70,11.70,11.40,11.50,2549470.00,
2017-02-14,11.70,11.80,11.60,11.70,2242450.00,
2017-02-10,11.90,11.90,11.70,11.70,3320360.00,
2017-02-09,11.60,11.90,11.40,11.80,9727820.00,
2017-02-08,11.70,11.80,11.50,11.50,4433330.00,
2017-02-07,11.90,12.00,11.60,11.70,5117150.00,
2017-02-06,12.10,12.10,11.80,11.80,6455580.00,
2017-02-03,11.80,11.90,11.60,11.90,9150210.00,
2017-02-02,12.10,12.30,11.50,11.60,16119780.00,
2017-02-01,11.90,12.20,11.80,11.90,10301280.00,
2017-01-31,12.30,12.40,11.70,11.80,12278630.00,
2017-01-30,12.20,12.50,12.10,12.20,10551630.00,
2017-01-27,12.10,12.40,12.00,12.10,8699010.00,
2017-01-26,12.80,13.00,12.00,12.10,24791600.00,
2017-01-25,13.00,13.10,12.60,12.70,14671810.00,
2017-01-24,13.10,13.20,12.90,13.00,3728670.00,
2017-01-23,13.00,13.20,13.00,13.10,2563600.00,
2017-01-20,12.90,13.10,12.90,12.90,3447500.00,
2017-01-19,13.10,13.10,12.90,12.90,7001030.00,
2017-01-18,13.20,13.30,13.00,13.10,6467500.00,
2017-01-17,12.90,13.50,12.90,13.10,25822560.00,
2017-01-16,13.00,13.10,12.90,12.90,3541710.00,
2017-01-13,13.10,13.10,12.90,13.00,5612010.00,
2017-01-12,13.10,13.10,12.90,13.10,6665100.00,
2017-01-11,12.90,13.20,12.90,13.00,14471140.00,
2017-01-10,13.00,13.00,12.60,12.90,12301780.00,
2017-01-09,13.00,13.10,12.90,13.00,5041630.00,
2017-01-06,13.10,13.40,13.00,13.00,9584400.00,
2017-01-05,13.20,13.40,12.90,13.10,11287160.00,
2017-01-04,13.20,13.30,13.10,13.20,7418300.00,
2016-12-30,13.10,13.20,13.00,13.10,6240310.00,
2016-12-29,13.20,13.30,13.10,13.10,3670800.00,
2016-12-28,13.10,13.30,13.00,13.20,5659610.00,
2016-12-27,13.00,13.20,12.90,13.00,9857130.00,
2016-12-26,13.30,13.60,12.80,12.90,22923210.00,
2016-12-23,12.80,13.00,12.60,13.00,10733810.00,
2016-12-22,13.00,13.20,12.90,12.90,4106600.00,
2016-12-21,13.30,13.40,12.60,13.20,14797610.00,
2016-12-20,14.10,14.10,13.10,13.40,19879630.00,
2016-12-19,14.20,14.20,13.90,14.00,2703120.00,
2016-12-16,14.20,14.30,14.10,14.10,1887510.00,
2016-12-15,14.10,14.30,14.00,14.20,3963100.00,
2016-12-14,14.50,14.50,14.20,14.30,3580500.00,
2016-12-13,14.50,14.50,14.20,14.50,2895200.00,
2016-12-09,14.10,14.40,14.10,14.40,5763370.00,
2016-12-08,14.50,14.60,14.00,14.10,4461730.00,
2016-12-07,14.00,14.50,14.00,14.40,9895400.00,
2016-12-06,14.00,14.10,13.80,13.90,3458910.00,
2016-12-02,13.90,14.10,13.80,14.00,6725000.00,
2016-12-01,14.30,14.50,13.60,13.90,10991660.00,
2016-11-30,14.30,14.80,14.10,14.10,13806880.00,
2016-11-29,14.60,14.70,14.20,14.30,18382700.00,
2016-11-28,13.80,14.60,13.80,14.60,26561430.00,
2016-11-25,13.20,13.80,13.10,13.70,31982360.00,
2016-11-24,13.20,13.20,12.90,13.10,90706820.00,
2016-11-23,13.30,13.70,13.30,13.70,10280820.00,
2016-11-22,13.00,13.40,13.00,13.20,7686880.00,
2016-11-21,12.90,13.00,12.60,13.00,3863400.00,
2016-11-18,12.90,13.00,12.60,12.90,7075050.00,
2016-11-17,13.20,13.20,12.90,13.10,3308320.00,
2016-11-16,13.30,13.40,13.00,13.20,4127280.00,
2016-11-15,13.00,13.30,12.80,13.30,9107770.00,
2016-11-14,12.50,12.80,12.10,12.80,5128260.00,
2016-11-11,13.30,13.30,12.90,12.90,5527340.00,
2016-11-10,13.70,13.70,13.20,13.30,5908340.00,
2016-11-09,12.90,13.60,12.70,13.50,19334550.00,
2016-11-08,13.20,13.30,12.90,13.20,8790810.00,
2016-11-07,13.00,13.20,12.80,13.20,12675110.00,
2016-11-04,12.80,12.90,12.50,12.90,13997400.00,
2016-11-03,12.60,13.10,12.50,13.00,15391010.00,
2016-11-02,12.80,12.90,12.50,12.60,7474180.00,
2016-11-01,12.80,13.00,12.80,13.00,5018240.00,
2016-10-31,13.10,13.30,12.80,12.80,5072920.00,
2016-10-28,13.00,13.30,12.80,13.20,11565320.00,
2016-10-27,12.10,13.20,11.80,13.20,45982530.00,
2016-10-26,12.40,12.50,11.90,12.20,15123680.00,
2016-10-25,12.10,12.50,11.80,12.50,26662260.00,
2016-10-21,12.40,12.70,12.00,12.10,58769440.00,
2016-10-20,11.40,12.00,11.40,12.00,41566780.00,
2016-10-19,11.00,11.50,11.00,11.30,34137620.00,
2016-10-18,10.90,11.20,10.70,11.00,29951740.00,
2016-10-17,10.70,11.00,10.50,10.80,21998800.00,
2016-10-14,10.30,10.90,10.00,10.70,58654750.00,
2016-10-13,9.15,9.75,8.80,9.70,51404520.00,
2016-10-12,9.95,10.10,7.70,9.30,58039770.00,
2016-10-11,10.40,10.50,9.85,10.10,17094380.00,
2016-10-10,10.10,10.50,10.00,10.10,27965690.00,
2016-10-07,11.10,11.30,10.80,10.80,15000750.00,
2016-10-06,10.80,11.20,10.80,11.00,20381030.00,
2016-10-05,10.80,10.90,10.70,10.80,7377850.00,
2016-10-04,10.60,10.90,10.60,10.80,14632120.00,
2016-10-03,10.30,10.60,10.30,10.50,10481200.00,
2016-09-30,10.40,10.50,10.10,10.20,7905220.00,
2016-09-29,10.60,10.60,10.40,10.40,3286120.00,
2016-09-28,10.60,10.70,10.40,10.50,5819750.00,
2016-09-27,10.80,10.90,10.50,10.50,8113400.00,
2016-09-26,10.20,10.70,10.20,10.60,12055500.00,
2016-09-23,10.70,10.70,10.40,10.40,35911460.00,
2016-09-22,10.30,10.80,10.20,10.80,43489660.00,
2016-09-21,10.10,10.40,10.10,10.10,15157700.00,
2016-09-20,10.30,10.30,9.95,10.00,17085110.00,
2016-09-19,10.20,10.40,10.20,10.40,10644710.00,
2016-09-16,10.10,10.30,10.00,10.00,14414460.00,
2016-09-15,9.90,10.10,9.85,9.90,31262600.00,
2016-09-14,9.20,10.00,9.20,9.90,56841860.00,
2016-09-13,9.05,9.40,9.05,9.30,44097060.00,
2016-09-12,9.05,9.25,8.65,8.75,31534510.00,
2016-09-09,10.00,10.10,9.25,9.30,53794380.00,
