Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,60.25,60.50,60.00,60.25,13978780.00,
2017-02-08,60.75,61.25,60.25,60.50,11901540.00,
2017-02-07,61.00,61.50,60.75,60.75,10769330.00,
2017-02-06,60.25,61.25,60.00,61.25,14457910.00,
2017-02-03,59.75,60.25,59.50,60.00,12977900.00,
2017-02-02,59.75,60.25,59.50,59.50,13685240.00,
2017-02-01,60.50,60.75,60.00,60.00,12368190.00,
2017-01-31,60.50,60.75,60.25,60.50,11924150.00,
2017-01-30,60.50,61.25,60.50,60.75,6730350.00,
2017-01-27,61.00,61.25,60.50,60.75,11045260.00,
2017-01-26,61.75,61.75,61.00,61.00,52600290.00,
2017-01-25,59.25,59.50,58.25,58.75,59967140.00,
2017-01-24,59.50,59.50,58.75,59.25,30193670.00,
2017-01-23,59.25,59.50,59.00,59.25,21982780.00,
2017-01-20,59.50,59.75,59.00,59.50,31935270.00,
2017-01-19,59.75,59.75,58.75,59.25,85765960.00,
2017-01-18,61.00,61.25,60.25,60.25,33425990.00,
2017-01-17,61.50,62.00,61.00,61.00,29956420.00,
2017-01-16,62.00,62.00,61.50,61.50,10207130.00,
2017-01-13,61.25,62.25,61.25,62.00,29297400.00,
2017-01-12,61.75,61.75,61.00,61.25,29808170.00,
2017-01-11,61.75,62.25,61.50,61.50,29019690.00,
2017-01-10,62.00,62.25,61.50,62.00,30267910.00,
2017-01-09,63.50,63.50,62.00,62.00,59210830.00,
2017-01-06,64.75,65.00,63.50,63.75,26494580.00,
2017-01-05,65.00,65.50,64.25,64.75,26399690.00,
2017-01-04,63.00,65.50,63.00,65.00,44927000.00,
2016-12-30,62.00,63.00,61.75,62.50,19617960.00,
2016-12-29,61.00,62.25,60.75,62.00,14299820.00,
2016-12-28,61.25,61.50,60.75,61.00,15900820.00,
2016-12-27,61.50,61.75,61.25,61.25,3803980.00,
2016-12-26,61.00,61.50,60.75,61.50,3506270.00,
2016-12-23,61.25,61.50,60.75,60.75,27102100.00,
2016-12-22,61.75,62.00,61.25,61.50,20431570.00,
2016-12-21,61.75,62.25,61.75,61.75,14724820.00,
2016-12-20,62.75,62.75,61.75,61.75,12147970.00,
2016-12-19,61.75,62.50,61.75,62.50,16269650.00,
2016-12-16,61.50,62.25,61.25,61.75,33130250.00,
2016-12-15,60.75,61.75,60.50,61.50,20033320.00,
2016-12-14,60.25,61.25,60.00,60.50,22654480.00,
2016-12-13,60.25,60.50,60.00,60.25,15297970.00,
2016-12-09,60.25,60.75,60.00,60.00,15922840.00,
