Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,28.25,28.50,28.00,28.00,13425190.00,
2017-03-02,28.50,28.50,28.00,28.00,15879000.00,
2017-03-01,28.00,28.50,28.00,28.25,37580060.00,
2017-02-28,27.75,28.00,27.75,28.00,21250450.00,
2017-02-27,27.25,27.75,27.25,27.50,28436900.00,
2017-02-24,27.75,28.00,27.00,27.00,83460720.00,
2017-02-23,28.25,28.50,28.00,28.25,18933690.00,
2017-02-22,28.25,28.75,28.25,28.50,18195620.00,
2017-02-21,28.25,28.50,28.00,28.25,13118600.00,
2017-02-20,28.25,28.50,28.00,28.25,13710110.00,
2017-02-17,28.50,29.00,28.25,28.25,12350870.00,
2017-02-16,28.75,29.00,28.50,28.50,11013120.00,
2017-02-15,28.50,29.00,28.25,28.75,14200780.00,
2017-02-14,29.00,29.00,28.25,28.50,17068010.00,
2017-02-10,28.75,29.00,28.50,28.75,12663510.00,
2017-02-09,28.75,29.00,28.50,28.50,13130840.00,
2017-02-08,28.50,29.00,28.25,28.75,22689330.00,
2017-02-07,28.50,28.75,28.25,28.50,11887940.00,
2017-02-06,28.75,28.75,28.25,28.50,11529000.00,
2017-02-03,28.25,28.50,28.00,28.50,14209980.00,
2017-02-02,28.25,28.50,27.75,28.00,39674140.00,
2017-02-01,28.50,28.75,28.25,28.25,42223540.00,
2017-01-31,28.75,29.00,28.50,28.50,14001480.00,
2017-01-30,28.75,29.00,28.50,29.00,7109670.00,
2017-01-27,29.00,29.00,28.50,28.75,17143510.00,
2017-01-26,29.75,30.00,28.75,28.75,35977470.00,
2017-01-25,29.25,29.75,29.00,29.50,31669640.00,
2017-01-24,28.50,29.50,28.25,29.00,34086460.00,
2017-01-23,28.75,29.00,28.00,28.50,22769480.00,
2017-01-20,28.75,28.75,28.25,28.50,17917520.00,
2017-01-19,29.25,29.50,28.00,28.50,46436840.00,
2017-01-18,29.75,29.75,29.25,29.25,15526570.00,
2017-01-17,29.75,29.75,29.25,29.50,14410780.00,
2017-01-16,29.75,30.00,29.50,29.50,22540660.00,
2017-01-13,30.00,30.00,29.50,30.00,16746370.00,
2017-01-12,30.00,30.00,29.50,30.00,19540500.00,
2017-01-11,30.00,30.25,29.75,29.75,16544020.00,
2017-01-10,29.50,30.25,29.50,30.25,28769050.00,
2017-01-09,30.25,30.25,29.50,29.50,24733280.00,
2017-01-06,30.00,30.75,29.75,30.25,63552770.00,
2017-01-05,29.75,30.00,29.50,29.75,35714940.00,
2017-01-04,29.75,30.00,29.50,29.50,28900860.00,
2016-12-30,29.00,29.75,29.00,29.50,30773980.00,
2016-12-29,29.00,29.25,28.75,29.00,19784900.00,
2016-12-28,28.75,29.25,28.75,28.75,17148440.00,
2016-12-27,28.75,28.75,28.50,28.50,11032800.00,
2016-12-26,28.75,28.75,28.25,28.75,12396260.00,
