Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,55.50,56.00,55.50,55.75,2757160.00,
2017-03-02,56.00,56.25,55.50,55.50,3577730.00,
2017-03-01,55.00,56.25,54.75,56.00,6585560.00,
2017-02-28,54.75,55.25,54.50,55.00,4712600.00,
2017-02-27,55.00,55.00,54.50,54.50,2596220.00,
2017-02-24,55.75,55.75,54.50,55.25,6977930.00,
2017-02-23,54.50,56.00,54.00,55.75,6724250.00,
2017-02-22,54.25,54.75,53.75,54.00,4803760.00,
2017-02-21,54.75,55.00,54.00,54.00,3719240.00,
2017-02-20,54.50,54.75,54.25,54.50,2052740.00,
2017-02-17,54.25,54.75,54.25,54.50,3823770.00,
2017-02-16,54.50,55.00,54.00,54.25,3206110.00,
2017-02-15,55.25,55.25,54.50,54.50,5452860.00,
2017-02-14,55.75,55.75,55.00,55.00,4902040.00,
2017-02-10,55.50,56.00,55.25,55.50,3383900.00,
2017-02-09,55.75,56.00,55.25,55.75,2969760.00,
2017-02-08,55.25,56.25,55.25,55.75,2685950.00,
2017-02-07,56.00,56.00,55.50,55.50,2013520.00,
2017-02-06,56.25,56.25,55.50,55.75,1693780.00,
2017-02-03,56.00,56.00,55.25,56.00,3386260.00,
2017-02-02,56.25,56.75,55.75,56.00,2921940.00,
2017-02-01,56.50,56.75,55.50,55.75,4457770.00,
2017-01-31,56.75,57.00,56.00,56.50,2689700.00,
2017-01-30,57.75,57.75,56.75,57.00,2926180.00,
2017-01-27,58.00,58.25,57.00,58.00,7290300.00,
2017-01-26,56.00,58.00,56.00,58.00,10188980.00,
2017-01-25,56.25,56.50,56.00,56.25,2251790.00,
2017-01-24,55.75,56.50,55.50,56.00,4412180.00,
2017-01-23,55.25,55.75,55.25,55.50,2020390.00,
2017-01-20,55.00,56.00,55.00,55.25,4006760.00,
2017-01-19,55.00,55.75,54.75,55.50,5180840.00,
2017-01-18,55.00,55.25,54.75,55.00,3036370.00,
2017-01-17,55.25,55.50,54.75,55.00,5929290.00,
2017-01-16,56.25,56.50,55.25,55.25,3820710.00,
2017-01-13,56.00,56.50,55.75,56.25,1940590.00,
2017-01-12,56.00,56.25,55.50,56.00,5515150.00,
2017-01-11,57.00,57.00,55.75,55.75,6548890.00,
2017-01-10,56.50,56.50,55.50,56.50,6163020.00,
2017-01-09,56.75,56.75,56.00,56.50,1920560.00,
2017-01-06,56.75,57.50,56.00,57.00,7135360.00,
2017-01-05,56.75,57.00,56.25,56.75,4809780.00,
2017-01-04,57.00,57.00,55.50,56.75,8417230.00,
2016-12-30,56.75,57.25,56.50,56.75,5548940.00,
2016-12-29,55.50,57.00,55.50,56.75,6362970.00,
2016-12-28,55.25,55.75,55.00,55.50,3696410.00,
2016-12-27,55.50,55.75,54.75,55.25,2650140.00,
2016-12-26,55.25,55.75,55.25,55.25,2067660.00,
2016-12-23,55.50,55.75,54.50,55.25,4828240.00,
2016-12-22,56.00,56.00,55.25,55.75,3608180.00,
2016-12-21,56.50,57.00,56.00,56.00,3779300.00,
2016-12-20,57.25,57.25,56.25,57.00,2014600.00,
2016-12-19,56.50,57.00,56.25,57.00,2837250.00,
2016-12-16,55.25,56.75,55.25,56.50,5338040.00,
2016-12-15,56.25,56.75,55.50,55.50,4519250.00,
2016-12-14,57.25,57.75,56.25,56.75,7416910.00,
2016-12-13,56.50,57.75,56.50,57.25,5776930.00,
2016-12-09,57.00,57.50,56.75,57.25,3418820.00,
2016-12-08,57.00,57.25,56.25,56.75,4737160.00,
2016-12-07,56.00,57.00,55.75,56.75,4500950.00,
2016-12-06,54.75,56.00,54.50,56.00,5016470.00,
2016-12-02,55.00,55.25,54.00,54.50,4367090.00,
2016-12-01,56.75,57.00,54.75,55.25,9217950.00,
2016-11-30,55.00,56.50,54.75,56.50,8150490.00,
2016-11-29,56.00,56.75,55.00,55.00,7011580.00,
2016-11-28,55.50,55.75,55.00,55.50,2174900.00,
2016-11-25,54.50,55.50,54.50,55.25,3890080.00,
2016-11-24,55.25,55.25,54.25,54.25,1993760.00,
2016-11-23,54.75,55.25,54.50,55.25,2910170.00,
2016-11-22,54.25,55.25,54.00,54.75,6694450.00,
2016-11-21,53.50,54.25,53.25,53.75,3564010.00,
2016-11-18,54.00,54.00,52.50,53.00,7044290.00,
2016-11-17,54.50,54.75,53.50,54.00,3683400.00,
2016-11-16,54.25,54.50,53.75,54.25,4326500.00,
2016-11-15,54.25,54.75,53.50,54.00,5649600.00,
2016-11-14,55.25,55.50,54.00,54.00,4693480.00,
2016-11-11,56.25,56.75,55.50,55.50,4552520.00,
2016-11-10,55.50,57.50,55.25,56.50,9842630.00,
2016-11-09,55.00,55.75,54.25,54.75,13053360.00,
2016-11-08,54.25,55.25,54.25,55.00,7387000.00,
2016-11-07,54.50,54.75,54.00,54.25,4533890.00,
2016-11-04,53.75,54.75,53.75,54.25,4565380.00,
2016-11-03,55.00,55.50,54.00,54.00,7278850.00,
2016-11-02,55.00,55.75,55.00,55.00,4886540.00,
2016-11-01,56.00,56.25,55.00,55.25,5878280.00,
2016-10-31,56.00,56.25,55.75,55.75,9046670.00,
2016-10-28,56.50,56.75,55.75,56.00,3603410.00,
2016-10-27,55.75,56.75,55.50,56.00,5675430.00,
2016-10-26,56.50,56.50,55.75,55.75,3281710.00,
2016-10-25,57.00,57.25,56.25,56.50,5775500.00,
2016-10-21,55.75,57.00,55.25,56.75,6131880.00,
2016-10-20,56.50,56.75,55.25,55.25,5443780.00,
2016-10-19,55.75,56.75,55.50,56.00,8923030.00,
2016-10-18,56.25,56.75,55.50,56.50,6950210.00,
2016-10-17,56.50,57.00,55.50,56.25,7586420.00,
2016-10-14,55.00,57.25,54.50,57.25,22824160.00,
2016-10-13,50.25,53.25,49.00,53.25,29774780.00,
2016-10-12,53.25,53.50,47.50,51.75,43878070.00,
2016-10-11,55.50,56.25,53.25,54.25,13100120.00,
2016-10-10,54.25,56.00,54.25,55.75,13746100.00,
2016-10-07,57.25,58.00,57.00,57.50,5838380.00,
2016-10-06,58.25,58.50,57.00,57.25,7388780.00,
2016-10-05,59.25,59.25,57.75,58.25,8492560.00,
2016-10-04,58.25,59.00,58.00,59.00,4231490.00,
2016-10-03,57.75,58.25,57.50,58.00,5008150.00,
2016-09-30,57.50,58.25,57.00,58.25,6826790.00,
2016-09-29,58.00,58.50,57.50,58.00,9255830.00,
2016-09-28,58.50,59.25,57.50,57.50,6246000.00,
2016-09-27,58.75,59.25,58.50,59.00,5459490.00,
2016-09-26,57.50,58.75,57.25,58.25,5696030.00,
2016-09-23,58.75,59.00,57.25,58.00,5250390.00,
2016-09-22,58.00,59.00,58.00,58.75,5395240.00,
