Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,85.75,89.00,85.75,88.25,1009520.00,
2017-03-02,89.75,90.75,86.00,86.00,3349740.00,
2017-03-01,92.50,92.50,88.00,89.50,1535170.00,
2017-02-28,84.75,92.50,84.25,92.50,1942820.00,
2017-02-27,82.00,85.25,82.00,85.00,1507300.00,
2017-02-24,85.00,85.25,82.75,83.00,3195480.00,
2017-02-23,90.00,90.00,89.00,89.00,1431790.00,
2017-02-22,88.25,89.00,86.75,89.00,3413930.00,
2017-02-21,90.00,90.75,88.75,88.75,1325870.00,
2017-02-20,91.00,91.00,89.75,90.25,1439830.00,
2017-02-17,91.50,92.00,89.25,90.00,2164800.00,
2017-02-16,90.50,92.00,90.50,91.00,790800.00,
2017-02-15,92.00,92.00,89.75,90.50,3493130.00,
2017-02-14,93.50,94.25,90.25,92.25,2881360.00,
2017-02-10,92.00,96.00,92.00,94.00,2822350.00,
2017-02-09,90.50,93.25,90.50,92.00,1122270.00,
2017-02-08,86.75,92.25,86.75,92.25,1971100.00,
2017-02-07,88.00,88.00,86.50,86.75,949080.00,
2017-02-06,88.00,88.50,85.75,87.00,1334380.00,
2017-02-03,85.75,87.75,85.00,87.00,1381650.00,
2017-02-02,86.25,88.00,85.75,86.50,1256820.00,
2017-02-01,84.50,88.25,84.50,86.25,1089190.00,
2017-01-31,85.00,86.25,84.50,85.75,854910.00,
2017-01-30,85.25,85.25,84.75,85.25,1935980.00,
2017-01-27,85.50,86.00,84.50,85.25,911600.00,
2017-01-26,84.50,86.25,84.50,85.25,962270.00,
2017-01-25,85.50,86.00,85.00,85.50,1069000.00,
2017-01-24,85.25,85.25,84.00,84.75,617900.00,
2017-01-23,85.00,85.25,84.25,85.00,643650.00,
2017-01-20,83.75,84.25,83.50,84.00,707230.00,
2017-01-19,83.50,84.75,83.50,84.75,1059790.00,
2017-01-18,84.75,85.25,83.00,83.00,1343820.00,
2017-01-17,86.00,86.75,84.25,84.75,608940.00,
2017-01-16,85.00,86.75,84.75,86.25,303390.00,
2017-01-13,85.50,85.50,84.50,85.00,530830.00,
2017-01-12,85.25,87.00,84.00,84.00,716060.00,
2017-01-11,83.75,86.00,83.50,85.25,817470.00,
2017-01-10,85.00,85.25,84.25,84.75,1082620.00,
2017-01-09,85.25,85.75,84.50,85.00,846990.00,
2017-01-06,85.00,89.00,84.00,85.00,2391860.00,
2017-01-05,84.75,84.75,82.75,83.75,1032950.00,
2017-01-04,82.25,84.25,82.00,84.25,1773360.00,
2016-12-30,82.25,82.25,81.50,81.50,326410.00,
2016-12-29,81.25,82.75,81.25,82.25,1741490.00,
2016-12-28,80.75,82.25,80.50,81.50,1144940.00,
2016-12-27,80.50,80.50,79.50,80.00,481700.00,
2016-12-26,80.75,81.25,79.75,80.25,397450.00,
2016-12-23,81.00,81.50,79.50,80.00,595390.00,
2016-12-22,80.50,81.25,80.25,80.75,768200.00,
2016-12-21,81.75,81.75,80.25,80.25,540900.00,
2016-12-20,82.00,82.00,80.50,81.00,612220.00,
2016-12-19,82.00,82.00,80.50,80.75,859220.00,
2016-12-16,82.00,83.00,80.75,81.75,1862040.00,
2016-12-15,84.00,84.50,81.25,81.25,978720.00,
2016-12-14,82.50,84.00,81.75,84.00,2248360.00,
2016-12-13,80.25,82.00,79.75,82.00,2023870.00,
2016-12-09,80.00,80.25,78.50,78.50,1231240.00,
2016-12-08,79.50,80.00,78.75,78.75,1288640.00,
2016-12-07,76.75,79.00,76.25,79.00,1269340.00,
2016-12-06,78.75,78.75,76.25,77.75,7560840.00,
2016-12-02,75.75,76.00,74.75,75.00,1461580.00,
2016-12-01,77.00,77.25,76.00,76.25,1547110.00,
2016-11-30,76.75,76.75,75.25,75.75,5003080.00,
2016-11-29,76.50,78.00,76.50,76.75,2214590.00,
2016-11-28,77.00,77.00,76.00,76.00,968560.00,
2016-11-25,74.75,76.25,74.50,76.00,3756740.00,
2016-11-24,77.50,77.50,74.25,74.25,1374600.00,
2016-11-23,76.00,78.00,75.00,78.00,1424700.00,
2016-11-22,74.75,76.50,74.50,75.75,3045440.00,
2016-11-21,75.00,75.00,73.50,74.00,1369310.00,
2016-11-18,75.00,75.50,74.50,75.00,2620640.00,
2016-11-17,71.75,75.00,71.75,73.75,1536430.00,
2016-11-16,73.00,73.50,71.75,71.75,1096700.00,
2016-11-15,73.50,74.25,72.00,73.00,1002560.00,
2016-11-14,74.75,74.75,73.00,73.25,1323350.00,
2016-11-11,76.50,76.75,75.25,75.25,3082210.00,
2016-11-10,77.50,78.50,77.25,77.25,1262640.00,
2016-11-09,78.25,78.50,77.00,77.25,2899620.00,
2016-11-08,79.00,79.00,78.00,78.25,1848210.00,
