Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,42.25,42.50,41.25,41.25,5686500.00,
2017-02-08,42.00,43.00,41.50,42.25,11662800.00,
2017-02-07,43.75,43.75,41.25,41.25,11258420.00,
2017-02-06,43.25,43.50,42.25,43.50,7738320.00,
2017-02-03,42.50,43.75,42.25,43.25,11934780.00,
2017-02-02,42.00,43.25,41.00,42.75,23918640.00,
2017-02-01,39.00,42.00,39.00,42.00,30041710.00,
2017-01-31,40.00,41.00,39.00,39.25,45892800.00,
2017-01-30,42.00,42.25,40.75,41.50,13076500.00,
2017-01-27,41.75,42.75,41.25,42.50,15657650.00,
2017-01-26,44.00,44.25,41.25,42.00,36962240.00,
2017-01-25,46.50,46.50,43.25,43.50,30940660.00,
2017-01-24,45.50,46.75,45.25,46.50,15204370.00,
2017-01-23,46.00,46.50,45.00,45.25,22502400.00,
2017-01-20,43.50,46.00,43.50,45.50,29934090.00,
2017-01-19,44.00,44.75,43.00,43.50,22693220.00,
2017-01-18,41.75,44.25,41.50,44.00,34502490.00,
2017-01-17,41.75,42.25,41.25,41.50,10350000.00,
2017-01-16,42.50,42.50,41.50,41.50,8044650.00,
2017-01-13,42.00,42.50,41.00,42.50,9539560.00,
2017-01-12,42.75,42.75,41.50,42.25,11643860.00,
2017-01-11,40.75,43.00,40.75,42.50,42353550.00,
2017-01-10,41.00,41.50,40.00,40.75,13451060.00,
2017-01-09,40.75,41.75,39.50,41.00,27605860.00,
2017-01-06,41.25,42.25,40.75,42.00,18216440.00,
2017-01-05,40.75,42.50,40.25,41.50,60428640.00,
2017-01-04,38.25,41.25,38.25,40.75,52589420.00,
2016-12-30,37.75,38.00,37.00,37.75,10110720.00,
2016-12-29,37.75,38.25,37.25,37.25,12664800.00,
2016-12-28,36.00,38.25,36.00,38.00,31133870.00,
2016-12-27,35.50,36.25,35.00,36.00,8598350.00,
2016-12-26,35.25,35.50,35.00,35.50,3330860.00,
2016-12-23,35.00,35.25,34.75,35.25,3116120.00,
2016-12-22,35.25,35.50,34.75,35.00,3556530.00,
2016-12-21,34.75,35.25,34.50,35.25,5371930.00,
2016-12-20,35.75,35.75,34.50,34.75,7125410.00,
2016-12-19,35.75,36.00,35.25,35.75,8159630.00,
2016-12-16,35.50,35.75,35.25,35.75,9574350.00,
2016-12-15,34.75,36.00,34.50,35.50,17828200.00,
2016-12-14,34.50,35.25,34.00,34.75,16608800.00,
2016-12-13,34.00,34.50,33.75,34.50,3928010.00,
2016-12-09,33.75,34.75,33.75,34.25,12368890.00,
2016-12-08,34.50,34.75,33.75,33.75,9545300.00,
2016-12-07,32.25,34.75,32.25,34.25,21916280.00,
2016-12-06,32.75,32.75,32.25,32.50,6695640.00,
2016-12-02,33.50,33.50,32.50,32.50,11332920.00,
2016-12-01,34.25,34.25,33.25,33.25,10060920.00,
2016-11-30,34.75,34.75,34.00,34.00,9563810.00,
2016-11-29,34.50,34.75,33.75,34.50,15017530.00,
2016-11-28,34.25,34.50,33.75,34.00,7128320.00,
2016-11-25,33.50,34.50,33.50,34.25,9284930.00,
2016-11-24,34.25,34.50,33.50,33.50,11045460.00,
2016-11-23,34.75,35.00,33.50,34.25,25388140.00,
2016-11-22,35.50,36.00,34.50,34.50,14489270.00,
2016-11-21,35.25,35.50,34.50,35.00,9712610.00,
