Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,199.50,203.00,199.50,202.00,607780.00,
2017-02-08,199.00,202.00,199.00,199.50,730860.00,
2017-02-07,200.00,200.00,199.00,199.00,345210.00,
2017-02-06,200.00,201.00,199.00,199.50,406310.00,
2017-02-03,198.50,202.00,198.50,200.00,542250.00,
2017-02-02,200.00,201.00,198.00,199.50,751610.00,
2017-02-01,200.00,200.00,196.50,199.50,2069210.00,
2017-01-31,203.00,203.00,200.00,202.00,923510.00,
2017-01-30,203.00,204.00,202.00,204.00,420950.00,
2017-01-27,204.00,206.00,203.00,205.00,631930.00,
2017-01-26,205.00,208.00,202.00,205.00,1175460.00,
2017-01-25,201.00,206.00,200.00,204.00,1137550.00,
2017-01-24,200.00,202.00,199.00,201.00,450220.00,
2017-01-23,199.00,200.00,199.00,199.00,261870.00,
2017-01-20,200.00,201.00,199.00,199.00,547420.00,
2017-01-19,200.00,202.00,200.00,201.00,467900.00,
2017-01-18,199.00,202.00,198.50,200.00,364030.00,
2017-01-17,201.00,203.00,200.00,202.00,336080.00,
2017-01-16,200.00,202.00,200.00,201.00,392300.00,
2017-01-13,202.00,202.00,200.00,201.00,257750.00,
2017-01-12,200.00,203.00,200.00,202.00,1008930.00,
2017-01-11,198.00,201.00,198.00,200.00,354560.00,
2017-01-10,199.50,201.00,199.00,200.00,556620.00,
2017-01-09,201.00,201.00,198.00,199.50,516830.00,
2017-01-06,199.00,203.00,198.50,201.00,1374170.00,
2017-01-05,199.00,200.00,198.50,198.50,815980.00,
2017-01-04,199.00,199.50,197.50,199.00,652140.00,
2016-12-30,199.50,200.00,198.00,199.00,416800.00,
2016-12-29,199.50,200.00,199.00,200.00,555670.00,
2016-12-28,200.00,201.00,199.00,200.00,1313910.00,
2016-12-27,197.00,201.00,197.00,201.00,2035250.00,
2016-12-26,194.00,197.00,194.00,197.00,613450.00,
2016-12-23,193.50,194.50,193.50,194.00,253520.00,
2016-12-22,194.50,195.50,193.00,194.00,534820.00,
2016-12-21,196.00,197.00,195.00,195.00,536640.00,
2016-12-20,195.00,196.00,195.00,195.50,325360.00,
2016-12-19,195.00,196.00,194.50,195.00,306030.00,
2016-12-16,197.00,197.00,194.00,195.00,687800.00,
2016-12-15,195.50,197.50,194.50,196.50,494450.00,
2016-12-14,197.00,197.50,195.50,195.50,315700.00,
2016-12-13,197.50,198.00,195.50,196.50,403860.00,
2016-12-09,199.00,199.50,197.00,198.50,417270.00,
2016-12-08,196.50,199.00,196.50,199.00,617910.00,
2016-12-07,197.50,198.00,195.00,196.00,710670.00,
2016-12-06,199.00,199.50,197.00,198.50,880660.00,
2016-12-02,199.00,200.00,198.50,199.00,413350.00,
2016-12-01,200.00,202.00,198.50,198.50,621180.00,
2016-11-30,193.50,199.00,193.50,199.00,1461380.00,
2016-11-29,194.00,195.00,193.00,194.00,305650.00,
2016-11-28,194.50,194.50,193.00,193.00,342460.00,
2016-11-25,193.00,194.50,192.00,193.50,457590.00,
2016-11-24,194.00,194.00,192.00,192.50,362540.00,
2016-11-23,193.50,195.00,193.00,194.50,202820.00,
2016-11-22,192.50,194.00,192.00,192.50,252840.00,
2016-11-21,193.00,193.50,192.00,192.00,268940.00,
2016-11-18,193.00,194.00,192.50,192.50,420890.00,
