Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,17.90,18.00,17.80,17.90,1192700.00,
2017-02-08,18.00,18.10,17.80,18.00,1521200.00,
2017-02-07,18.20,18.20,18.00,18.00,1927370.00,
2017-02-06,17.90,18.10,17.90,18.00,2582450.00,
2017-02-03,17.80,18.00,17.80,17.80,2110330.00,
2017-02-02,18.20,18.20,17.70,17.80,5030730.00,
2017-02-01,18.50,18.70,18.00,18.00,9807560.00,
2017-01-31,18.30,18.80,18.20,18.50,10214170.00,
2017-01-30,17.90,18.50,17.90,18.40,4650460.00,
2017-01-27,17.80,18.10,17.80,17.90,2875770.00,
2017-01-26,18.20,18.20,17.80,18.00,7406920.00,
2017-01-25,17.90,18.20,17.90,18.20,9059260.00,
2017-01-24,18.10,18.10,17.70,17.80,4829900.00,
2017-01-23,17.90,18.10,17.70,18.10,4916910.00,
2017-01-20,17.70,18.00,17.60,17.70,4809460.00,
2017-01-19,17.80,18.00,17.30,17.80,9876020.00,
2017-01-18,18.00,18.20,17.80,17.90,4495840.00,
2017-01-17,17.70,18.10,17.70,18.00,9715000.00,
2017-01-16,17.90,18.20,17.60,17.70,9345070.00,
2017-01-13,18.20,18.30,18.00,18.10,5636850.00,
2017-01-12,18.20,18.40,18.10,18.20,9896710.00,
2017-01-11,18.00,18.30,17.90,18.10,5475180.00,
2017-01-10,18.00,18.60,17.80,18.00,12215050.00,
2017-01-09,18.00,18.00,17.70,18.00,2706640.00,
2017-01-06,18.00,18.00,17.70,17.90,6231700.00,
2017-01-05,18.10,18.20,17.90,17.90,7293150.00,
2017-01-04,18.20,18.20,17.90,17.90,12301650.00,
2016-12-30,17.80,18.40,17.70,18.10,15025960.00,
2016-12-29,17.80,18.00,17.80,17.90,5330900.00,
2016-12-28,17.70,18.20,17.70,17.70,13664530.00,
2016-12-27,17.20,17.90,17.20,17.70,7300800.00,
2016-12-26,17.30,17.50,17.10,17.20,5582340.00,
2016-12-23,16.90,17.30,16.90,17.20,7265180.00,
2016-12-22,17.40,17.40,16.80,16.90,8878770.00,
2016-12-21,17.60,17.60,17.10,17.30,3264310.00,
2016-12-20,17.70,17.90,17.30,17.60,3617250.00,
2016-12-19,17.50,17.80,17.40,17.70,2588280.00,
2016-12-16,16.80,17.50,16.70,17.50,8275830.00,
2016-12-15,17.00,17.30,16.70,16.70,11279220.00,
2016-12-14,17.50,17.80,17.00,17.20,4724270.00,
2016-12-13,17.70,17.80,17.30,17.60,3639610.00,
2016-12-09,17.90,18.00,17.50,17.60,4710120.00,
2016-12-08,17.50,18.00,17.50,17.90,9947400.00,
2016-12-07,17.00,17.70,17.00,17.50,11067580.00,
2016-12-06,17.00,17.00,16.60,16.80,7806620.00,
2016-12-02,17.20,17.20,16.80,16.90,5902500.00,
2016-12-01,17.20,17.40,17.00,17.10,5375140.00,
2016-11-30,17.10,17.30,16.80,17.00,8674620.00,
2016-11-29,17.70,17.90,17.10,17.20,13826590.00,
2016-11-28,17.10,17.70,17.10,17.60,16765100.00,
2016-11-25,16.80,17.20,16.70,17.00,5981070.00,
2016-11-24,17.00,17.20,16.70,16.90,11750530.00,
2016-11-23,17.00,17.00,16.40,17.00,10324600.00,
2016-11-22,16.60,17.00,16.50,16.90,19015160.00,
2016-11-21,15.90,16.50,15.70,16.40,27428580.00,
2016-11-18,15.70,15.80,15.60,15.80,3020410.00,
2016-11-17,15.60,15.90,15.50,15.80,7343310.00,
2016-11-16,15.40,15.60,15.30,15.50,2455200.00,
2016-11-15,15.30,15.50,14.90,15.40,6609490.00,
2016-11-14,15.40,15.60,15.30,15.30,2149010.00,
2016-11-11,15.70,15.80,15.50,15.70,4735040.00,
2016-11-10,15.60,15.80,15.50,15.80,6248670.00,
2016-11-09,15.50,15.60,15.10,15.40,7401050.00,
2016-11-08,15.80,15.90,15.40,15.70,3267510.00,
2016-11-07,16.00,16.10,15.60,15.80,4707040.00,
2016-11-04,15.50,16.00,15.30,16.00,6370800.00,
2016-11-03,15.60,15.90,15.40,15.60,3900150.00,
2016-11-02,15.90,15.90,15.40,15.60,7398850.00,
2016-11-01,15.40,16.00,15.40,16.00,12602240.00,
2016-10-31,15.80,15.80,15.20,15.40,7731830.00,
2016-10-28,16.00,16.00,15.60,15.80,3319440.00,
2016-10-27,15.50,16.00,15.50,16.00,10030060.00,
2016-10-26,15.30,16.10,15.30,15.50,25534160.00,
2016-10-25,14.70,15.30,14.60,15.20,8431500.00,
2016-10-21,14.80,14.90,14.50,14.60,5497820.00,
2016-10-20,14.90,14.90,14.50,14.80,3089010.00,
2016-10-19,14.70,14.80,14.50,14.80,5464020.00,
2016-10-18,14.90,14.90,14.50,14.80,5517110.00,
2016-10-17,14.60,15.00,14.50,14.90,8367240.00,
2016-10-14,14.50,14.70,14.00,14.40,13288170.00,
2016-10-13,13.20,14.10,12.80,13.90,21203680.00,
2016-10-12,13.30,13.90,12.40,13.90,21804550.00,
2016-10-11,14.10,14.30,13.00,13.90,11868180.00,
2016-10-10,13.70,14.80,13.50,14.10,7958000.00,
2016-10-07,14.90,15.20,14.80,14.90,4824700.00,
2016-10-06,15.00,15.00,14.70,14.70,4466390.00,
2016-10-05,14.90,15.00,14.60,15.00,6647110.00,
2016-10-04,14.50,15.00,14.40,15.00,11340900.00,
2016-10-03,14.50,14.50,14.10,14.40,4420580.00,
2016-09-30,14.20,14.50,14.10,14.50,9297360.00,
2016-09-29,14.30,14.30,14.00,14.20,6717480.00,
2016-09-28,13.70,14.30,13.60,14.20,9764930.00,
2016-09-27,13.30,14.10,13.30,13.80,4973300.00,
