Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,76.75,77.50,76.75,77.25,2477430.00,
2017-02-08,76.75,77.75,76.50,76.75,5509810.00,
2017-02-07,77.00,77.25,76.75,76.75,2461130.00,
2017-02-06,77.25,77.75,76.75,77.00,2503040.00,
2017-02-03,77.00,77.25,76.75,77.25,3831450.00,
2017-02-02,77.50,78.25,76.75,77.25,5029200.00,
2017-02-01,78.00,78.25,77.25,77.25,2939480.00,
2017-01-31,79.00,79.25,78.00,78.00,3112600.00,
2017-01-30,79.50,79.50,79.00,79.00,1230060.00,
2017-01-27,79.50,79.75,79.00,79.50,996700.00,
2017-01-26,79.00,79.50,78.75,79.25,2067400.00,
2017-01-25,79.25,79.50,79.00,79.25,781870.00,
2017-01-24,79.25,79.25,78.75,79.25,801520.00,
2017-01-23,78.75,79.00,78.50,78.75,1066910.00,
2017-01-20,78.50,79.00,78.25,78.75,2203020.00,
2017-01-19,79.50,80.00,79.00,79.50,1917490.00,
2017-01-18,79.25,79.75,79.25,79.25,1806000.00,
2017-01-17,80.00,80.50,79.50,80.00,1301300.00,
2017-01-16,80.25,80.25,79.75,79.75,488510.00,
2017-01-13,79.50,80.25,79.25,80.25,944460.00,
2017-01-12,79.00,79.50,78.75,79.50,1645650.00,
2017-01-11,79.25,80.25,79.00,79.00,1834240.00,
2017-01-10,80.00,80.00,79.50,79.50,804210.00,
2017-01-09,80.50,80.50,79.50,80.00,1072700.00,
2017-01-06,80.25,80.75,79.50,80.50,1312580.00,
2017-01-05,80.25,80.25,79.25,80.25,1000530.00,
2017-01-04,79.75,80.75,78.75,80.00,1211630.00,
2016-12-30,79.00,79.75,78.25,79.00,951610.00,
2016-12-29,77.50,79.75,77.25,79.00,1754390.00,
2016-12-28,77.25,77.50,76.75,77.50,634300.00,
2016-12-27,77.25,77.75,76.75,77.00,519310.00,
2016-12-26,77.00,77.75,77.00,77.25,435600.00,
2016-12-23,76.50,77.75,76.50,77.00,603240.00,
2016-12-22,76.50,77.00,76.50,76.75,544660.00,
2016-12-21,77.00,77.00,76.50,76.50,620200.00,
2016-12-20,77.25,77.75,76.50,77.00,1120250.00,
2016-12-19,77.75,77.75,77.00,77.25,1262250.00,
2016-12-16,79.50,79.50,77.75,77.75,2019450.00,
2016-12-15,79.75,80.00,79.00,79.50,642300.00,
2016-12-14,80.00,80.25,79.75,79.75,784210.00,
2016-12-13,80.25,80.50,79.75,80.00,1505100.00,
2016-12-09,81.00,81.00,80.25,80.50,767750.00,
2016-12-08,80.25,81.00,80.00,80.00,3990430.00,
2016-12-07,78.75,80.00,78.75,80.00,840850.00,
2016-12-06,80.00,80.00,79.00,79.75,1183010.00,
2016-12-02,78.50,79.75,78.00,79.75,940560.00,
2016-12-01,79.00,79.50,77.25,78.50,2809390.00,
2016-11-30,78.00,79.75,77.75,79.00,3986540.00,
2016-11-29,79.00,79.25,78.25,78.50,1054840.00,
2016-11-28,78.25,79.25,78.00,79.25,489730.00,
2016-11-25,78.00,78.50,77.75,78.00,1111610.00,
2016-11-24,78.00,78.50,77.50,77.75,206260.00,
2016-11-23,77.50,78.50,77.50,78.50,576330.00,
2016-11-22,76.25,77.75,76.25,77.50,707830.00,
2016-11-21,78.00,78.00,76.00,76.00,1234400.00,
2016-11-18,78.00,78.00,77.75,78.00,804340.00,
2016-11-17,78.00,78.25,77.50,78.00,1066200.00,
2016-11-16,77.00,78.25,77.00,77.25,784300.00,
2016-11-15,76.75,77.50,76.25,77.00,1440140.00,
2016-11-14,78.50,78.50,76.75,77.00,1568210.00,
2016-11-11,79.25,80.75,78.75,79.00,1507130.00,
2016-11-10,79.75,80.00,79.50,79.50,987620.00,
2016-11-09,78.75,80.00,78.00,79.75,3261360.00,
2016-11-08,79.25,79.75,78.75,78.75,1193710.00,
2016-11-07,78.50,79.50,78.50,79.25,866520.00,
2016-11-04,78.50,78.75,78.25,78.50,1403300.00,
2016-11-03,79.00,79.25,78.50,78.75,2335710.00,
2016-11-02,78.75,79.00,78.50,78.75,1749020.00,
2016-11-01,77.50,79.50,77.25,78.50,2167010.00,
2016-10-31,77.00,77.00,76.50,77.00,959690.00,
2016-10-28,78.00,78.00,77.00,77.50,751460.00,
2016-10-27,77.25,78.00,77.00,77.50,337900.00,
2016-10-26,78.25,78.25,77.00,77.00,814560.00,
2016-10-25,78.00,78.50,77.50,77.75,594440.00,
2016-10-21,77.50,79.00,77.50,78.00,2588900.00,
2016-10-20,77.75,78.00,77.50,77.50,663600.00,
2016-10-19,77.25,78.00,77.25,77.75,1367650.00,
2016-10-18,78.50,79.25,78.00,78.75,1556470.00,
2016-10-17,77.00,78.50,77.00,78.00,934680.00,
2016-10-14,79.00,79.25,75.50,77.00,2310180.00,
