Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,36.50,36.75,36.25,36.75,2094100.00,
2017-02-08,36.25,36.50,36.00,36.50,2048340.00,
2017-02-07,36.50,36.50,36.00,36.00,1086200.00,
2017-02-06,36.50,36.50,36.00,36.25,1335760.00,
2017-02-03,35.50,36.50,35.50,36.50,2575710.00,
2017-02-02,35.50,36.00,35.25,35.50,2193300.00,
2017-02-01,35.75,36.00,35.25,35.50,2956830.00,
2017-01-31,36.00,36.25,35.50,35.75,1974500.00,
2017-01-30,36.25,36.50,36.00,36.00,784940.00,
2017-01-27,36.00,36.50,36.00,36.50,1279200.00,
2017-01-26,36.50,36.50,36.00,36.00,1647050.00,
2017-01-25,36.50,36.75,36.00,36.25,1897500.00,
2017-01-24,36.50,37.00,36.25,36.25,1640100.00,
2017-01-23,36.00,36.75,36.00,36.25,1019130.00,
2017-01-20,35.75,36.50,35.75,36.00,1146510.00,
2017-01-19,36.00,36.00,35.50,35.75,1385610.00,
2017-01-18,36.50,36.50,36.00,36.00,929900.00,
2017-01-17,36.50,36.50,36.00,36.25,799700.00,
2017-01-16,36.50,36.75,36.25,36.50,2237000.00,
2017-01-13,37.00,37.00,36.25,36.50,1223100.00,
2017-01-12,37.00,37.50,36.50,36.75,2331160.00,
2017-01-11,36.50,36.75,36.25,36.75,1411330.00,
2017-01-10,36.25,36.50,36.00,36.50,1743000.00,
2017-01-09,36.50,37.00,36.25,36.25,1815050.00,
2017-01-06,36.50,36.75,36.25,36.25,2491000.00,
2017-01-05,37.25,37.25,36.00,36.25,4037670.00,
2017-01-04,37.25,38.75,36.75,37.00,8227210.00,
2016-12-30,36.00,37.25,36.00,37.25,6772890.00,
2016-12-29,36.00,36.50,35.75,36.25,884210.00,
2016-12-28,35.75,36.25,35.50,36.00,1683100.00,
2016-12-27,36.25,36.25,35.75,35.75,2007110.00,
2016-12-26,36.50,36.50,36.00,36.00,594190.00,
2016-12-23,35.75,36.50,35.50,36.25,2650500.00,
2016-12-22,36.00,36.00,35.50,35.75,444200.00,
2016-12-21,35.50,36.00,35.50,36.00,398500.00,
2016-12-20,35.75,36.00,35.50,35.50,1163960.00,
2016-12-19,35.25,36.00,35.25,35.75,1336430.00,
2016-12-16,35.75,36.00,35.25,35.25,1774300.00,
2016-12-15,35.50,36.00,35.50,35.50,606700.00,
2016-12-14,36.00,36.00,35.75,35.75,592370.00,
2016-12-13,36.00,36.25,35.25,36.00,2231830.00,
2016-12-09,36.25,36.25,35.50,36.00,1987900.00,
2016-12-08,36.25,36.25,35.75,36.00,1587200.00,
2016-12-07,35.25,36.25,35.25,35.75,3130140.00,
2016-12-06,35.25,35.75,34.75,35.25,1605120.00,
2016-12-02,36.00,36.25,34.75,35.00,4391200.00,
2016-12-01,36.75,36.75,35.75,36.00,1677800.00,
2016-11-30,36.25,36.50,35.25,36.50,5777670.00,
2016-11-29,35.50,36.75,35.25,36.25,6676240.00,
2016-11-28,35.25,35.25,35.00,35.25,398500.00,
2016-11-25,35.00,35.75,34.75,35.25,2397500.00,
2016-11-24,35.25,35.25,34.75,34.75,387900.00,
2016-11-23,35.00,35.25,34.75,35.25,693200.00,
2016-11-22,35.00,35.25,34.50,34.75,1289660.00,
2016-11-21,35.25,35.50,34.75,34.75,897530.00,
2016-11-18,34.75,35.00,34.50,35.00,604230.00,
2016-11-17,34.75,35.00,34.50,34.75,501040.00,
2016-11-16,34.75,35.25,34.50,34.75,1368400.00,
2016-11-15,35.50,35.50,34.50,34.75,2547110.00,
2016-11-14,35.75,35.75,35.25,35.25,2423660.00,
2016-11-11,36.00,36.00,35.75,35.75,813300.00,
2016-11-10,36.75,36.75,35.75,35.75,3018910.00,
