Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,5.45,5.45,5.35,5.45,15470980.00,
2017-02-08,5.45,5.45,5.35,5.40,3986200.00,
2017-02-07,5.40,5.45,5.30,5.40,7429370.00,
2017-02-06,5.55,5.60,5.30,5.40,17360720.00,
2017-02-03,5.60,5.75,5.55,5.55,25129300.00,
2017-02-02,5.60,5.70,5.55,5.55,20414070.00,
2017-02-01,5.35,5.65,5.35,5.55,36129840.00,
2017-01-31,5.60,5.65,5.30,5.35,49890600.00,
2017-01-30,5.60,5.70,5.60,5.65,6613220.00,
2017-01-27,5.55,5.70,5.55,5.60,9241950.00,
2017-01-26,5.85,5.90,5.55,5.60,41691200.00,
2017-01-25,5.80,5.90,5.75,5.85,19225480.00,
2017-01-24,5.95,6.00,5.75,5.80,50945890.00,
2017-01-23,6.25,6.25,5.85,5.90,120432020.00,
2017-01-20,6.25,6.40,6.20,6.30,27464700.00,
2017-01-19,6.45,6.60,6.20,6.25,111689520.00,
2017-01-18,6.20,6.40,6.15,6.40,45196510.00,
2017-01-17,6.25,6.30,6.10,6.10,20352320.00,
2017-01-16,6.20,6.40,6.20,6.25,47950400.00,
2017-01-13,6.10,6.20,6.05,6.20,17287300.00,
2017-01-12,6.10,6.25,5.85,6.10,91430600.00,
2017-01-11,6.40,6.55,6.05,6.05,193354490.00,
2017-01-10,5.70,6.20,5.70,6.20,126183770.00,
2017-01-09,5.65,5.75,5.65,5.70,11337780.00,
2017-01-06,5.70,5.70,5.60,5.60,10109020.00,
2017-01-05,5.65,5.75,5.60,5.65,10697990.00,
2017-01-04,5.70,5.80,5.60,5.65,15443200.00,
2016-12-30,5.65,5.65,5.55,5.65,8483800.00,
2016-12-29,5.60,5.70,5.55,5.65,11106000.00,
2016-12-28,5.70,5.80,5.55,5.55,51236320.00,
2016-12-27,5.35,5.70,5.35,5.65,56604460.00,
2016-12-26,5.30,5.35,5.20,5.25,7145970.00,
2016-12-23,5.30,5.40,5.20,5.30,18119600.00,
2016-12-22,5.45,5.55,5.30,5.30,13322120.00,
2016-12-21,5.40,5.50,5.30,5.40,14715610.00,
2016-12-20,5.60,5.65,5.30,5.35,24188140.00,
2016-12-19,5.65,5.70,5.50,5.60,14000210.00,
2016-12-16,5.80,5.85,5.55,5.60,32806670.00,
2016-12-15,5.75,5.80,5.70,5.80,13632330.00,
2016-12-14,5.70,5.90,5.65,5.75,43312060.00,
2016-12-13,5.85,5.95,5.60,5.70,57564980.00,
2016-12-09,5.60,5.90,5.50,5.85,86604190.00,
2016-12-08,5.30,5.60,5.30,5.50,97561890.00,
2016-12-07,5.15,5.30,5.15,5.25,23743790.00,
2016-12-06,5.00,5.15,4.98,5.15,27251850.00,
2016-12-02,5.20,5.20,4.96,4.98,25025920.00,
2016-12-01,5.05,5.30,5.00,5.15,52589980.00,
2016-11-30,5.00,5.05,4.98,5.05,9712480.00,
2016-11-29,5.05,5.10,4.94,5.00,21118940.00,
2016-11-28,4.84,5.05,4.84,5.00,30981490.00,
2016-11-25,4.82,4.92,4.82,4.84,3528490.00,
2016-11-24,4.96,4.96,4.84,4.84,3434740.00,
2016-11-23,4.96,4.98,4.90,4.92,4412780.00,
2016-11-22,4.98,4.98,4.92,4.96,3649100.00,
2016-11-21,4.98,5.05,4.94,4.96,9998340.00,
2016-11-18,4.96,4.98,4.84,4.98,16042540.00,
2016-11-17,4.78,4.96,4.76,4.92,17024370.00,
2016-11-16,4.66,4.80,4.66,4.70,2475600.00,
2016-11-15,4.70,4.72,4.62,4.66,4863030.00,
2016-11-14,4.80,4.80,4.70,4.70,3364840.00,
2016-11-11,4.94,4.94,4.80,4.80,12756970.00,
2016-11-10,4.92,4.98,4.86,4.94,8363130.00,
2016-11-09,4.96,4.98,4.86,4.94,7304640.00,
2016-11-08,4.98,5.05,4.96,4.98,13152650.00,
2016-11-07,4.98,4.98,4.94,4.98,1366340.00,
2016-11-04,4.96,4.98,4.92,4.94,1437600.00,
2016-11-03,5.00,5.00,4.96,4.96,4286330.00,
2016-11-02,5.00,5.00,4.92,4.94,4700220.00,
2016-11-01,4.98,5.05,4.96,5.00,16806490.00,
2016-10-31,4.92,4.96,4.92,4.96,1380150.00,
2016-10-28,4.98,4.98,4.92,4.94,2571540.00,
2016-10-27,4.96,4.96,4.92,4.92,2295330.00,
2016-10-26,4.98,4.98,4.92,4.96,2419790.00,
2016-10-25,5.10,5.10,4.92,4.94,10332450.00,
2016-10-21,4.76,5.05,4.74,5.05,17652590.00,
2016-10-20,4.84,4.84,4.74,4.74,4121010.00,
2016-10-19,4.74,4.82,4.74,4.78,3936600.00,
2016-10-18,4.82,4.82,4.72,4.74,3970060.00,
2016-10-17,4.82,4.84,4.72,4.82,4246220.00,
2016-10-14,4.40,4.82,4.40,4.82,21291580.00,
2016-10-13,4.32,4.46,4.02,4.22,30862800.00,
2016-10-12,4.68,4.68,4.30,4.42,17507520.00,
2016-10-11,4.82,4.88,4.64,4.68,5855940.00,
2016-10-10,4.70,4.88,4.70,4.78,9422140.00,
2016-10-07,4.90,5.00,4.86,4.98,14126410.00,
2016-10-06,4.82,4.98,4.78,4.90,10365440.00,
2016-10-05,4.86,4.88,4.80,4.80,4054720.00,
2016-10-04,4.80,4.88,4.74,4.84,8000720.00,
2016-10-03,4.70,4.84,4.70,4.78,8553770.00,
2016-09-30,4.80,4.82,4.64,4.66,32772510.00,
2016-09-29,4.92,4.98,4.82,4.82,12470870.00,
2016-09-28,5.05,5.05,4.94,4.94,4617050.00,
2016-09-27,5.05,5.05,5.00,5.00,2553680.00,
2016-09-26,5.00,5.10,4.98,5.00,2131410.00,
2016-09-23,5.05,5.15,4.98,5.05,10065950.00,
2016-09-22,5.05,5.10,5.00,5.00,7297710.00,
2016-09-21,5.00,5.10,4.98,5.00,2587600.00,
2016-09-20,5.10,5.10,4.94,4.96,5933710.00,
2016-09-19,5.15,5.15,5.00,5.10,2178400.00,
2016-09-16,4.98,5.10,4.96,5.10,7070740.00,
2016-09-15,4.90,5.05,4.88,4.96,6433810.00,
