Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,42.25,43.00,42.00,42.75,2535720.00,
2017-03-02,43.25,43.25,41.75,41.75,2844800.00,
2017-03-01,42.50,43.75,42.50,42.75,3511060.00,
2017-02-28,41.75,42.75,41.75,42.50,1830590.00,
2017-02-27,41.25,42.25,41.25,42.00,2257650.00,
2017-02-24,43.50,43.75,40.50,41.75,7885110.00,
2017-02-23,42.50,43.25,42.25,43.00,3133700.00,
2017-02-22,42.00,43.25,42.00,43.00,2776970.00,
2017-02-21,41.75,42.00,41.50,42.00,2355710.00,
2017-02-20,40.75,41.75,40.75,41.50,1613410.00,
2017-02-17,40.75,41.00,40.25,40.75,476720.00,
2017-02-16,39.75,40.75,39.75,40.75,4702930.00,
2017-02-15,41.00,41.25,39.50,40.00,5344390.00,
2017-02-14,41.50,41.75,40.50,41.00,4136920.00,
2017-02-10,41.50,42.00,41.25,41.75,2554010.00,
2017-02-09,41.75,42.00,41.00,41.25,4407110.00,
2017-02-08,41.50,42.50,41.25,41.75,3551220.00,
2017-02-07,42.00,42.00,41.50,41.75,2357030.00,
2017-02-06,41.50,42.25,40.50,42.00,4714930.00,
2017-02-03,43.25,43.50,41.50,42.00,3908920.00,
2017-02-02,43.25,43.25,42.25,43.25,4358210.00,
2017-02-01,42.00,43.75,42.00,43.50,5576870.00,
2017-01-31,42.25,42.50,41.25,42.50,2886520.00,
2017-01-30,40.25,42.75,40.25,42.00,5920800.00,
2017-01-27,40.25,41.00,40.25,40.50,2701730.00,
2017-01-26,40.50,41.25,40.25,40.50,3828810.00,
2017-01-25,40.00,40.75,40.00,40.50,4246610.00,
2017-01-24,39.25,40.00,39.25,39.75,1832580.00,
2017-01-23,40.00,40.50,39.25,39.50,1560160.00,
2017-01-20,40.00,40.50,39.50,40.00,1077010.00,
2017-01-19,38.75,40.00,38.25,40.00,4739720.00,
2017-01-18,39.75,39.75,38.25,38.50,5010570.00,
2017-01-17,40.25,40.50,39.00,39.75,1903320.00,
2017-01-16,41.25,41.50,39.75,40.25,4888570.00,
2017-01-13,41.25,41.75,40.75,41.00,2750910.00,
2017-01-12,41.00,41.75,40.75,41.00,3262420.00,
2017-01-11,42.00,42.75,41.00,41.00,4655160.00,
2017-01-10,39.75,42.00,39.50,42.00,5455540.00,
