Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,9.85,9.95,9.80,9.90,11032030.00,
2017-03-02,9.80,9.90,9.80,9.85,8393180.00,
2017-03-01,9.90,9.90,9.70,9.75,9232620.00,
2017-02-28,9.75,9.90,9.75,9.85,23907540.00,
2017-02-27,9.70,9.85,9.70,9.75,28737700.00,
2017-02-24,9.65,9.80,9.65,9.75,13856300.00,
2017-02-23,9.45,9.75,9.45,9.65,24508920.00,
2017-02-22,9.60,9.65,9.50,9.50,30393310.00,
2017-02-21,9.80,9.80,9.55,9.60,19949080.00,
2017-02-20,9.75,9.80,9.65,9.75,7404050.00,
2017-02-17,9.50,9.75,9.40,9.75,45607690.00,
2017-02-16,9.70,9.75,9.50,9.50,53602620.00,
2017-02-15,9.85,9.85,9.60,9.70,23616810.00,
2017-02-14,9.80,9.90,9.75,9.80,11211610.00,
2017-02-10,10.00,10.00,9.70,9.85,35941640.00,
2017-02-09,9.85,10.00,9.80,10.00,15455140.00,
2017-02-08,9.90,9.95,9.80,9.80,21026010.00,
2017-02-07,10.00,10.10,9.85,9.90,29054550.00,
2017-02-06,10.00,10.10,9.95,10.00,9704940.00,
2017-02-03,10.10,10.10,9.90,9.95,16719230.00,
2017-02-02,10.00,10.10,9.90,10.00,11753380.00,
2017-02-01,9.95,10.10,9.90,9.95,31474520.00,
2017-01-31,10.10,10.20,9.95,9.95,27417920.00,
2017-01-30,10.30,10.40,10.10,10.10,12492220.00,
2017-01-27,10.20,10.40,10.10,10.40,17387680.00,
2017-01-26,10.40,10.50,10.10,10.20,24216220.00,
2017-01-25,10.40,10.50,10.20,10.40,20495060.00,
2017-01-24,10.30,10.50,10.20,10.40,6156590.00,
2017-01-23,10.20,10.40,10.10,10.30,13804810.00,
2017-01-20,10.10,10.30,10.00,10.10,13600440.00,
2017-01-19,10.50,10.50,10.10,10.10,29674520.00,
2017-01-18,10.40,10.60,10.40,10.40,10441080.00,
2017-01-17,10.40,10.60,10.40,10.40,10547240.00,
2017-01-16,10.60,10.70,10.40,10.40,19513250.00,
2017-01-13,10.40,10.70,10.30,10.60,38517270.00,
2017-01-12,10.10,10.40,10.10,10.30,50514650.00,
2017-01-11,10.10,10.20,10.00,10.10,17003960.00,
2017-01-10,10.00,10.20,10.00,10.20,30412840.00,
2017-01-09,10.00,10.10,9.95,10.00,14575200.00,
2017-01-06,10.10,10.10,9.95,9.95,19717670.00,
2017-01-05,10.10,10.10,9.95,10.10,18859300.00,
2017-01-04,10.20,10.20,9.95,10.10,23497560.00,
2016-12-30,10.20,10.30,10.10,10.20,14325470.00,
2016-12-29,10.00,10.20,9.95,10.20,17226510.00,
2016-12-28,9.95,10.10,9.95,10.10,8148770.00,
2016-12-27,10.00,10.10,9.90,10.00,9739100.00,
2016-12-26,10.10,10.10,9.95,10.10,3245200.00,
2016-12-23,9.85,10.10,9.85,10.00,10174720.00,
2016-12-22,9.95,10.00,9.80,9.90,15519750.00,
2016-12-21,10.10,10.20,9.95,9.95,15470890.00,
2016-12-20,10.10,10.20,9.95,10.20,13050860.00,
2016-12-19,10.00,10.10,9.85,10.00,21529330.00,
2016-12-16,10.20,10.20,10.00,10.00,19152100.00,
2016-12-15,10.20,10.40,10.10,10.10,14805030.00,
2016-12-14,10.20,10.30,10.10,10.20,12681710.00,
2016-12-13,10.10,10.30,10.00,10.20,24782380.00,
2016-12-09,10.20,10.30,10.00,10.20,9749020.00,
2016-12-08,10.20,10.30,10.10,10.20,11927430.00,
2016-12-07,10.10,10.30,9.95,10.10,31042800.00,
2016-12-06,10.30,10.30,10.10,10.20,18006080.00,
2016-12-02,10.30,10.40,10.10,10.20,11669260.00,
2016-12-01,10.40,10.40,10.30,10.40,14695950.00,
2016-11-30,10.30,10.40,10.10,10.30,28811240.00,
2016-11-29,10.30,10.50,10.20,10.30,47539330.00,
2016-11-28,10.00,10.20,10.00,10.10,28082340.00,
2016-11-25,9.95,10.00,9.85,9.95,9610530.00,
2016-11-24,10.10,10.10,9.90,9.90,8267920.00,
2016-11-23,10.10,10.20,9.90,10.10,27158090.00,
2016-11-22,9.90,10.10,9.85,10.10,26446030.00,
2016-11-21,9.85,10.10,9.80,9.80,28543970.00,
2016-11-18,9.40,9.80,9.35,9.75,28341090.00,
2016-11-17,9.30,9.40,9.25,9.40,17312950.00,
2016-11-16,9.55,9.60,9.30,9.30,23872810.00,
2016-11-15,9.65,9.75,9.50,9.55,16774830.00,
2016-11-14,9.65,9.70,9.55,9.60,14222190.00,
2016-11-11,9.90,9.95,9.70,9.75,25895890.00,
2016-11-10,10.00,10.10,9.90,9.90,21187280.00,
2016-11-09,10.00,10.10,9.80,9.95,24074230.00,
2016-11-08,10.10,10.20,9.95,10.10,20412030.00,
2016-11-07,10.00,10.10,9.95,10.10,10727100.00,
2016-11-04,10.00,10.10,9.90,9.95,12308040.00,
2016-11-03,10.10,10.20,10.00,10.00,18349000.00,
2016-11-02,10.20,10.30,10.10,10.10,21277020.00,
2016-11-01,10.20,10.40,10.10,10.20,18821700.00,
2016-10-31,10.20,10.20,10.00,10.10,7312580.00,
2016-10-28,10.40,10.40,10.00,10.10,10722030.00,
2016-10-27,10.40,10.40,10.10,10.40,17360720.00,
2016-10-26,10.10,10.40,10.00,10.30,28845110.00,
2016-10-25,10.20,10.20,10.00,10.10,15958550.00,
2016-10-21,10.10,10.30,9.95,10.10,21741680.00,
2016-10-20,10.20,10.30,10.00,10.00,15769070.00,
2016-10-19,9.90,10.20,9.85,10.20,28971390.00,
2016-10-18,9.85,10.00,9.80,9.95,23350760.00,
2016-10-17,10.00,10.10,9.70,9.80,42768200.00,
2016-10-14,10.00,10.60,9.65,10.00,99935670.00,
2016-10-13,9.05,9.50,8.80,9.50,67543620.00,
2016-10-12,9.20,9.35,8.30,9.15,90649580.00,
2016-10-11,9.50,9.60,9.25,9.30,25221210.00,
2016-10-10,9.15,9.80,9.15,9.50,58846080.00,
2016-10-07,10.20,10.30,10.00,10.10,15905390.00,
2016-10-06,10.20,10.40,10.00,10.30,19925690.00,
2016-10-05,10.50,10.60,10.30,10.30,12705370.00,
2016-10-04,10.20,10.50,10.10,10.50,24371790.00,
2016-10-03,10.10,10.20,10.00,10.20,5439590.00,
2016-09-30,10.20,10.20,10.00,10.00,11653330.00,
2016-09-29,9.95,10.30,9.95,10.30,27950620.00,
2016-09-28,10.10,10.20,9.90,9.90,25943480.00,
2016-09-27,10.40,10.40,10.10,10.20,14180310.00,
2016-09-26,9.95,10.40,9.95,10.40,24267080.00,
2016-09-23,10.30,10.30,9.90,10.10,26494260.00,
2016-09-22,9.95,10.40,9.95,10.20,28790760.00,
2016-09-21,10.00,10.10,9.85,9.85,12423390.00,
2016-09-20,10.20,10.20,9.80,9.90,17200810.00,
2016-09-19,9.95,10.20,9.90,10.20,20413750.00,
2016-09-16,9.85,9.95,9.70,9.90,62386220.00,
2016-09-15,9.75,9.75,9.50,9.70,14675320.00,
2016-09-14,9.40,9.80,9.40,9.70,28646840.00,
2016-09-13,9.30,9.55,9.20,9.40,45795780.00,
2016-09-12,9.30,9.35,9.00,9.05,38916110.00,
2016-09-09,9.50,9.70,9.30,9.60,38292860.00,
