Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,10.90,11.00,10.70,10.80,4050070.00,
2017-02-08,10.90,11.10,10.90,10.90,4331660.00,
2017-02-07,11.20,11.30,11.00,11.00,2809400.00,
2017-02-06,10.90,11.30,10.90,11.30,6194640.00,
2017-02-03,10.90,11.00,10.90,10.90,2177800.00,
2017-02-02,11.00,11.20,11.00,11.00,3815610.00,
2017-02-01,11.10,11.30,10.90,11.10,5711200.00,
2017-01-31,11.30,11.40,11.10,11.20,7194000.00,
2017-01-30,11.10,11.40,11.10,11.40,3352490.00,
2017-01-27,11.00,11.30,11.00,11.20,3233340.00,
2017-01-26,11.30,11.50,11.00,11.20,6720350.00,
2017-01-25,11.50,11.90,11.20,11.30,18172100.00,
2017-01-24,11.10,11.60,11.00,11.50,24377910.00,
2017-01-23,10.80,11.20,10.80,11.00,8106290.00,
2017-01-20,10.90,10.90,10.70,10.80,1208850.00,
2017-01-19,10.70,10.90,10.70,10.70,1632510.00,
2017-01-18,10.80,10.90,10.60,10.70,4007710.00,
2017-01-17,11.00,11.00,10.80,10.80,2892200.00,
2017-01-16,10.60,11.20,10.60,11.00,9571310.00,
2017-01-13,10.70,10.90,10.60,10.60,3247740.00,
2017-01-12,11.00,11.10,10.80,10.80,6090960.00,
2017-01-11,11.00,11.50,10.90,11.00,23658580.00,
2017-01-10,10.80,11.20,10.70,10.90,16410030.00,
2017-01-09,10.40,11.00,10.30,10.80,21284240.00,
2017-01-06,10.30,10.40,10.20,10.30,1700300.00,
2017-01-05,10.20,10.40,10.20,10.30,1890960.00,
2017-01-04,10.20,10.30,10.10,10.10,1966000.00,
2016-12-30,10.20,10.30,10.10,10.20,753300.00,
2016-12-29,10.10,10.30,10.10,10.20,701510.00,
2016-12-28,10.30,10.30,10.10,10.10,1873400.00,
2016-12-27,10.10,10.40,10.10,10.30,2177860.00,
2016-12-26,10.10,10.20,10.00,10.10,498500.00,
2016-12-23,10.10,10.20,10.10,10.10,1060010.00,
2016-12-22,10.20,10.20,10.10,10.10,896900.00,
2016-12-21,10.10,10.20,10.10,10.10,872720.00,
2016-12-20,10.20,10.30,10.10,10.10,2066800.00,
2016-12-19,10.20,10.30,10.20,10.20,1138630.00,
2016-12-16,10.30,10.40,10.20,10.20,1711110.00,
2016-12-15,10.00,10.60,10.00,10.30,12739970.00,
2016-12-14,10.10,10.20,10.00,10.00,544520.00,
2016-12-13,10.10,10.10,10.00,10.10,389110.00,
2016-12-09,10.20,10.20,10.00,10.10,1472010.00,
2016-12-08,10.10,10.20,10.00,10.10,1391300.00,
2016-12-07,10.00,10.20,10.00,10.10,1393030.00,
2016-12-06,10.10,10.10,10.00,10.00,278580.00,
2016-12-02,10.10,10.10,10.00,10.00,1324820.00,
2016-12-01,10.10,10.20,10.00,10.00,860210.00,
2016-11-30,10.10,10.20,10.00,10.10,620100.00,
2016-11-29,10.10,10.20,10.00,10.00,600900.00,
2016-11-28,10.10,10.20,10.00,10.10,750900.00,
2016-11-25,10.10,10.20,10.00,10.10,821500.00,
2016-11-24,10.10,10.20,10.10,10.10,1118300.00,
2016-11-23,10.10,10.20,10.10,10.10,776260.00,
2016-11-22,10.20,10.20,10.00,10.10,636910.00,
2016-11-21,10.00,10.20,9.95,10.20,893100.00,
2016-11-18,10.10,10.10,9.95,10.00,661930.00,
2016-11-17,10.00,10.20,10.00,10.10,889100.00,
2016-11-16,10.00,10.10,10.00,10.00,1237100.00,
2016-11-15,9.95,10.10,9.90,10.00,1418850.00,
2016-11-14,10.10,10.10,9.90,9.95,3460600.00,
2016-11-11,10.20,10.30,10.10,10.10,2148030.00,
2016-11-10,10.40,10.40,10.10,10.20,15104320.00,
2016-11-09,11.10,11.10,10.70,10.70,9715100.00,
2016-11-08,11.30,11.40,11.10,11.20,3638620.00,
2016-11-07,11.10,11.40,11.00,11.30,6780900.00,
2016-11-04,11.30,11.30,11.00,11.00,6081200.00,
2016-11-03,10.80,11.40,10.70,11.30,12834960.00,
2016-11-02,10.90,10.90,10.70,10.80,1345000.00,
2016-11-01,11.00,11.00,10.80,10.90,3382700.00,
2016-10-31,10.30,11.00,10.30,11.00,8109100.00,
2016-10-28,10.40,10.50,10.30,10.40,541410.00,
2016-10-27,10.40,10.50,10.30,10.40,1106900.00,
2016-10-26,10.40,10.50,10.30,10.40,1498520.00,
