Date,Open,High,Low,Close,Volume,Adj Close
2017-01-11,3.46,3.50,3.08,3.10,100730120.00,
2017-01-10,3.50,3.58,3.48,3.52,23538360.00,
2017-01-09,3.52,3.56,3.42,3.44,49895480.00,
2017-01-06,3.72,3.72,3.56,3.60,58141340.00,
2017-01-05,3.88,3.92,3.82,3.84,26595970.00,
2017-01-04,3.96,3.98,3.80,3.90,66618260.00,
2016-12-27,4.00,4.00,3.74,3.74,77803470.00,
2016-12-26,4.06,4.06,4.00,4.02,6488800.00,
2016-12-23,4.06,4.12,4.02,4.04,15324470.00,
2016-12-22,4.00,4.12,3.96,4.06,39921060.00,
2016-12-21,4.04,4.08,4.00,4.00,14575000.00,
2016-12-20,4.18,4.18,4.02,4.04,25856500.00,
2016-12-19,4.18,4.22,4.16,4.16,6502800.00,
2016-12-16,4.22,4.24,4.18,4.18,5606700.00,
2016-12-15,4.16,4.28,4.16,4.20,15206950.00,
2016-12-14,4.20,4.32,4.18,4.20,18652550.00,
2016-12-13,4.24,4.28,4.14,4.18,25776280.00,
2016-12-09,4.40,4.40,4.26,4.28,18413740.00,
2016-12-08,4.30,4.42,4.28,4.32,26750600.00,
2016-12-07,4.42,4.42,4.24,4.28,22189480.00,
2016-12-06,4.48,4.50,4.40,4.40,10863250.00,
2016-12-02,4.68,4.72,4.46,4.48,40526080.00,
2016-12-01,4.48,4.80,4.48,4.66,142838540.00,
2016-11-30,4.38,4.52,4.34,4.42,32695690.00,
2016-11-29,4.68,4.74,4.36,4.38,75280000.00,
2016-11-28,4.86,4.96,4.64,4.64,106445760.00,
2016-11-25,4.56,4.88,4.54,4.84,103055440.00,
2016-11-24,4.60,4.60,4.54,4.54,12874980.00,
2016-11-23,4.58,4.60,4.52,4.60,25298870.00,
2016-11-22,4.58,4.60,4.50,4.56,34602020.00,
2016-11-21,4.44,4.58,4.42,4.58,58113320.00,
2016-11-18,4.34,4.44,4.34,4.42,22694420.00,
2016-11-17,4.28,4.46,4.28,4.36,72963570.00,
2016-11-16,4.22,4.32,4.14,4.30,44244570.00,
2016-11-15,4.06,4.22,4.02,4.22,46551360.00,
2016-11-14,3.84,4.08,3.80,4.08,50808070.00,
2016-11-11,4.10,4.12,4.02,4.06,21429450.00,
2016-11-10,4.08,4.18,4.06,4.08,34824670.00,
2016-11-09,4.06,4.08,4.00,4.06,25889350.00,
2016-11-08,4.10,4.18,4.08,4.10,26019170.00,
2016-11-07,4.10,4.14,4.08,4.10,14909570.00,
2016-11-04,4.26,4.26,4.02,4.08,45418160.00,
2016-11-03,4.38,4.40,4.26,4.26,24108530.00,
2016-11-02,4.34,4.42,4.32,4.36,43697020.00,
2016-11-01,4.34,4.40,4.32,4.34,17851920.00,
2016-10-31,4.34,4.40,4.32,4.32,13521820.00,
2016-10-28,4.32,4.40,4.32,4.32,20073130.00,
2016-10-27,4.36,4.50,4.30,4.32,71644870.00,
2016-10-26,4.54,4.60,4.36,4.38,88974010.00,
2016-10-25,4.26,4.60,4.26,4.56,135202900.00,
2016-10-21,4.12,4.26,4.10,4.26,75231590.00,
2016-10-20,4.06,4.16,4.04,4.10,37435620.00,
2016-10-19,4.02,4.08,4.00,4.04,27865280.00,
2016-10-18,4.14,4.16,3.96,4.02,38076810.00,
2016-10-17,4.14,4.18,4.06,4.14,25445270.00,
2016-10-14,4.08,4.28,3.98,4.18,117109460.00,
2016-10-13,3.64,4.04,3.64,3.92,134179280.00,
2016-10-12,4.10,4.10,3.50,3.66,94309480.00,
2016-10-11,4.36,4.42,4.06,4.10,33546930.00,
2016-10-10,4.50,4.56,4.30,4.34,42814660.00,
2016-10-07,4.78,4.80,4.66,4.68,12869320.00,
2016-10-06,4.82,4.84,4.76,4.78,6837210.00,
2016-10-05,4.80,4.88,4.78,4.82,17884700.00,
2016-10-04,4.76,4.80,4.72,4.78,9688160.00,
2016-10-03,4.70,4.80,4.68,4.74,15165980.00,
2016-09-30,4.84,4.84,4.64,4.68,22138560.00,
2016-09-29,4.84,4.90,4.82,4.84,11748650.00,
2016-09-28,4.96,4.96,4.80,4.82,20267680.00,
2016-09-27,4.96,5.00,4.94,4.96,5123540.00,
2016-09-26,4.92,5.05,4.92,4.96,10277890.00,
2016-09-23,5.05,5.05,4.92,4.96,21523030.00,
2016-09-22,5.05,5.10,4.98,5.00,19054700.00,
2016-09-21,5.05,5.10,4.98,5.00,17605600.00,
2016-09-20,5.10,5.15,4.94,4.98,49867130.00,
2016-09-19,4.98,5.20,4.96,5.15,45641260.00,
2016-09-16,4.74,4.96,4.72,4.96,94007740.00,
2016-09-15,4.70,4.76,4.66,4.70,28890750.00,
2016-09-14,4.70,4.76,4.64,4.66,24171760.00,
2016-09-13,4.68,4.76,4.50,4.74,62558640.00,
2016-09-12,4.70,4.78,4.60,4.60,33133500.00,
2016-09-09,4.76,4.98,4.66,4.80,90202180.00,
