Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,55.00,55.50,54.75,55.50,17322500.00,
2017-02-08,53.75,55.50,53.75,55.25,35625430.00,
2017-02-07,53.50,54.25,53.25,53.75,16509240.00,
2017-02-06,53.00,53.75,52.25,53.50,15186990.00,
2017-02-03,53.50,53.75,52.75,53.25,10435550.00,
2017-02-02,54.00,54.25,53.50,53.75,7382750.00,
2017-02-01,53.00,54.00,53.00,54.00,8164790.00,
2017-01-31,54.00,54.00,53.25,53.50,9570600.00,
2017-01-30,54.25,54.75,54.00,54.25,5619650.00,
2017-01-27,53.75,54.50,53.50,54.50,12006320.00,
2017-01-26,54.25,54.50,53.75,53.75,18699330.00,
2017-01-25,52.75,54.25,52.75,54.00,28456060.00,
2017-01-24,52.25,53.00,52.25,52.50,7250860.00,
2017-01-23,52.00,52.50,52.00,52.25,2384450.00,
2017-01-20,51.75,52.50,51.75,52.00,7059260.00,
2017-01-19,52.00,52.00,51.50,51.75,6022220.00,
2017-01-18,52.25,52.50,51.75,52.00,5447730.00,
2017-01-17,52.00,52.25,51.75,52.25,5922790.00,
2017-01-16,52.00,52.50,51.75,52.00,7614600.00,
2017-01-13,52.00,52.25,51.50,52.00,7602340.00,
2017-01-12,52.25,52.50,51.50,51.75,9296390.00,
2017-01-11,51.75,52.50,51.50,52.00,16917900.00,
2017-01-10,51.00,51.75,51.00,51.75,5949200.00,
2017-01-09,51.50,51.75,51.00,51.00,6441280.00,
2017-01-06,51.75,51.75,51.25,51.50,9849140.00,
2017-01-05,51.00,52.00,51.00,51.75,23358260.00,
2017-01-04,50.00,51.00,49.75,50.75,15342460.00,
2016-12-30,50.00,50.25,49.75,49.75,5052040.00,
2016-12-29,49.00,50.00,49.00,49.75,10710020.00,
2016-12-28,49.25,49.50,49.00,49.00,5297430.00,
2016-12-27,49.25,49.50,49.00,49.25,2775980.00,
2016-12-26,49.25,49.50,49.00,49.25,2693410.00,
2016-12-23,49.25,49.50,48.50,49.00,20042160.00,
2016-12-22,49.50,49.75,49.25,49.25,9260340.00,
2016-12-21,49.75,50.00,49.50,49.50,5585300.00,
2016-12-20,50.00,50.25,49.50,49.75,7535400.00,
2016-12-19,50.00,50.25,49.75,50.00,3768500.00,
2016-12-16,50.00,50.25,49.50,50.00,21450290.00,
2016-12-15,49.75,50.25,49.75,50.25,13543410.00,
2016-12-14,50.25,50.25,49.75,50.00,14420960.00,
2016-12-13,50.25,50.50,49.75,50.25,20382460.00,
2016-12-09,50.50,50.75,50.25,50.25,16885470.00,
2016-12-08,50.00,51.25,49.75,50.50,40446240.00,
2016-12-07,49.75,50.25,49.75,50.00,15871580.00,
2016-12-06,50.00,50.00,49.75,50.00,4682910.00,
2016-12-02,49.75,50.00,49.75,49.75,6476820.00,
2016-12-01,50.00,50.25,49.75,49.75,9628170.00,
2016-11-30,49.75,50.25,49.75,49.75,14878870.00,
2016-11-29,50.00,50.75,49.75,49.75,35895690.00,
2016-11-28,50.00,50.00,49.75,49.75,5168030.00,
2016-11-25,50.00,50.25,49.75,50.00,7926170.00,
2016-11-24,49.75,50.25,49.75,49.75,5874930.00,
2016-11-23,49.75,50.00,49.50,50.00,13949830.00,
2016-11-22,50.00,50.25,49.50,50.00,6392480.00,
2016-11-21,50.25,50.25,49.50,50.00,15458420.00,
2016-11-18,50.25,50.50,50.00,50.50,10000980.00,
2016-11-17,50.50,50.75,50.00,50.25,10822690.00,
2016-11-16,51.50,51.75,50.75,50.75,9608150.00,
2016-11-15,51.50,51.75,51.25,51.25,7240540.00,
2016-11-14,51.50,51.75,51.25,51.25,6892230.00,
2016-11-11,52.25,52.25,51.75,52.00,5471510.00,
2016-11-10,52.75,53.00,52.25,52.50,6764140.00,
2016-11-09,52.50,52.75,51.50,52.50,18770470.00,
2016-11-08,52.50,53.50,52.50,53.00,12136880.00,
2016-11-07,53.00,53.25,52.50,52.50,6144160.00,
2016-11-04,53.00,53.25,52.50,52.75,5456110.00,
2016-11-03,53.00,53.50,53.00,53.25,4651660.00,
2016-11-02,53.00,53.25,53.00,53.00,1819560.00,
2016-11-01,53.25,53.75,53.00,53.25,4390070.00,
2016-10-31,53.00,53.50,52.75,53.00,4952430.00,
2016-10-28,53.50,53.75,52.75,53.25,8009240.00,
2016-10-27,53.50,53.75,53.25,53.50,2944900.00,
2016-10-26,53.75,54.00,53.50,53.50,2830050.00,
2016-10-25,54.00,54.00,53.50,54.00,3841000.00,
2016-10-21,53.75,54.00,53.25,54.00,4928180.00,
2016-10-20,54.25,54.25,53.50,53.50,5399610.00,
2016-10-19,53.00,54.25,53.00,53.75,11837580.00,
2016-10-18,53.50,53.75,53.00,53.25,5215590.00,
2016-10-17,53.75,54.00,53.00,53.75,7380290.00,
2016-10-14,54.00,54.25,52.75,53.75,21040010.00,
2016-10-13,50.00,51.25,49.25,51.25,29927370.00,
2016-10-12,52.00,52.00,49.25,50.75,37380220.00,
2016-10-11,53.00,53.00,52.00,52.25,11278730.00,
2016-10-10,52.50,53.25,52.25,52.75,18308070.00,
2016-10-07,54.25,54.50,54.00,54.00,5330150.00,
2016-10-06,54.50,54.75,54.00,54.25,4395270.00,
2016-10-05,55.00,55.25,54.25,54.50,7375090.00,
2016-10-04,54.50,55.00,54.25,55.00,9180650.00,
2016-10-03,54.00,54.50,54.00,54.50,4672630.00,
2016-09-30,54.00,54.25,53.75,54.00,3968080.00,
2016-09-29,54.25,54.50,54.00,54.25,7537390.00,
2016-09-28,54.50,54.50,54.00,54.00,5461010.00,
2016-09-27,54.25,54.75,54.00,54.25,7365110.00,
2016-09-26,54.00,54.25,53.75,54.00,7675940.00,
2016-09-23,55.00,55.00,54.00,54.25,11464110.00,
2016-09-22,55.25,55.25,54.75,55.00,9994860.00,
2016-09-21,55.00,55.50,54.50,54.75,9646200.00,
2016-09-20,55.25,55.25,54.00,54.75,7187820.00,
2016-09-19,55.50,56.00,55.25,55.75,14705300.00,
2016-09-16,55.00,55.50,54.75,55.25,33365650.00,
2016-09-15,53.50,55.25,53.25,54.50,14848030.00,
2016-09-14,53.00,54.00,53.00,53.25,8469430.00,
2016-09-13,52.75,53.75,52.25,53.25,12792130.00,
2016-09-12,52.25,53.00,52.00,52.25,12246350.00,
2016-09-09,53.75,54.00,52.75,53.25,20379900.00,
