Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,5.30,5.35,5.25,5.30,96066040.00,
2017-02-08,5.25,5.40,5.25,5.25,212735700.00,
2017-02-07,5.30,5.35,5.20,5.30,77100690.00,
2017-02-06,5.40,5.40,5.25,5.30,132815350.00,
2017-02-03,5.20,5.35,5.15,5.30,118061590.00,
2017-02-02,5.20,5.30,5.15,5.15,94923540.00,
2017-02-01,5.15,5.20,5.10,5.20,84681180.00,
2017-01-31,5.25,5.30,5.10,5.20,122478370.00,
2017-01-30,5.35,5.35,5.25,5.25,36086360.00,
2017-01-27,5.35,5.40,5.30,5.30,42823240.00,
2017-01-26,5.40,5.40,5.25,5.30,117630960.00,
2017-01-25,5.40,5.45,5.30,5.35,141272960.00,
2017-01-24,5.20,5.40,5.20,5.40,241615710.00,
2017-01-23,5.30,5.35,5.15,5.20,135859440.00,
2017-01-20,5.15,5.30,5.15,5.20,143001020.00,
2017-01-19,5.25,5.25,5.10,5.15,235573090.00,
2017-01-18,5.40,5.40,5.20,5.20,239514800.00,
2017-01-17,5.20,5.40,5.20,5.35,207690200.00,
2017-01-16,5.20,5.30,5.15,5.20,145132240.00,
2017-01-13,5.30,5.35,5.20,5.25,202598080.00,
2017-01-12,5.30,5.45,5.25,5.30,491162820.00,
2017-01-11,5.15,5.30,5.15,5.20,251405340.00,
2017-01-10,5.25,5.30,5.05,5.10,303914520.00,
2017-01-09,5.10,5.25,5.05,5.25,385904740.00,
2017-01-06,4.90,5.10,4.86,5.05,424213570.00,
2017-01-05,4.92,4.92,4.86,4.88,86752960.00,
2017-01-04,4.84,4.92,4.82,4.90,205986710.00,
2016-12-30,4.84,4.84,4.80,4.80,39067480.00,
2016-12-29,4.80,4.84,4.78,4.82,47343390.00,
2016-12-28,4.80,4.82,4.78,4.80,31055600.00,
2016-12-27,4.78,4.82,4.78,4.78,30614570.00,
2016-12-26,4.78,4.82,4.76,4.78,45732200.00,
2016-12-23,4.76,4.80,4.74,4.78,60729620.00,
2016-12-22,4.76,4.78,4.72,4.74,64798370.00,
2016-12-21,4.82,4.82,4.76,4.78,77310890.00,
2016-12-20,4.82,4.84,4.78,4.82,67034510.00,
2016-12-19,4.84,4.90,4.82,4.82,138059920.00,
2016-12-16,4.84,4.88,4.82,4.84,89682670.00,
2016-12-15,4.80,4.84,4.80,4.84,34330460.00,
2016-12-14,4.86,4.86,4.82,4.84,42019200.00,
2016-12-13,4.86,4.86,4.80,4.86,85747680.00,
2016-12-09,4.84,4.84,4.82,4.84,23276200.00,
2016-12-08,4.82,4.84,4.80,4.82,48613450.00,
2016-12-07,4.86,4.86,4.78,4.82,51161050.00,
2016-12-06,4.84,4.84,4.78,4.84,55141980.00,
2016-12-02,4.88,4.90,4.80,4.84,81891440.00,
2016-12-01,4.86,4.90,4.84,4.84,145420150.00,
2016-11-30,4.80,4.84,4.78,4.84,56587040.00,
2016-11-29,4.82,4.84,4.78,4.78,56433980.00,
2016-11-28,4.82,4.82,4.78,4.80,26034240.00,
2016-11-25,4.82,4.84,4.78,4.80,40605360.00,
2016-11-24,4.74,4.84,4.72,4.80,152592190.00,
2016-11-23,4.78,4.78,4.70,4.72,74472950.00,
2016-11-22,4.74,4.78,4.72,4.74,44086820.00,
2016-11-21,4.74,4.76,4.70,4.72,39823560.00,
2016-11-18,4.74,4.76,4.70,4.74,35305630.00,
2016-11-17,4.74,4.78,4.72,4.74,47660510.00,
2016-11-16,4.80,4.82,4.72,4.72,56116210.00,
2016-11-15,4.80,4.80,4.74,4.76,54614690.00,
2016-11-14,4.82,4.84,4.76,4.78,54623340.00,
2016-11-11,4.82,4.88,4.82,4.82,111293480.00,
2016-11-10,4.86,4.86,4.82,4.82,102278870.00,
2016-11-09,4.84,4.84,4.76,4.84,186050570.00,
2016-11-08,4.92,4.92,4.86,4.88,90434500.00,
2016-11-07,4.86,4.92,4.84,4.92,126581980.00,
2016-11-04,4.84,4.88,4.82,4.84,94515550.00,
2016-11-03,4.88,4.88,4.82,4.84,117902230.00,
2016-11-02,4.84,4.88,4.84,4.88,105402830.00,
2016-11-01,4.80,4.86,4.78,4.84,90358170.00,
2016-10-31,4.78,4.84,4.78,4.78,47542480.00,
2016-10-28,4.82,4.84,4.76,4.78,108096820.00,
2016-10-27,4.84,4.86,4.80,4.82,72580410.00,
2016-10-26,4.86,4.86,4.82,4.84,34086370.00,
2016-10-25,4.88,4.88,4.82,4.86,58263890.00,
2016-10-21,4.86,4.88,4.84,4.86,74986640.00,
2016-10-20,4.88,4.92,4.86,4.86,110932400.00,
