Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,5.05,5.15,5.00,5.15,22007100.00,
2017-02-08,5.00,5.10,5.00,5.05,7379800.00,
2017-02-07,5.00,5.10,5.00,5.00,19643700.00,
2017-02-06,5.05,5.10,5.00,5.00,14551660.00,
2017-02-03,5.00,5.05,4.98,5.00,9439750.00,
2017-02-02,5.05,5.05,4.98,4.98,16997760.00,
2017-02-01,5.00,5.10,4.98,5.00,15543970.00,
2017-01-31,5.05,5.10,4.98,5.00,21955720.00,
2017-01-30,5.05,5.10,5.00,5.05,13079750.00,
2017-01-27,5.10,5.10,5.05,5.10,8015580.00,
2017-01-26,5.10,5.15,5.05,5.10,12803810.00,
2017-01-25,5.15,5.15,5.05,5.05,10882430.00,
2017-01-24,5.15,5.20,5.10,5.10,10822860.00,
2017-01-23,5.10,5.20,5.05,5.10,15076960.00,
2017-01-20,5.00,5.15,5.00,5.10,23402650.00,
2017-01-19,5.10,5.10,5.00,5.05,32832250.00,
2017-01-18,5.10,5.15,5.05,5.05,12156130.00,
2017-01-17,5.10,5.20,5.05,5.10,25699570.00,
2017-01-16,5.15,5.20,5.10,5.10,14957550.00,
2017-01-13,5.10,5.25,5.10,5.15,29088660.00,
2017-01-12,5.20,5.30,5.10,5.10,35579280.00,
2017-01-11,5.05,5.30,5.00,5.20,132128070.00,
2017-01-10,5.05,5.10,5.00,5.05,20975350.00,
2017-01-09,5.05,5.10,5.00,5.00,10609620.00,
2017-01-06,5.00,5.10,5.00,5.05,27981880.00,
2017-01-05,5.05,5.10,4.98,5.00,21762600.00,
2017-01-04,4.96,5.05,4.96,5.00,30596220.00,
2016-12-30,4.94,4.98,4.92,4.92,17198310.00,
2016-12-29,4.92,4.94,4.90,4.92,11721450.00,
2016-12-28,4.90,4.94,4.88,4.92,16245760.00,
2016-12-27,4.90,4.92,4.88,4.88,11709720.00,
2016-12-26,4.94,4.96,4.88,4.90,17825900.00,
2016-12-23,4.92,4.98,4.92,4.92,17637520.00,
2016-12-22,4.96,4.96,4.92,4.92,7059280.00,
2016-12-21,4.96,4.98,4.94,4.94,7453700.00,
2016-12-20,4.98,5.00,4.96,4.96,20391750.00,
2016-12-19,5.00,5.00,4.96,4.98,20381300.00,
2016-12-16,5.05,5.10,5.00,5.00,18161290.00,
2016-12-15,5.00,5.10,5.00,5.00,12978200.00,
2016-12-14,5.00,5.10,4.98,5.05,28028720.00,
2016-12-13,5.05,5.05,4.98,4.98,28175730.00,
2016-12-09,5.05,5.10,5.00,5.00,17849320.00,
2016-12-08,5.10,5.10,5.00,5.00,11774150.00,
2016-12-07,4.96,5.05,4.90,5.05,28196330.00,
2016-12-06,4.96,4.98,4.92,4.94,10500580.00,
2016-12-02,4.98,4.98,4.90,4.94,11901100.00,
2016-12-01,5.10,5.10,4.96,4.98,30846170.00,
2016-11-30,5.10,5.15,5.00,5.05,41268230.00,
2016-11-29,4.96,5.15,4.92,5.10,53180210.00,
2016-11-28,4.94,4.96,4.92,4.92,5997780.00,
2016-11-25,4.90,4.94,4.90,4.92,5903380.00,
2016-11-24,4.90,4.94,4.90,4.90,8955370.00,
2016-11-23,4.88,5.00,4.88,4.90,35822020.00,
2016-11-22,4.92,4.94,4.86,4.88,13922550.00,
2016-11-21,4.88,4.92,4.86,4.88,9943040.00,
2016-11-18,4.92,4.92,4.86,4.88,14674300.00,
2016-11-17,5.00,5.00,4.90,4.90,25560320.00,
2016-11-16,5.05,5.10,4.96,4.96,27290160.00,
2016-11-15,5.00,5.05,4.96,5.00,15894550.00,
2016-11-14,5.05,5.10,5.00,5.00,22221300.00,
2016-11-11,5.20,5.25,5.10,5.15,19937070.00,
2016-11-10,5.25,5.35,5.25,5.25,20930330.00,
2016-11-09,5.20,5.25,5.05,5.20,50416240.00,
2016-11-08,5.35,5.40,5.25,5.30,14511910.00,
2016-11-07,5.30,5.45,5.30,5.35,29617310.00,
2016-11-04,5.25,5.30,5.15,5.25,26236220.00,
2016-11-03,5.30,5.45,5.25,5.25,41516450.00,
2016-11-02,5.40,5.40,5.25,5.30,47256260.00,
2016-11-01,5.00,5.40,5.00,5.40,97815460.00,
2016-10-31,4.98,5.00,4.96,4.96,13067580.00,
2016-10-28,5.00,5.00,4.96,4.96,7860020.00,
2016-10-27,5.00,5.05,4.96,4.98,31005770.00,
2016-10-26,5.05,5.10,5.00,5.00,13289920.00,
2016-10-25,5.05,5.10,5.00,5.05,17292620.00,
2016-10-21,5.05,5.10,5.00,5.05,17708380.00,
2016-10-20,5.05,5.15,5.00,5.00,15221350.00,
2016-10-19,4.98,5.15,4.96,5.00,37057480.00,
2016-10-18,4.98,5.05,4.92,5.00,21152160.00,
2016-10-17,4.86,5.00,4.78,4.98,30414350.00,
2016-10-14,4.64,4.92,4.58,4.88,86581040.00,
2016-10-13,4.50,4.54,4.18,4.44,110601000.00,
2016-10-12,4.88,4.90,4.30,4.60,100189840.00,
2016-10-11,5.00,5.05,4.86,4.94,40238570.00,
2016-10-10,4.98,5.05,4.96,4.98,69963200.00,
2016-10-07,5.30,5.30,5.20,5.25,14578040.00,
2016-10-06,5.25,5.30,5.20,5.30,11731200.00,
2016-10-05,5.25,5.30,5.15,5.25,15557810.00,
2016-10-04,5.15,5.25,5.10,5.25,27059520.00,
2016-10-03,5.20,5.20,5.10,5.15,11922680.00,
2016-09-30,5.15,5.25,5.05,5.10,26402500.00,
2016-09-29,5.30,5.30,5.15,5.15,18534130.00,
2016-09-28,5.30,5.30,5.15,5.20,12560720.00,
2016-09-27,5.35,5.35,5.20,5.25,14516710.00,
2016-09-26,5.30,5.30,5.20,5.30,11527000.00,
2016-09-23,5.40,5.40,5.25,5.35,18714480.00,
2016-09-22,5.35,5.50,5.35,5.40,24981570.00,
2016-09-21,5.30,5.40,5.30,5.30,31640900.00,
2016-09-20,5.45,5.45,5.25,5.30,61800960.00,
2016-09-19,5.25,5.55,5.25,5.55,91195950.00,
2016-09-16,5.20,5.35,5.20,5.25,87095340.00,
2016-09-15,5.10,5.20,5.10,5.15,42261160.00,
2016-09-14,5.00,5.20,5.00,5.15,47988810.00,
2016-09-13,5.05,5.10,4.94,5.05,57390350.00,
2016-09-12,4.90,5.05,4.90,4.94,96582900.00,
2016-09-09,5.20,5.30,4.96,5.10,123628700.00,
