Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,36.25,36.25,35.50,35.75,14318500.00,
2017-02-08,36.00,36.50,35.75,36.00,23056250.00,
2017-02-07,36.75,36.75,35.25,35.75,36425730.00,
2017-02-06,36.25,37.00,36.00,36.75,32739720.00,
2017-02-03,34.50,36.25,34.50,36.25,39730260.00,
2017-02-02,34.75,35.25,34.25,34.25,22417790.00,
2017-02-01,34.75,35.00,34.25,34.75,24632140.00,
2017-01-31,35.25,35.25,34.50,35.00,24183200.00,
2017-01-30,35.50,35.75,35.00,35.25,10131420.00,
2017-01-27,35.25,35.75,34.75,35.50,22312710.00,
2017-01-26,36.00,36.00,35.00,35.00,36302190.00,
2017-01-25,36.25,36.50,35.75,35.75,18017260.00,
2017-01-24,35.50,36.75,35.25,36.25,41813440.00,
2017-01-23,35.00,35.50,34.75,35.25,21915840.00,
2017-01-20,34.50,35.25,34.25,35.00,41337580.00,
2017-01-19,34.75,34.75,34.00,34.75,62013220.00,
2017-01-18,36.00,36.25,34.50,35.00,44242310.00,
2017-01-17,36.75,37.00,35.75,36.25,21333510.00,
2017-01-16,36.75,37.00,36.25,36.75,25586520.00,
2017-01-13,36.00,36.75,35.75,36.75,29838170.00,
2017-01-12,36.25,36.75,35.75,35.75,38575490.00,
2017-01-11,37.00,37.25,36.00,36.25,31655880.00,
2017-01-10,37.00,37.50,36.50,37.00,29157040.00,
2017-01-09,36.50,37.25,36.25,37.00,43364180.00,
2017-01-06,36.25,37.25,35.75,36.50,98336990.00,
2017-01-05,36.50,36.75,35.75,36.00,70386350.00,
2017-01-04,33.50,36.25,33.50,36.25,112321000.00,
2016-12-30,33.00,33.75,33.00,33.50,28296530.00,
2016-12-29,33.00,33.25,32.50,33.00,13992890.00,
2016-12-28,32.75,33.25,32.50,33.00,13797110.00,
2016-12-27,32.75,33.00,32.50,32.75,7853360.00,
2016-12-26,32.50,32.75,32.25,32.75,6454320.00,
2016-12-23,32.50,32.75,32.25,32.75,8797500.00,
2016-12-22,32.50,32.75,32.25,32.50,5309520.00,
2016-12-21,32.75,33.00,32.00,32.75,11673310.00,
