Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,196.00,196.00,194.00,195.00,2158780.00,
2017-03-02,195.50,196.50,195.00,196.00,5795930.00,
2017-03-01,192.50,195.00,192.00,195.00,4345710.00,
2017-02-28,189.00,191.50,188.50,191.50,3657780.00,
2017-02-27,189.00,189.50,187.50,187.50,6558890.00,
2017-02-24,190.50,191.00,189.50,189.50,4602460.00,
2017-02-23,192.00,193.00,190.00,190.50,7756910.00,
2017-02-22,193.00,194.50,191.00,193.00,6211240.00,
2017-02-21,196.50,197.00,191.50,193.00,8438300.00,
2017-02-20,197.50,197.50,194.00,197.00,2783240.00,
2017-02-17,195.50,197.50,195.50,197.50,2252940.00,
2017-02-16,193.00,196.50,191.50,195.00,5710770.00,
2017-02-15,193.50,195.00,191.00,193.00,7103400.00,
2017-02-14,199.50,199.50,194.00,194.50,6589600.00,
2017-02-10,199.50,201.00,196.50,198.00,14050130.00,
2017-02-09,195.50,199.00,195.50,198.50,7491780.00,
2017-02-08,195.00,196.50,194.50,195.50,6129110.00,
2017-02-07,195.00,196.00,194.50,195.50,5663320.00,
2017-02-06,192.00,196.00,191.50,195.50,9427330.00,
2017-02-03,189.50,192.00,189.00,191.00,4913700.00,
2017-02-02,191.50,191.50,189.00,189.50,3894770.00,
2017-02-01,187.00,191.50,187.00,191.00,7891360.00,
2017-01-31,188.50,188.50,187.00,188.50,4294890.00,
2017-01-30,187.00,189.00,186.50,189.00,1735080.00,
2017-01-27,189.00,189.50,187.00,187.50,4994830.00,
2017-01-26,193.00,193.50,189.00,190.00,8045410.00,
2017-01-25,188.00,191.00,188.00,191.00,7750600.00,
2017-01-24,186.00,188.50,186.00,187.00,4995050.00,
2017-01-23,184.50,186.00,184.00,186.00,5893580.00,
2017-01-20,181.50,187.50,181.00,184.00,6364170.00,
2017-01-19,184.00,184.00,181.50,182.00,6413640.00,
2017-01-18,187.00,188.00,185.00,185.00,4328900.00,
2017-01-17,185.00,187.00,185.00,185.00,3502880.00,
2017-01-16,186.50,187.50,184.00,185.50,5010720.00,
2017-01-13,189.00,189.00,186.50,187.50,4788990.00,
2017-01-12,190.50,191.00,188.00,188.50,7198720.00,
2017-01-11,190.50,191.00,188.50,190.50,7535850.00,
2017-01-10,186.50,190.50,186.00,189.00,11796740.00,
2017-01-09,184.00,186.00,183.00,186.00,10698430.00,
2017-01-06,183.00,184.50,182.00,183.00,7054110.00,
2017-01-05,182.00,183.50,181.50,183.50,9020570.00,
2017-01-04,180.00,182.00,179.50,182.00,21231350.00,
2016-12-30,177.00,177.50,176.00,177.50,6348280.00,
2016-12-29,174.50,177.00,174.00,176.00,5762030.00,
2016-12-28,175.00,175.50,174.00,174.50,1984020.00,
2016-12-27,174.00,175.50,173.50,175.00,3563870.00,
2016-12-26,173.50,174.50,173.50,174.00,2834700.00,
2016-12-23,172.50,174.00,171.50,173.00,4700470.00,
