Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,67.25,68.00,65.50,65.75,22529710.00,
2017-03-02,66.00,67.25,65.75,67.00,13908120.00,
2017-03-01,65.75,66.75,65.50,65.75,6922640.00,
2017-02-28,66.50,66.75,65.50,65.75,6451750.00,
2017-02-27,65.75,66.50,65.25,66.25,5437360.00,
2017-02-24,66.25,66.25,65.00,66.00,9876750.00,
2017-02-23,63.75,67.75,63.50,66.50,15745150.00,
2017-02-22,62.75,64.00,62.75,63.75,6768780.00,
2017-02-21,63.00,63.25,62.50,62.75,2265960.00,
2017-02-20,62.50,63.50,62.50,62.75,5212370.00,
2017-02-17,62.75,63.75,62.00,62.50,7931000.00,
2017-02-16,61.75,63.00,61.50,63.00,6939680.00,
2017-02-15,62.00,62.25,61.00,61.50,4745680.00,
2017-02-14,62.00,63.00,61.25,62.00,10298400.00,
2017-02-10,61.50,61.50,60.25,61.00,7175140.00,
2017-02-09,59.50,61.75,59.25,61.00,18621400.00,
2017-02-08,59.00,59.50,59.00,59.25,3784920.00,
2017-02-07,58.75,59.25,58.50,59.00,3286630.00,
2017-02-06,58.50,59.00,58.25,58.50,5598650.00,
2017-02-03,57.50,58.50,57.50,58.25,6404210.00,
2017-02-02,57.50,57.75,57.25,57.50,3476810.00,
2017-02-01,57.25,57.75,56.75,57.25,5546520.00,
2017-01-31,57.00,57.75,57.00,57.00,4196130.00,
2017-01-30,57.75,57.75,56.75,56.75,4208940.00,
2017-01-27,57.50,57.75,57.00,57.75,1797900.00,
2017-01-26,57.75,58.00,57.00,57.25,4244640.00,
2017-01-25,58.00,58.00,57.50,57.50,3853170.00,
2017-01-24,57.75,58.25,57.50,57.75,3071660.00,
2017-01-23,57.00,58.25,56.75,57.50,8845260.00,
2017-01-20,54.00,56.75,53.75,56.00,8644950.00,
2017-01-19,55.00,55.25,53.50,53.50,7542620.00,
2017-01-18,56.00,56.00,54.25,55.00,7874320.00,
2017-01-17,57.00,57.25,56.00,56.00,3943100.00,
2017-01-16,57.25,57.50,57.00,57.00,707200.00,
2017-01-13,57.75,57.75,57.00,57.25,1570960.00,
2017-01-12,57.25,57.50,57.00,57.50,2729970.00,
2017-01-11,57.00,58.00,56.75,57.00,5579590.00,
2017-01-10,57.25,57.75,56.75,57.00,7306420.00,
2017-01-09,58.50,58.50,57.00,57.00,4559820.00,
2017-01-06,59.00,59.25,58.25,58.50,2852270.00,
2017-01-05,58.75,60.25,58.50,59.00,4529990.00,
2017-01-04,58.75,59.00,57.75,58.50,4426480.00,
2016-12-30,58.75,59.50,58.50,59.00,3248710.00,
2016-12-29,58.75,59.00,58.25,58.75,1470500.00,
2016-12-28,58.25,58.75,58.00,58.75,1456900.00,
2016-12-27,57.50,58.50,57.50,58.25,936900.00,
2016-12-26,58.25,58.50,57.50,57.50,1003000.00,
2016-12-23,57.25,59.00,57.00,58.25,3198260.00,
2016-12-22,57.25,58.00,57.00,57.25,826700.00,
2016-12-21,57.50,58.00,56.75,57.25,1370800.00,
2016-12-20,57.75,58.25,56.75,57.50,1960100.00,
2016-12-19,58.50,58.75,58.00,58.00,1356230.00,
2016-12-16,57.00,58.50,56.75,58.25,2001590.00,
2016-12-15,57.50,57.50,56.50,56.75,2046360.00,
2016-12-14,58.25,58.25,57.25,57.25,3589570.00,
2016-12-13,58.00,58.25,57.25,58.00,3286410.00,
2016-12-09,57.75,58.25,57.50,57.75,2732930.00,
2016-12-08,57.00,58.00,56.50,57.50,7762100.00,
2016-12-07,56.75,56.75,56.00,56.50,3573550.00,
2016-12-06,55.75,56.50,55.25,56.50,4736930.00,
2016-12-02,55.75,55.75,55.25,55.25,1112300.00,
2016-12-01,55.75,55.75,55.00,55.25,2302000.00,
2016-11-30,55.75,56.25,54.75,55.25,5366530.00,
2016-11-29,56.00,56.25,55.25,55.50,1962360.00,
2016-11-28,56.00,56.50,55.25,55.75,2499360.00,
2016-11-25,56.25,56.75,56.00,56.00,2053480.00,
2016-11-24,56.50,57.00,56.00,56.00,1080560.00,
2016-11-23,57.25,57.50,56.25,56.50,2307600.00,
2016-11-22,56.50,57.25,56.25,57.00,1292260.00,
2016-11-21,56.50,57.00,55.75,56.25,1856210.00,
2016-11-18,57.50,57.75,56.50,56.50,3142310.00,
2016-11-17,57.00,57.50,56.75,57.25,1139620.00,
2016-11-16,57.50,58.00,56.75,56.75,2613250.00,
2016-11-15,57.00,58.00,56.50,57.50,2801280.00,
2016-11-14,58.00,58.50,56.25,56.50,3923290.00,
2016-11-11,57.75,59.00,57.50,59.00,2534700.00,
2016-11-10,59.00,59.00,57.75,57.75,2239870.00,
2016-11-09,57.25,58.75,57.00,58.25,4296800.00,
2016-11-08,57.25,58.50,57.25,57.75,4548110.00,
2016-11-07,57.00,58.50,57.00,57.50,7084250.00,
2016-11-04,57.75,58.00,56.25,56.25,5396600.00,
2016-11-03,57.75,58.00,57.25,57.50,4857400.00,
2016-11-02,58.50,58.50,57.50,57.75,1881300.00,
2016-11-01,58.75,59.25,58.00,58.50,4185540.00,
2016-10-31,57.75,58.75,57.75,58.50,2338030.00,
2016-10-28,57.50,58.25,57.25,57.75,4137460.00,
2016-10-27,58.50,59.50,57.25,57.50,9532040.00,
2016-10-26,60.50,60.75,58.50,58.50,11658650.00,
2016-10-25,57.50,60.75,57.00,60.25,11837210.00,
2016-10-21,57.00,57.00,56.00,56.00,1911520.00,
2016-10-20,57.00,57.25,56.50,56.75,1949300.00,
2016-10-19,55.25,57.25,54.75,56.50,7283120.00,
2016-10-18,56.75,57.25,54.75,55.25,7098300.00,
2016-10-17,56.00,58.25,56.00,57.00,9679500.00,
2016-10-14,56.50,56.75,54.25,56.25,12802200.00,
2016-10-13,52.75,55.75,52.00,55.50,13272060.00,
2016-10-12,52.50,53.75,47.50,53.50,13344770.00,
2016-10-11,55.75,55.75,51.00,53.00,11549340.00,
2016-10-10,55.00,56.25,54.50,55.00,9111870.00,
2016-10-07,58.75,59.00,58.00,58.25,4268560.00,
2016-10-06,58.75,59.00,57.75,58.25,6180730.00,
2016-10-05,57.25,59.25,57.25,59.00,13765590.00,
2016-10-04,56.75,57.25,56.00,56.75,6277440.00,
2016-10-03,53.50,56.75,53.25,56.75,10849640.00,
2016-09-30,54.50,55.50,52.75,53.00,10246400.00,
2016-09-29,55.50,56.00,54.50,55.00,6691640.00,
2016-09-28,55.50,56.75,54.50,54.75,6078760.00,
2016-09-27,56.00,56.50,55.00,55.75,5808530.00,
2016-09-26,56.50,57.50,55.50,55.75,11665590.00,
2016-09-23,55.00,57.25,54.00,57.00,15493470.00,
2016-09-22,52.00,55.50,51.75,55.00,21269290.00,
2016-09-21,50.75,52.00,50.50,51.75,7181550.00,
2016-09-20,50.50,50.75,50.00,50.25,3986870.00,
2016-09-19,50.00,50.50,49.50,50.25,2770320.00,
2016-09-16,49.25,49.75,49.25,49.75,5938640.00,
2016-09-15,49.25,49.75,48.75,49.25,2250460.00,
2016-09-14,49.00,49.00,48.50,49.00,849100.00,
2016-09-13,48.25,49.50,48.00,49.00,3564860.00,
2016-09-12,47.25,48.25,47.25,47.75,2434500.00,
2016-09-09,47.75,48.50,47.50,48.25,3554910.00,
