Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,19.70,19.90,19.70,19.80,16547000.00,
2017-03-02,19.80,19.90,19.70,19.80,30550500.00,
2017-03-01,19.60,19.80,19.50,19.80,22362080.00,
2017-02-28,19.50,19.60,19.30,19.60,27090160.00,
2017-02-27,19.60,19.70,19.30,19.40,33284040.00,
2017-02-24,19.50,19.80,19.50,19.80,31986740.00,
2017-02-23,19.80,19.90,19.40,19.60,52262670.00,
2017-02-22,19.40,19.90,19.30,19.90,62211230.00,
2017-02-21,19.50,19.60,19.40,19.40,23214740.00,
2017-02-20,19.50,19.60,19.40,19.50,16795610.00,
2017-02-17,19.60,19.60,19.40,19.50,26200290.00,
2017-02-16,19.50,19.60,19.30,19.50,27965670.00,
2017-02-15,19.40,19.50,19.00,19.40,75809260.00,
2017-02-14,19.50,19.70,19.20,19.40,69732150.00,
2017-02-10,19.60,19.60,19.40,19.40,55992060.00,
2017-02-09,19.10,19.70,19.10,19.50,142180600.00,
2017-02-08,19.00,19.20,18.90,19.00,57530790.00,
2017-02-07,18.90,19.10,18.80,19.00,49867160.00,
2017-02-06,19.20,19.30,18.90,19.00,77639670.00,
2017-02-03,19.00,19.10,18.90,19.10,49331780.00,
2017-02-02,19.20,19.20,18.90,19.00,40206270.00,
2017-02-01,19.00,19.20,18.90,19.20,21752860.00,
2017-01-31,19.10,19.10,18.80,19.00,35309380.00,
2017-01-30,19.20,19.30,19.10,19.20,11467300.00,
2017-01-27,19.10,19.30,19.00,19.20,26754220.00,
2017-01-26,19.30,19.30,19.00,19.10,49775130.00,
2017-01-25,19.10,19.40,19.00,19.10,100635510.00,
2017-01-24,19.00,19.10,18.90,18.90,41390480.00,
2017-01-23,18.90,19.10,18.90,18.90,58862240.00,
2017-01-20,18.60,18.80,18.50,18.80,62843630.00,
2017-01-19,18.50,18.50,18.30,18.40,35951070.00,
2017-01-18,18.50,18.60,18.40,18.60,33029930.00,
2017-01-17,18.40,18.60,18.30,18.40,33226370.00,
2017-01-16,18.60,18.60,18.40,18.50,23428640.00,
2017-01-13,18.70,18.80,18.50,18.60,28067850.00,
2017-01-12,18.90,19.00,18.60,18.80,50354660.00,
2017-01-11,18.90,18.90,18.70,18.70,62532460.00,
2017-01-10,18.40,18.90,18.40,18.80,103264040.00,
2017-01-09,18.50,18.60,18.20,18.40,41186660.00,
2017-01-06,18.60,18.60,18.30,18.40,42786310.00,
2017-01-05,18.00,18.60,18.00,18.60,166304180.00,
2017-01-04,17.80,18.00,17.70,18.00,67914390.00,
2016-12-30,17.60,17.70,17.50,17.70,37284760.00,
2016-12-29,17.40,17.60,17.30,17.60,28051370.00,
2016-12-28,17.50,17.50,17.40,17.40,7658660.00,
2016-12-27,17.40,17.50,17.40,17.50,10884160.00,
2016-12-26,17.30,17.50,17.30,17.50,7684550.00,
2016-12-23,17.20,17.40,17.10,17.40,17880620.00,
2016-12-22,17.30,17.40,17.20,17.20,15989820.00,
2016-12-21,17.40,17.40,17.20,17.30,8473870.00,
2016-12-20,17.30,17.40,17.10,17.30,26398060.00,
2016-12-19,17.40,17.40,17.30,17.30,16152920.00,
2016-12-16,17.60,17.60,17.40,17.40,24259420.00,
2016-12-15,17.40,17.70,17.40,17.50,30878530.00,
2016-12-14,17.60,17.70,17.40,17.50,21393630.00,
2016-12-13,17.60,17.70,17.50,17.60,18163230.00,
2016-12-09,17.70,17.80,17.50,17.60,24369560.00,
2016-12-08,17.60,17.70,17.50,17.70,21205320.00,
2016-12-07,17.50,17.60,17.40,17.50,12678070.00,
2016-12-06,17.30,17.60,17.30,17.60,40546540.00,
2016-12-02,17.40,17.50,17.20,17.20,9672420.00,
2016-12-01,17.50,17.60,17.40,17.40,17629480.00,
2016-11-30,17.10,17.60,17.00,17.60,51422690.00,
2016-11-29,17.10,17.20,17.00,17.00,25102440.00,
2016-11-28,17.10,17.20,17.00,17.10,14564560.00,
2016-11-25,17.10,17.10,17.00,17.10,4883450.00,
2016-11-24,17.10,17.20,17.00,17.00,9550900.00,
2016-11-23,17.00,17.20,17.00,17.20,11425720.00,
2016-11-22,17.00,17.10,16.90,17.00,20012910.00,
2016-11-21,17.10,17.20,16.90,16.90,23069740.00,
2016-11-18,17.00,17.20,17.00,17.10,13669860.00,
