Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,132.50,132.50,131.50,131.50,141040.00,
2017-03-02,132.00,133.50,131.00,132.50,1967610.00,
2017-03-01,130.50,133.00,130.50,132.00,767110.00,
2017-02-28,129.50,131.00,129.50,130.50,624400.00,
2017-02-27,131.00,132.00,128.00,129.00,828790.00,
2017-02-24,131.50,132.50,131.00,132.00,550560.00,
2017-02-23,131.50,132.50,131.50,132.50,721240.00,
2017-02-22,134.00,134.50,131.50,133.00,1963050.00,
2017-02-21,136.50,137.00,134.50,134.50,1325240.00,
2017-02-20,138.50,139.00,137.50,137.50,1208410.00,
2017-02-17,139.00,140.50,138.50,139.00,545240.00,
2017-02-16,140.00,140.00,138.50,138.50,627330.00,
2017-02-15,139.00,140.50,137.50,139.00,448510.00,
2017-02-14,141.00,141.00,139.50,140.00,265400.00,
2017-02-10,139.00,141.00,139.00,140.00,124560.00,
2017-02-09,139.00,140.00,138.50,140.00,1107200.00,
2017-02-08,138.50,139.00,136.50,139.00,609870.00,
2017-02-07,140.00,140.50,138.00,138.00,696270.00,
2017-02-06,139.00,141.00,139.00,140.50,780310.00,
2017-02-03,138.50,140.00,138.50,139.00,599210.00,
2017-02-02,139.50,140.50,137.50,138.00,423000.00,
2017-02-01,140.00,142.00,137.50,140.00,847810.00,
2017-01-31,141.50,141.50,140.00,140.50,178730.00,
2017-01-30,141.00,143.00,141.00,142.00,376720.00,
2017-01-27,140.50,143.00,139.00,140.50,538910.00,
2017-01-26,144.00,144.50,140.50,140.50,977340.00,
2017-01-25,142.00,144.50,141.50,144.50,1075360.00,
2017-01-24,141.00,142.50,140.00,140.50,437810.00,
2017-01-23,140.00,144.00,139.50,140.50,1138010.00,
2017-01-20,137.00,139.50,136.50,139.00,614710.00,
2017-01-19,135.50,137.00,133.50,137.00,694740.00,
2017-01-18,137.50,137.50,135.50,136.00,462400.00,
2017-01-17,137.00,137.50,135.50,136.00,292400.00,
2017-01-16,138.00,139.00,136.50,137.00,324300.00,
2017-01-13,139.50,141.00,138.00,138.00,342010.00,
2017-01-12,141.50,141.50,139.50,139.50,203530.00,
2017-01-11,135.50,141.50,135.00,141.00,936340.00,
2017-01-10,138.00,138.50,135.50,135.50,640210.00,
2017-01-09,138.50,139.00,138.00,138.00,376500.00,
2017-01-06,138.50,140.00,137.50,140.00,580420.00,
2017-01-05,138.50,140.00,138.00,139.50,896020.00,
2017-01-04,138.00,139.00,137.00,138.50,626200.00,
2016-12-30,137.50,138.00,135.50,138.00,1100380.00,
2016-12-29,137.50,137.50,136.00,137.00,601100.00,
2016-12-28,137.00,137.00,135.50,137.00,562490.00,
2016-12-27,133.50,137.00,133.50,136.50,397000.00,
2016-12-26,130.50,133.00,130.50,133.00,276590.00,
2016-12-23,132.50,132.50,129.50,130.00,1353630.00,
2016-12-22,135.00,136.00,133.50,133.50,497740.00,
2016-12-21,137.00,137.50,136.00,136.00,294370.00,
2016-12-20,137.50,139.00,137.50,138.00,552100.00,
2016-12-19,137.00,139.00,136.50,137.00,600120.00,
2016-12-16,133.00,137.00,133.00,137.00,1031610.00,
2016-12-15,135.00,135.00,132.00,132.50,1571270.00,
2016-12-14,139.50,140.50,135.50,136.00,1525440.00,
2016-12-13,141.50,142.50,139.50,139.50,1025100.00,
2016-12-09,143.50,145.00,141.50,141.50,512400.00,
2016-12-08,145.00,145.00,142.50,143.50,891600.00,
2016-12-07,143.00,145.00,142.50,143.50,731600.00,
2016-12-06,144.00,144.00,141.50,142.50,442910.00,
2016-12-02,145.50,145.50,141.50,143.00,806670.00,
2016-12-01,147.00,148.00,144.50,144.50,1369910.00,
2016-11-30,144.00,146.00,142.50,146.00,489700.00,
2016-11-29,145.50,147.00,144.00,144.50,420740.00,
2016-11-28,142.00,146.00,142.00,145.50,1265580.00,
2016-11-25,142.00,143.00,141.00,141.50,483200.00,
2016-11-24,143.00,143.00,141.00,142.00,547410.00,
2016-11-23,143.00,145.00,142.50,143.00,939350.00,
2016-11-22,144.00,146.00,142.00,143.00,1637580.00,
2016-11-21,137.50,144.50,137.50,144.00,1230460.00,
2016-11-18,135.50,139.50,135.00,138.00,1520320.00,
2016-11-17,138.00,138.50,135.50,137.00,801040.00,
2016-11-16,143.00,144.00,136.50,138.00,2264150.00,
2016-11-15,138.00,145.50,138.00,144.00,1248640.00,
2016-11-14,139.00,142.00,138.00,139.00,544520.00,
2016-11-11,146.00,146.00,141.00,141.00,1111000.00,
2016-11-10,149.00,149.00,145.50,146.00,654620.00,
2016-11-09,147.00,149.00,143.00,148.50,988940.00,
2016-11-08,149.50,150.00,148.50,149.00,216610.00,
2016-11-07,149.50,151.00,149.00,150.00,207400.00,
2016-11-04,149.00,149.50,148.00,148.50,198830.00,
2016-11-03,149.50,150.50,148.50,149.00,407500.00,
2016-11-02,150.00,150.50,147.50,148.50,350610.00,
2016-11-01,149.50,151.50,149.00,149.50,233690.00,
2016-10-31,148.00,151.50,147.50,150.00,425380.00,
2016-10-28,150.00,154.50,148.00,148.00,757530.00,
2016-10-27,151.00,152.50,149.00,149.50,568800.00,
2016-10-26,149.50,152.00,149.00,149.00,587600.00,
