Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,9.85,9.90,9.80,9.85,12694850.00,
2017-03-02,9.80,9.85,9.75,9.85,9927130.00,
2017-03-01,9.80,9.80,9.70,9.80,5826640.00,
2017-02-28,9.60,9.85,9.55,9.80,22075690.00,
2017-02-27,9.50,9.65,9.50,9.60,8111910.00,
2017-02-24,9.60,9.65,9.50,9.55,13681380.00,
2017-02-23,9.60,9.65,9.50,9.60,18391780.00,
2017-02-22,9.75,9.80,9.55,9.60,22890240.00,
2017-02-21,9.85,9.90,9.75,9.75,13028890.00,
2017-02-20,9.85,9.90,9.80,9.85,4839360.00,
2017-02-17,9.85,9.90,9.80,9.85,8449700.00,
2017-02-16,9.65,9.90,9.65,9.90,17510930.00,
2017-02-15,9.80,9.85,9.65,9.65,21471530.00,
2017-02-14,9.80,9.85,9.75,9.80,11635020.00,
2017-02-10,9.95,10.00,9.80,9.80,20929510.00,
2017-02-09,9.80,10.00,9.80,9.95,16411410.00,
2017-02-08,9.85,10.00,9.75,9.80,22364650.00,
2017-02-07,9.90,9.95,9.80,9.85,12642000.00,
2017-02-06,9.90,9.95,9.80,9.95,10554040.00,
2017-02-03,9.75,9.95,9.70,9.90,30533530.00,
2017-02-02,9.80,9.90,9.75,9.75,10304030.00,
2017-02-01,9.65,9.90,9.65,9.85,9555830.00,
2017-01-31,9.80,9.80,9.70,9.70,7984700.00,
2017-01-30,9.80,9.90,9.75,9.80,8212430.00,
2017-01-27,9.90,9.95,9.75,9.80,18881560.00,
2017-01-26,9.95,10.10,9.80,10.00,24230160.00,
2017-01-25,9.75,10.00,9.75,9.95,36869060.00,
2017-01-24,9.80,9.85,9.70,9.75,8671490.00,
2017-01-23,9.55,9.85,9.55,9.80,36696030.00,
2017-01-20,9.50,9.60,9.45,9.55,21961690.00,
2017-01-19,9.60,9.60,9.35,9.50,34913320.00,
2017-01-18,9.85,9.85,9.55,9.60,40726030.00,
2017-01-17,9.85,10.00,9.80,9.85,12422050.00,
2017-01-16,10.10,10.10,9.85,9.85,16191740.00,
2017-01-13,10.10,10.10,9.95,10.10,11530370.00,
2017-01-12,10.20,10.20,9.95,10.00,13774640.00,
2017-01-11,10.00,10.30,9.95,10.20,29575020.00,
2017-01-10,9.70,10.10,9.70,10.10,34961820.00,
2017-01-09,9.85,9.90,9.70,9.75,20993060.00,
2017-01-06,9.80,9.95,9.70,9.85,29494560.00,
2017-01-05,9.80,9.95,9.80,9.85,40413400.00,
2017-01-04,9.70,9.85,9.70,9.70,18656270.00,
2016-12-30,9.90,9.90,9.65,9.80,23907050.00,
2016-12-29,9.85,10.00,9.65,9.90,29027400.00,
2016-12-28,9.75,9.95,9.75,9.85,68601030.00,
2016-12-27,9.45,9.80,9.45,9.75,35227030.00,
2016-12-26,9.50,9.60,9.40,9.45,12354790.00,
2016-12-23,9.25,9.55,9.20,9.45,25774740.00,
2016-12-22,9.30,9.30,9.20,9.25,5939430.00,
2016-12-21,9.30,9.35,9.20,9.25,8717800.00,
2016-12-20,9.20,9.35,9.15,9.25,22629990.00,
2016-12-19,9.20,9.30,9.15,9.15,22475500.00,
2016-12-16,9.15,9.20,9.15,9.20,13015820.00,
2016-12-15,9.20,9.25,9.05,9.10,34815940.00,
2016-12-14,9.20,9.30,9.15,9.25,20604650.00,
2016-12-13,9.15,9.20,9.05,9.15,10226540.00,
2016-12-09,9.15,9.20,9.05,9.15,10083020.00,
2016-12-08,9.00,9.20,9.00,9.15,19567380.00,
2016-12-07,9.00,9.10,9.00,9.00,10529150.00,
2016-12-06,9.05,9.15,9.00,9.05,12047040.00,
2016-12-02,9.10,9.15,9.00,9.05,7622820.00,
2016-12-01,9.30,9.35,9.10,9.20,14850700.00,
2016-11-30,9.20,9.40,9.05,9.30,34779570.00,
2016-11-29,9.10,9.20,9.05,9.15,13400750.00,
2016-11-28,9.05,9.10,9.00,9.05,6855060.00,
2016-11-25,9.00,9.05,8.95,9.05,5147360.00,
2016-11-24,8.95,9.05,8.90,8.95,14635220.00,
2016-11-23,8.75,8.95,8.75,8.95,15948460.00,
2016-11-22,8.85,8.90,8.70,8.75,11502920.00,
2016-11-21,8.75,8.85,8.75,8.80,7599820.00,
2016-11-18,8.75,8.75,8.65,8.75,13869800.00,
2016-11-17,8.90,8.95,8.65,8.70,25525630.00,
2016-11-16,8.90,8.95,8.80,8.85,9122720.00,
2016-11-15,8.95,9.00,8.80,8.90,19860840.00,
2016-11-14,8.90,9.05,8.90,8.95,12131210.00,
2016-11-11,9.05,9.15,8.95,9.00,21706670.00,
2016-11-10,9.15,9.15,8.95,9.05,22137890.00,
2016-11-09,9.00,9.20,8.95,9.20,15001140.00,
2016-11-08,9.15,9.20,9.10,9.10,7110180.00,
2016-11-07,9.05,9.15,9.05,9.15,5321280.00,
2016-11-04,9.15,9.20,9.05,9.05,8449720.00,
2016-11-03,9.05,9.25,9.05,9.20,5868920.00,
2016-11-02,9.10,9.15,9.00,9.10,13644920.00,
2016-11-01,9.20,9.25,9.10,9.15,7915780.00,
2016-10-31,9.15,9.25,9.10,9.20,11901460.00,
2016-10-28,9.30,9.30,9.15,9.20,14016430.00,
2016-10-27,9.30,9.35,9.25,9.30,14385510.00,
2016-10-26,9.30,9.35,9.25,9.30,9534630.00,
2016-10-25,9.30,9.35,9.20,9.35,14882380.00,
2016-10-21,9.30,9.30,9.20,9.25,10078200.00,
2016-10-20,9.30,9.40,9.20,9.30,21716130.00,
2016-10-19,9.15,9.30,9.15,9.25,19169390.00,
2016-10-18,9.15,9.35,9.10,9.25,38446320.00,
2016-10-17,9.00,9.15,8.95,9.10,15128760.00,
2016-10-14,9.10,9.30,8.95,9.00,54848690.00,
2016-10-13,8.40,8.60,8.10,8.60,63659610.00,
2016-10-12,8.80,8.85,7.60,8.55,95909510.00,
2016-10-11,9.00,9.05,8.75,8.95,36171190.00,
2016-10-10,8.95,9.10,8.90,9.00,40486790.00,
2016-10-07,9.30,9.40,9.15,9.25,13590080.00,
2016-10-06,9.30,9.40,9.25,9.25,12364940.00,
2016-10-05,9.35,9.40,9.20,9.25,21403290.00,
2016-10-04,9.05,9.40,9.05,9.40,29606620.00,
2016-10-03,9.00,9.15,9.00,9.05,24279690.00,
2016-09-30,9.10,9.20,8.95,8.95,24967900.00,
2016-09-29,9.35,9.40,9.10,9.20,19736820.00,
2016-09-28,9.30,9.35,9.20,9.30,6677120.00,
2016-09-27,9.25,9.35,9.25,9.35,7982470.00,
2016-09-26,9.20,9.25,9.15,9.25,10717760.00,
2016-09-23,9.40,9.45,9.20,9.35,30702750.00,
2016-09-22,9.35,9.45,9.30,9.40,28515430.00,
2016-09-21,9.20,9.45,9.10,9.20,33711460.00,
2016-09-20,9.10,9.10,9.00,9.10,21435660.00,
2016-09-19,9.10,9.15,9.05,9.10,10708340.00,
2016-09-16,9.00,9.10,8.90,9.10,73194340.00,
2016-09-15,9.00,9.00,8.80,8.90,18219600.00,
2016-09-14,8.80,9.00,8.80,8.90,30591050.00,
2016-09-13,8.75,8.85,8.70,8.80,30142410.00,
2016-09-12,8.70,8.70,8.50,8.60,33027520.00,
2016-09-09,8.95,9.00,8.75,8.85,31336800.00,
