Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,1.76,1.77,1.74,1.75,16695320.00,
2017-03-02,1.75,1.77,1.75,1.76,19632520.00,
2017-03-01,1.75,1.75,1.73,1.74,17805290.00,
2017-02-28,1.74,1.76,1.74,1.75,10131640.00,
2017-02-27,1.74,1.75,1.74,1.74,9945360.00,
2017-02-24,1.78,1.78,1.73,1.75,70593890.00,
2017-02-23,1.79,1.79,1.77,1.77,7200100.00,
2017-02-22,1.79,1.80,1.78,1.78,8722300.00,
2017-02-21,1.78,1.80,1.77,1.79,24176960.00,
2017-02-20,1.78,1.78,1.77,1.77,6752980.00,
2017-02-17,1.77,1.78,1.77,1.77,7967560.00,
2017-02-16,1.78,1.78,1.77,1.77,6843710.00,
2017-02-15,1.78,1.79,1.77,1.78,17869960.00,
2017-02-14,1.79,1.80,1.78,1.78,18183240.00,
2017-02-10,1.79,1.79,1.78,1.79,11926910.00,
2017-02-09,1.78,1.79,1.78,1.78,6684300.00,
2017-02-08,1.78,1.80,1.77,1.78,24219600.00,
2017-02-07,1.80,1.80,1.78,1.78,14429560.00,
2017-02-06,1.77,1.81,1.77,1.80,45549120.00,
2017-02-03,1.77,1.78,1.76,1.77,9457840.00,
2017-02-02,1.77,1.78,1.77,1.77,5707490.00,
2017-02-01,1.77,1.78,1.77,1.77,11442650.00,
2017-01-31,1.78,1.79,1.77,1.77,13045310.00,
2017-01-30,1.79,1.79,1.78,1.78,8914530.00,
2017-01-27,1.78,1.79,1.77,1.79,11218160.00,
2017-01-26,1.78,1.79,1.77,1.77,19550370.00,
2017-01-25,1.78,1.79,1.76,1.78,23242710.00,
2017-01-24,1.80,1.80,1.78,1.78,20514800.00,
2017-01-23,1.80,1.80,1.78,1.80,14831170.00,
2017-01-20,1.78,1.80,1.77,1.79,23280790.00,
2017-01-19,1.78,1.80,1.76,1.78,25617450.00,
2017-01-18,1.78,1.79,1.77,1.78,31821010.00,
2017-01-17,1.81,1.83,1.77,1.77,94629510.00,
2017-01-16,1.80,1.82,1.78,1.80,44674360.00,
2017-01-13,1.80,1.81,1.77,1.79,32523780.00,
2017-01-12,1.80,1.81,1.79,1.80,23432070.00,
2017-01-11,1.81,1.81,1.79,1.79,44989380.00,
2017-01-10,1.84,1.85,1.78,1.80,148360000.00,
2017-01-09,1.77,1.83,1.76,1.83,189754890.00,
2017-01-06,1.74,1.77,1.73,1.75,60948500.00,
2017-01-05,1.73,1.75,1.73,1.73,40307380.00,
2017-01-04,1.73,1.75,1.72,1.73,48443610.00,
2016-12-30,1.72,1.73,1.71,1.72,9246000.00,
2016-12-29,1.71,1.72,1.71,1.72,3762800.00,
2016-12-28,1.71,1.72,1.70,1.71,11131530.00,
2016-12-27,1.71,1.72,1.69,1.71,19385670.00,
2016-12-26,1.73,1.73,1.71,1.71,20921840.00,
2016-12-23,1.72,1.74,1.72,1.74,8721030.00,
2016-12-22,1.72,1.74,1.72,1.73,18099380.00,
2016-12-21,1.71,1.73,1.71,1.73,8269170.00,
2016-12-20,1.72,1.73,1.70,1.71,22628880.00,
2016-12-19,1.73,1.74,1.72,1.72,28616740.00,
2016-12-16,1.74,1.75,1.73,1.74,22067580.00,
2016-12-15,1.74,1.74,1.73,1.73,9235160.00,
2016-12-14,1.73,1.75,1.73,1.74,9984670.00,
2016-12-13,1.75,1.75,1.73,1.73,16099100.00,
2016-12-09,1.76,1.76,1.74,1.74,10471120.00,
2016-12-08,1.75,1.76,1.73,1.76,27946610.00,
2016-12-07,1.72,1.75,1.72,1.75,8938790.00,
2016-12-06,1.72,1.73,1.71,1.72,20834130.00,
2016-12-02,1.74,1.74,1.72,1.72,7407100.00,
2016-12-01,1.74,1.75,1.73,1.73,16593370.00,
2016-11-30,1.73,1.74,1.73,1.73,3339200.00,
2016-11-29,1.73,1.74,1.72,1.73,7226710.00,
2016-11-28,1.74,1.74,1.73,1.73,16829810.00,
2016-11-25,1.74,1.75,1.74,1.74,22497420.00,
2016-11-24,1.74,1.76,1.74,1.74,10295280.00,
2016-11-23,1.75,1.75,1.74,1.75,6372610.00,
2016-11-22,1.76,1.77,1.74,1.74,8585860.00,
2016-11-21,1.74,1.77,1.73,1.76,11970280.00,
2016-11-18,1.77,1.77,1.72,1.74,30000800.00,
2016-11-17,1.77,1.77,1.74,1.76,11475370.00,
2016-11-16,1.75,1.78,1.75,1.77,20461470.00,
2016-11-15,1.75,1.76,1.73,1.74,18397240.00,
2016-11-14,1.77,1.78,1.74,1.74,36583600.00,
2016-11-11,1.81,1.82,1.79,1.79,40994390.00,
2016-11-10,1.83,1.84,1.81,1.81,114335860.00,
2016-11-09,1.76,1.82,1.75,1.81,75490770.00,
2016-11-08,1.76,1.81,1.75,1.78,69408560.00,
2016-11-07,1.75,1.77,1.74,1.76,97249340.00,
2016-11-04,1.73,1.74,1.71,1.74,30407980.00,
2016-11-03,1.75,1.75,1.72,1.73,17178680.00,
2016-11-02,1.75,1.75,1.72,1.73,41125290.00,
2016-11-01,1.70,1.79,1.70,1.75,118211140.00,
2016-10-31,1.71,1.71,1.69,1.70,5790970.00,
2016-10-28,1.71,1.71,1.69,1.70,8984510.00,
2016-10-27,1.71,1.71,1.69,1.70,11296780.00,
2016-10-26,1.73,1.73,1.69,1.70,43722330.00,
2016-10-25,1.70,1.72,1.69,1.72,34563160.00,
2016-10-21,1.71,1.71,1.69,1.69,19937380.00,
2016-10-20,1.68,1.72,1.68,1.70,63605640.00,
2016-10-19,1.68,1.69,1.67,1.68,22622130.00,
2016-10-18,1.71,1.71,1.67,1.68,28186940.00,
2016-10-17,1.69,1.71,1.69,1.71,31634260.00,
2016-10-14,1.65,1.71,1.61,1.71,89758500.00,
2016-10-13,1.56,1.58,1.50,1.58,44616040.00,
2016-10-12,1.61,1.62,1.50,1.58,37200340.00,
2016-10-11,1.63,1.65,1.61,1.63,22599040.00,
2016-10-10,1.61,1.65,1.61,1.62,24235360.00,
2016-10-07,1.69,1.70,1.68,1.69,5507760.00,
2016-10-06,1.70,1.70,1.69,1.69,14038300.00,
2016-10-05,1.70,1.70,1.68,1.70,11171520.00,
