Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,32.50,33.25,32.25,32.50,3434000.00,
2017-02-08,32.25,32.50,32.25,32.25,1602500.00,
2017-02-07,32.50,32.50,32.00,32.25,1031730.00,
2017-02-06,31.50,32.75,31.50,32.50,3399520.00,
2017-02-03,31.75,31.75,31.50,31.50,2279900.00,
2017-02-02,32.00,32.00,31.50,31.50,3609070.00,
2017-02-01,32.25,32.25,31.75,32.25,5441640.00,
2017-01-31,32.25,32.50,31.75,32.25,2557990.00,
2017-01-30,31.75,33.00,31.75,32.50,6740660.00,
2017-01-27,31.50,31.75,31.50,31.75,2202100.00,
2017-01-26,31.75,32.00,31.50,31.75,2954500.00,
2017-01-25,31.75,32.00,31.50,31.50,2085180.00,
2017-01-24,32.00,32.00,31.75,31.75,2195620.00,
2017-01-23,31.00,32.25,31.00,32.00,3523160.00,
2017-01-20,30.50,31.75,30.50,31.00,3274560.00,
2017-01-19,31.00,31.25,30.50,30.50,3984700.00,
2017-01-18,31.25,31.50,31.00,31.25,1205400.00,
2017-01-17,31.75,32.25,31.25,31.25,1877840.00,
2017-01-16,31.00,31.75,31.00,31.75,1486100.00,
2017-01-13,31.25,31.50,30.75,31.25,2520200.00,
2017-01-12,31.00,31.50,31.00,31.25,2817230.00,
2017-01-11,31.50,31.50,30.75,31.25,7031260.00,
2017-01-10,31.50,31.75,31.00,31.50,4762500.00,
2017-01-09,32.25,32.50,31.50,31.75,1070510.00,
2017-01-06,32.25,32.75,32.00,32.00,1588760.00,
2017-01-05,33.00,33.00,32.25,32.25,1898600.00,
2017-01-04,32.50,33.00,32.25,33.00,942700.00,
2016-12-30,33.00,33.25,32.50,32.75,1430900.00,
2016-12-29,33.25,33.25,32.25,33.00,2586800.00,
2016-12-28,33.50,33.75,32.75,33.25,624500.00,
2016-12-27,33.75,33.75,33.25,33.50,745600.00,
2016-12-26,33.25,33.50,33.25,33.50,682700.00,
2016-12-23,32.25,33.25,32.25,33.00,1059700.00,
2016-12-22,33.00,33.00,31.75,32.75,496580.00,
2016-12-21,32.25,33.00,32.25,32.75,1688400.00,
2016-12-20,31.75,32.50,31.75,32.00,2366600.00,
2016-12-19,31.50,32.75,31.25,32.25,2534880.00,
2016-12-16,32.50,32.50,31.25,31.50,2212700.00,
2016-12-15,31.75,32.50,31.75,32.50,913310.00,
2016-12-14,33.00,33.00,31.25,31.75,2709120.00,
2016-12-13,33.00,33.25,32.50,33.00,3844100.00,
2016-12-09,32.50,33.25,32.50,33.25,3167610.00,
2016-12-08,32.75,32.75,32.00,32.50,797890.00,
2016-12-07,32.00,32.75,31.75,32.50,1759090.00,
2016-12-06,32.00,32.25,31.50,32.00,2229670.00,
2016-12-02,32.25,32.25,30.75,31.25,801770.00,
2016-12-01,32.25,32.25,31.00,32.25,1793900.00,
2016-11-30,31.00,32.00,31.00,32.00,3766660.00,
2016-11-29,30.25,31.50,30.25,31.00,5283410.00,
2016-11-28,29.75,30.50,29.75,30.00,1595700.00,
2016-11-25,30.25,30.25,29.75,30.00,1340300.00,
2016-11-24,29.50,30.25,29.50,30.00,700900.00,
2016-11-23,29.75,30.00,29.50,29.75,3036900.00,
2016-11-22,29.75,30.00,29.50,29.75,2168810.00,
2016-11-21,30.25,30.25,29.25,29.50,3625010.00,
2016-11-18,30.00,30.00,29.75,30.00,1451800.00,
2016-11-17,30.00,30.00,29.25,30.00,1381900.00,
2016-11-16,30.50,30.50,29.00,30.00,2886300.00,
2016-11-15,30.25,30.75,29.75,30.00,2427290.00,
2016-11-14,30.00,30.25,29.75,30.00,1104900.00,
2016-11-11,30.00,30.75,29.50,30.50,712830.00,
2016-11-10,31.00,31.50,29.50,30.00,2055060.00,
2016-11-09,30.00,31.25,29.75,31.00,3541330.00,
2016-11-08,30.00,30.50,29.75,30.25,1169340.00,
2016-11-07,28.75,29.75,28.75,29.75,1915830.00,
2016-11-04,29.25,29.50,28.50,28.75,2187720.00,
2016-11-03,29.25,29.50,29.00,29.25,1433620.00,
2016-11-02,28.75,29.25,28.50,29.25,1201420.00,
2016-11-01,29.00,29.00,28.50,29.00,2792260.00,
2016-10-31,29.00,29.25,28.75,29.00,2321780.00,
2016-10-28,29.25,29.50,28.75,29.25,2596800.00,
2016-10-27,29.25,29.25,28.75,29.00,2138000.00,
2016-10-26,29.00,29.75,28.75,29.00,1637000.00,
2016-10-25,29.00,29.25,28.75,29.00,5178200.00,
2016-10-21,29.50,29.75,29.00,29.00,3034410.00,
2016-10-20,29.50,29.75,29.00,29.25,1450230.00,
2016-10-19,29.25,29.50,29.00,29.50,2024010.00,
2016-10-18,29.00,29.25,28.75,29.00,963380.00,
2016-10-17,28.50,29.00,28.50,28.50,913900.00,
2016-10-14,29.75,29.75,27.75,28.50,6171100.00,
2016-10-13,28.00,28.25,27.00,27.50,6425650.00,
2016-10-12,28.00,28.50,25.75,28.00,8186220.00,
2016-10-11,28.50,28.75,27.75,28.25,5298920.00,
2016-10-10,28.25,29.50,28.25,28.75,14393200.00,
2016-10-07,31.00,31.00,30.25,30.50,1387200.00,
2016-10-06,31.00,31.00,30.25,30.50,1360500.00,
2016-10-05,30.75,31.00,30.25,30.75,1307120.00,
2016-10-04,30.25,30.75,30.25,30.50,659500.00,
2016-10-03,30.75,31.00,30.25,30.25,787820.00,
2016-09-30,30.75,31.00,30.00,30.75,2852990.00,
2016-09-29,30.75,31.00,30.50,31.00,934350.00,
2016-09-28,30.75,30.75,30.25,30.25,1566750.00,
2016-09-27,30.00,30.75,30.00,30.50,1197290.00,
2016-09-26,29.50,30.25,29.50,30.25,432100.00,
2016-09-23,30.25,30.25,29.50,29.75,1098320.00,
2016-09-22,30.75,31.00,29.75,30.00,4261750.00,
2016-09-21,29.50,30.75,29.50,30.50,1793990.00,
2016-09-20,29.50,29.75,29.00,29.50,1448980.00,
2016-09-19,29.00,29.75,29.00,29.25,767480.00,
2016-09-16,29.00,29.50,28.75,29.25,6903160.00,
2016-09-15,28.25,29.75,28.00,28.75,5524640.00,
2016-09-14,28.00,28.50,27.75,28.25,3234200.00,
2016-09-13,27.25,28.00,27.25,28.00,2891870.00,
2016-09-12,27.50,28.25,27.25,27.25,1015100.00,
2016-09-09,27.50,28.75,27.00,28.00,4625510.00,
