Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,36.25,36.50,35.75,36.00,10157830.00,
2017-02-08,35.50,36.50,35.50,36.00,35723800.00,
2017-02-07,34.75,35.25,34.50,34.75,6292140.00,
2017-02-06,34.50,35.00,34.50,34.50,8939860.00,
2017-02-03,34.75,35.00,34.25,34.25,10315820.00,
2017-02-02,34.50,35.00,34.25,34.75,6475460.00,
2017-02-01,35.00,35.00,34.00,34.50,16943760.00,
2017-01-31,35.00,35.25,34.75,34.75,7112220.00,
2017-01-30,35.25,35.50,34.75,34.75,6739360.00,
2017-01-27,35.50,35.75,34.50,35.25,15483930.00,
2017-01-26,35.25,35.50,34.50,35.25,22928940.00,
2017-01-25,35.00,35.50,34.75,35.00,20025990.00,
2017-01-24,34.00,35.00,34.00,34.50,23960130.00,
2017-01-23,34.00,34.50,33.75,34.00,19387060.00,
2017-01-20,34.00,34.25,33.75,34.00,20751270.00,
2017-01-19,34.50,34.75,34.00,34.25,15096830.00,
2017-01-18,35.00,35.25,34.50,34.75,7721370.00,
2017-01-17,35.25,35.25,34.75,35.00,17332540.00,
2017-01-16,36.00,36.00,35.00,35.00,9145840.00,
2017-01-13,35.75,36.25,35.50,36.00,5781780.00,
2017-01-12,35.75,36.00,35.50,35.75,6075750.00,
2017-01-11,35.75,36.00,35.25,35.50,9950190.00,
2017-01-10,36.00,36.25,35.50,36.00,12289760.00,
2017-01-09,36.00,36.25,35.75,36.00,10328990.00,
2017-01-06,36.25,36.50,35.75,36.00,8160350.00,
2017-01-05,36.50,36.50,35.25,36.25,18536370.00,
2017-01-04,36.00,36.50,35.75,36.50,9365040.00,
2016-12-30,35.50,36.00,35.25,35.75,8155440.00,
2016-12-29,35.25,35.75,35.00,35.50,6405650.00,
2016-12-28,35.00,35.50,34.75,35.25,6999760.00,
2016-12-27,35.00,35.00,34.75,34.75,6881180.00,
2016-12-26,34.75,35.25,34.50,34.75,7299420.00,
2016-12-23,34.25,34.50,33.75,34.25,9746340.00,
2016-12-22,34.50,34.75,34.00,34.25,10152400.00,
2016-12-21,35.00,35.00,34.00,34.50,11982900.00,
2016-12-20,35.00,35.25,34.50,35.00,8894790.00,
2016-12-19,35.00,35.50,34.75,35.00,14017430.00,
2016-12-16,36.00,36.00,34.75,35.00,23259270.00,
2016-12-15,36.50,36.50,35.75,36.00,4922740.00,
2016-12-14,37.00,37.00,36.25,36.50,5364920.00,
2016-12-13,36.50,36.75,36.25,36.75,7074180.00,
2016-12-09,36.75,37.00,36.50,36.75,4325130.00,
2016-12-08,36.50,37.00,36.25,36.75,7312150.00,
2016-12-07,36.50,36.75,36.00,36.25,10155770.00,
2016-12-06,37.00,37.25,36.25,36.75,8653100.00,
2016-12-02,36.75,37.00,36.25,36.75,6946880.00,
2016-12-01,38.00,38.00,36.75,36.75,21149270.00,
2016-11-30,35.75,37.50,35.75,37.50,24612420.00,
2016-11-29,36.00,36.25,35.50,35.75,14129760.00,
2016-11-28,36.25,36.50,35.50,36.25,11259730.00,
2016-11-25,34.75,36.50,34.50,36.25,28888330.00,
2016-11-24,34.75,34.75,34.50,34.50,2768820.00,
2016-11-23,35.00,35.00,34.25,34.75,13931080.00,
2016-11-22,35.00,35.25,34.75,35.00,7083150.00,
2016-11-21,34.25,35.25,34.00,34.75,10220160.00,
2016-11-18,34.25,34.50,33.75,34.00,12018090.00,
2016-11-17,35.00,35.50,34.25,34.50,14235480.00,
2016-11-16,35.25,35.75,34.50,35.00,10096840.00,
2016-11-15,35.00,35.50,34.75,35.00,14780370.00,
2016-11-14,36.50,36.50,34.75,35.00,15027030.00,
2016-11-11,37.25,37.50,36.50,36.50,6787580.00,
2016-11-10,37.75,38.00,37.00,37.25,9274730.00,
2016-11-09,36.75,37.75,36.50,37.75,10018460.00,
2016-11-08,36.25,37.75,36.25,37.25,17649930.00,
2016-11-07,36.50,36.75,36.00,36.25,12595820.00,
2016-11-04,36.50,36.75,36.25,36.50,4477290.00,
2016-11-03,37.00,37.25,36.50,36.75,7985320.00,
2016-11-02,37.75,37.75,37.00,37.00,7019050.00,
2016-11-01,38.25,38.50,37.50,37.75,14875700.00,
2016-10-31,38.25,38.50,38.25,38.50,2960750.00,
2016-10-28,38.50,38.50,38.25,38.25,2639340.00,
2016-10-27,38.50,38.75,38.25,38.50,2508180.00,
2016-10-26,38.75,38.75,38.25,38.50,2427870.00,
2016-10-25,38.50,38.75,38.00,38.50,5986330.00,
2016-10-21,38.25,39.00,38.25,38.50,6653810.00,
2016-10-20,38.25,38.50,37.75,38.00,7608520.00,
2016-10-19,38.50,38.50,37.75,38.00,12366390.00,
2016-10-18,38.75,39.25,38.25,38.75,4644990.00,
2016-10-17,39.25,39.25,38.25,38.75,7974770.00,
2016-10-14,39.00,40.00,38.50,39.00,20898360.00,
2016-10-13,36.00,37.75,35.00,37.25,21610820.00,
2016-10-12,38.25,38.25,34.25,36.50,36649230.00,
2016-10-11,39.25,39.50,38.00,38.25,10743910.00,
2016-10-10,39.50,40.00,38.75,39.25,13929200.00,
2016-10-07,40.75,41.00,40.50,40.75,7459820.00,
2016-10-06,40.25,40.75,40.25,40.50,7159840.00,
2016-10-05,39.75,40.50,39.50,40.00,11617720.00,
2016-10-04,39.00,39.75,39.00,39.50,6784330.00,
2016-10-03,39.50,39.75,39.00,39.25,4450150.00,
2016-09-30,38.25,39.25,38.25,39.00,8070850.00,
2016-09-29,39.00,39.25,38.50,38.50,7758760.00,
2016-09-28,38.75,39.00,38.25,38.50,3314990.00,
2016-09-27,39.25,39.25,38.50,38.75,4688460.00,
2016-09-26,39.25,39.50,38.75,39.00,7348820.00,
2016-09-23,39.50,39.75,38.75,39.50,5762670.00,
2016-09-22,40.00,40.00,39.00,39.50,7617630.00,
2016-09-21,39.00,39.50,38.75,39.50,7076980.00,
2016-09-20,39.00,39.00,38.25,39.00,8034310.00,
2016-09-19,38.50,39.00,38.25,39.00,4675200.00,
2016-09-16,38.50,38.50,37.75,38.50,38880170.00,
2016-09-15,38.00,38.50,37.75,38.50,5661620.00,
2016-09-14,37.50,38.50,37.25,37.75,10224380.00,
2016-09-13,37.25,38.00,36.75,37.50,21024300.00,
2016-09-12,37.25,37.75,36.50,36.75,10793520.00,
2016-09-09,37.75,38.25,37.50,38.00,11316180.00,
