Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,32.00,32.00,31.25,31.50,6066270.00,
2017-03-02,31.50,32.25,31.25,32.00,14982860.00,
2017-03-01,31.75,32.50,31.00,31.25,29188420.00,
2017-02-28,29.75,31.75,29.75,31.50,31651880.00,
2017-02-27,30.00,30.00,29.50,29.75,8101610.00,
2017-02-24,29.50,30.75,29.25,30.00,33867400.00,
2017-02-23,30.25,30.50,29.25,29.50,17252040.00,
2017-02-22,29.25,30.50,29.00,30.25,21968920.00,
2017-02-21,29.00,29.50,28.75,29.00,14543400.00,
2017-02-20,28.75,29.50,28.50,29.25,9104550.00,
2017-02-17,28.50,29.00,28.50,28.75,6312200.00,
2017-02-16,28.25,29.00,28.25,28.75,8486810.00,
2017-02-15,29.00,29.25,27.25,28.25,17984760.00,
2017-02-14,28.50,29.50,28.50,29.00,7239500.00,
2017-02-10,29.50,29.75,28.75,28.75,4129740.00,
2017-02-09,30.00,30.00,28.50,29.25,14926200.00,
2017-02-08,30.00,30.50,29.50,30.00,28507540.00,
2017-02-07,29.50,30.25,29.50,29.75,26132100.00,
2017-02-06,29.00,29.75,28.75,29.50,12497030.00,
2017-02-03,29.00,29.25,28.50,29.00,5792600.00,
2017-02-02,29.25,29.75,28.50,28.75,6914510.00,
2017-02-01,28.50,29.50,28.50,29.00,15765920.00,
2017-01-31,29.00,29.50,28.25,28.25,11446140.00,
2017-01-30,29.00,30.25,28.50,29.00,25297600.00,
2017-01-27,27.25,29.50,27.25,29.00,33662190.00,
2017-01-26,27.75,28.75,27.00,27.25,40473570.00,
2017-01-25,26.25,27.75,26.25,27.75,25448350.00,
2017-01-24,26.50,27.00,26.00,26.00,7798690.00,
2017-01-23,26.00,27.00,25.50,26.50,17290050.00,
2017-01-20,25.25,26.25,25.00,26.00,21320050.00,
2017-01-19,25.00,25.50,24.90,25.00,9602120.00,
2017-01-18,25.25,25.25,24.90,24.90,6864950.00,
2017-01-17,25.75,26.00,25.00,25.00,9296270.00,
2017-01-16,24.80,26.00,24.80,25.75,18543120.00,
2017-01-13,25.00,25.25,24.80,24.80,4585940.00,
2017-01-12,25.00,25.25,24.90,24.90,3744110.00,
2017-01-11,25.25,25.25,24.80,24.90,7037010.00,
2017-01-10,24.90,25.25,24.80,25.00,8206110.00,
2017-01-09,26.00,26.00,24.60,24.80,26259310.00,
2017-01-06,26.00,26.25,25.50,25.75,12483200.00,
2017-01-05,24.80,26.25,24.80,25.75,21176500.00,
2017-01-04,24.70,25.25,24.60,24.60,9027450.00,
