Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,6.30,6.40,6.25,6.40,4751200.00,
2017-03-02,6.15,6.35,6.15,6.25,5757210.00,
2017-03-01,6.35,6.40,6.05,6.10,7389550.00,
2017-02-28,6.40,6.55,6.30,6.30,8847720.00,
2017-02-27,6.25,6.70,6.25,6.40,13591360.00,
2017-02-24,6.30,6.35,6.25,6.30,4571700.00,
2017-02-23,6.35,6.35,6.25,6.35,9020270.00,
2017-02-22,6.20,6.35,6.05,6.35,10852200.00,
2017-02-21,6.15,6.35,6.10,6.15,10260300.00,
2017-02-20,6.10,6.15,6.00,6.10,5416600.00,
2017-02-17,6.25,6.30,6.00,6.10,7649720.00,
2017-02-16,6.00,6.30,5.95,6.25,15365200.00,
2017-02-15,6.05,6.05,5.85,6.00,4713910.00,
2017-02-14,6.05,6.10,6.00,6.00,633700.00,
2017-02-10,6.10,6.10,6.00,6.05,2035000.00,
2017-02-09,6.10,6.15,6.00,6.05,5387500.00,
2017-02-08,6.10,6.15,6.05,6.05,1320200.00,
2017-02-07,6.15,6.15,6.10,6.15,2383200.00,
2017-02-06,6.25,6.25,6.10,6.10,3801800.00,
2017-02-03,6.35,6.35,6.15,6.25,4844000.00,
2017-02-02,6.35,6.40,6.30,6.30,3802000.00,
2017-02-01,6.35,6.45,6.25,6.40,9399600.00,
2017-01-31,6.45,6.50,6.35,6.35,9866650.00,
2017-01-30,6.35,6.45,6.30,6.45,6088600.00,
2017-01-27,6.20,6.35,6.20,6.30,9284640.00,
2017-01-26,6.05,6.20,5.95,6.15,14428920.00,
2017-01-25,6.25,6.35,6.00,6.10,12205720.00,
2017-01-24,6.40,6.40,6.25,6.25,1714250.00,
2017-01-23,6.30,6.45,6.25,6.35,2717500.00,
2017-01-20,6.20,6.40,6.20,6.30,3853220.00,
2017-01-19,6.50,6.65,6.15,6.25,14586150.00,
2017-01-18,6.40,6.50,6.35,6.50,12344680.00,
2017-01-17,6.35,6.50,6.35,6.35,12666950.00,
2017-01-16,6.25,6.40,6.20,6.35,9898970.00,
2017-01-13,6.15,6.30,6.05,6.25,18398490.00,
2017-01-12,6.20,6.30,6.15,6.20,25806060.00,
2017-01-11,5.55,6.15,5.55,6.10,53721650.00,
2017-01-10,5.60,5.65,5.55,5.55,4867300.00,
2017-01-09,5.65,5.70,5.50,5.65,4586310.00,
2017-01-06,5.60,5.70,5.60,5.60,4319310.00,
2017-01-05,5.70,5.80,5.65,5.65,5471060.00,
2017-01-04,5.80,5.85,5.65,5.75,4106520.00,
2016-12-30,5.80,5.95,5.55,5.80,26310860.00,
2016-12-29,5.75,6.05,5.75,5.80,21364680.00,
2016-12-28,5.75,5.85,5.70,5.75,6744370.00,
2016-12-27,5.75,5.80,5.60,5.75,6951610.00,
2016-12-26,5.80,5.90,5.75,5.75,5220830.00,
2016-12-23,5.65,5.90,5.65,5.85,12320740.00,
2016-12-22,5.70,5.70,5.55,5.65,2835800.00,
2016-12-21,5.75,5.85,5.45,5.65,31494460.00,
