Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,23.30,23.60,23.30,23.50,3060190.00,
2017-02-08,23.30,23.40,23.20,23.30,1502370.00,
2017-02-07,23.50,23.50,23.30,23.40,1570100.00,
2017-02-06,23.70,23.70,23.30,23.40,2620220.00,
2017-02-03,23.40,23.80,23.30,23.60,2732470.00,
2017-02-02,23.30,23.50,23.30,23.40,3255680.00,
2017-02-01,23.30,23.40,23.20,23.30,2960830.00,
2017-01-31,23.50,23.50,23.20,23.30,6375700.00,
2017-01-30,23.70,23.80,23.60,23.60,1812600.00,
2017-01-27,23.90,23.90,23.70,23.70,2032300.00,
2017-01-26,24.30,24.40,23.60,23.80,11616050.00,
2017-01-25,24.50,24.50,24.40,24.40,1997800.00,
2017-01-24,24.60,24.70,24.40,24.50,3301620.00,
2017-01-23,24.40,24.60,24.20,24.60,3745130.00,
2017-01-20,24.00,24.40,24.00,24.20,4933520.00,
2017-01-19,23.90,24.10,23.80,24.00,5404400.00,
2017-01-18,23.80,24.10,23.60,23.90,6746160.00,
2017-01-17,23.50,23.90,23.50,23.60,4206680.00,
2017-01-16,23.90,23.90,23.50,23.50,3564800.00,
2017-01-13,24.00,24.00,23.60,23.90,4213090.00,
2017-01-12,24.30,24.40,23.90,24.00,2878640.00,
2017-01-11,24.10,24.70,24.00,24.30,12756400.00,
2017-01-10,23.20,24.30,23.00,24.30,22317410.00,
2017-01-09,22.80,23.20,22.70,23.10,7007580.00,
2017-01-06,22.60,22.80,22.50,22.70,4408000.00,
2017-01-05,22.40,22.70,22.30,22.60,7850240.00,
2017-01-04,22.40,22.60,22.30,22.40,4773320.00,
2016-12-30,22.40,22.60,22.30,22.50,5308150.00,
2016-12-29,22.00,22.40,22.00,22.40,4890780.00,
2016-12-28,21.90,22.20,21.90,22.10,2794950.00,
2016-12-27,21.30,22.10,21.20,21.90,8882280.00,
2016-12-26,21.80,21.90,21.30,21.30,9462750.00,
2016-12-23,21.80,22.10,21.70,21.80,5089720.00,
2016-12-22,22.10,22.20,21.80,21.80,8569410.00,
2016-12-21,22.40,22.40,22.00,22.10,7219220.00,
2016-12-20,22.60,22.60,22.30,22.50,2043830.00,
2016-12-19,22.40,22.50,22.30,22.50,2789990.00,
2016-12-16,22.50,22.60,22.20,22.20,7903920.00,
2016-12-15,22.40,22.60,22.40,22.50,3102020.00,
2016-12-14,22.60,22.80,22.40,22.40,4955010.00,
2016-12-13,22.60,22.80,22.40,22.60,4789800.00,
2016-12-09,22.80,22.90,22.40,22.50,4741750.00,
2016-12-08,23.00,23.30,22.70,22.70,6169070.00,
2016-12-07,22.30,23.10,22.30,23.00,10220090.00,
2016-12-06,22.50,22.60,22.10,22.30,2882250.00,
