Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,28.25,28.75,28.25,28.25,2840100.00,
2017-02-08,28.25,28.75,28.00,28.25,3252510.00,
2017-02-07,28.50,28.75,28.00,28.50,3010100.00,
2017-02-06,28.50,29.00,28.25,28.50,5785460.00,
2017-02-03,27.25,28.25,27.25,28.00,8874830.00,
2017-02-02,28.25,28.25,27.25,27.25,6284230.00,
2017-02-01,28.00,28.50,27.00,28.25,7534120.00,
2017-01-31,28.25,28.25,28.00,28.00,1676020.00,
2017-01-30,28.00,28.75,28.00,28.25,3103940.00,
2017-01-27,28.75,28.75,27.75,28.00,6175110.00,
2017-01-26,29.00,29.25,28.50,28.50,4359890.00,
2017-01-25,29.75,30.50,28.50,28.75,14012410.00,
2017-01-24,29.25,30.00,29.00,29.75,6021560.00,
2017-01-23,29.00,29.50,28.75,29.00,3448800.00,
2017-01-20,29.50,29.50,28.25,28.75,9639600.00,
2017-01-19,29.75,29.75,28.75,29.25,6842280.00,
2017-01-18,30.75,31.00,29.75,29.75,7567960.00,
2017-01-17,31.00,31.25,30.75,30.75,3208510.00,
2017-01-16,31.50,31.50,31.00,31.25,2523610.00,
2017-01-13,31.50,31.75,31.00,31.50,2069280.00,
2017-01-12,31.50,31.75,31.25,31.50,2476200.00,
2017-01-11,31.00,31.25,30.25,31.25,6775160.00,
2017-01-10,31.00,31.25,30.75,31.00,4774930.00,
2017-01-09,31.50,31.75,30.75,31.25,7385060.00,
2017-01-06,32.00,32.00,31.25,31.75,5376600.00,
2017-01-05,33.00,33.00,32.00,32.00,6045450.00,
2017-01-04,32.50,33.00,32.25,33.00,3512500.00,
2016-12-30,32.25,32.75,32.00,32.75,5601900.00,
2016-12-29,32.00,32.50,31.75,32.25,2634900.00,
2016-12-28,32.00,32.25,31.50,32.00,2448900.00,
2016-12-27,32.50,32.50,31.75,32.00,1766500.00,
2016-12-26,31.50,32.50,31.25,32.25,4065720.00,
2016-12-23,31.50,32.00,31.00,31.50,5706820.00,
2016-12-22,32.00,32.25,30.75,31.50,6619400.00,
2016-12-21,33.00,33.00,31.25,32.00,10977850.00,
