Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,395.00,397.00,395.00,396.00,3561850.00,
2017-03-02,399.00,402.00,397.00,399.00,4559720.00,
2017-03-01,398.00,399.00,394.00,399.00,4712940.00,
2017-02-28,400.00,400.00,397.00,397.00,3006690.00,
2017-02-27,397.00,400.00,397.00,400.00,2444930.00,
2017-02-24,397.00,400.00,396.00,399.00,3360490.00,
2017-02-23,400.00,400.00,396.00,398.00,3888250.00,
2017-02-22,399.00,402.00,397.00,402.00,5666860.00,
2017-02-21,398.00,402.00,396.00,397.00,5575990.00,
2017-02-20,397.00,398.00,395.00,397.00,2187440.00,
2017-02-17,395.00,399.00,395.00,396.00,5877280.00,
2017-02-16,397.00,398.00,391.00,394.00,6346860.00,
2017-02-15,387.00,397.00,386.00,397.00,11694200.00,
2017-02-14,394.00,394.00,386.00,386.00,13315820.00,
2017-02-10,398.00,398.00,393.00,396.00,14080110.00,
2017-02-09,410.00,412.00,394.00,394.00,12868060.00,
2017-02-08,410.00,412.00,406.00,408.00,4305820.00,
2017-02-07,412.00,414.00,408.00,410.00,4736030.00,
2017-02-06,410.00,418.00,406.00,416.00,6210790.00,
2017-02-03,404.00,416.00,402.00,410.00,6924650.00,
2017-02-02,402.00,406.00,402.00,404.00,5894150.00,
2017-02-01,404.00,410.00,400.00,404.00,9487880.00,
2017-01-31,416.00,416.00,404.00,404.00,8449800.00,
2017-01-30,416.00,420.00,414.00,418.00,2899270.00,
2017-01-27,420.00,422.00,414.00,418.00,4397550.00,
2017-01-26,420.00,430.00,414.00,420.00,12362150.00,
2017-01-25,408.00,412.00,402.00,410.00,8200200.00,
2017-01-24,389.00,408.00,389.00,408.00,13017870.00,
2017-01-23,387.00,389.00,385.00,389.00,2496590.00,
2017-01-20,387.00,388.00,385.00,386.00,3335810.00,
2017-01-19,385.00,386.00,383.00,385.00,3212300.00,
2017-01-18,387.00,388.00,385.00,385.00,2366850.00,
2017-01-17,388.00,390.00,386.00,387.00,3239400.00,
2017-01-16,386.00,391.00,385.00,389.00,4532010.00,
2017-01-13,385.00,387.00,383.00,386.00,3746130.00,
2017-01-12,389.00,389.00,383.00,383.00,3659740.00,
2017-01-11,385.00,389.00,385.00,385.00,3818200.00,
2017-01-10,383.00,389.00,382.00,388.00,4322970.00,
2017-01-09,389.00,390.00,382.00,383.00,4046160.00,
