Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,95.75,96.50,94.50,94.50,13383710.00,
2017-02-08,96.25,96.25,95.25,95.50,9915410.00,
2017-02-07,96.00,96.75,96.00,96.25,8907990.00,
2017-02-06,98.00,98.75,97.75,98.50,12026520.00,
2017-02-03,97.75,98.75,97.25,97.75,16434450.00,
2017-02-02,98.75,99.00,97.25,97.50,11542950.00,
2017-02-01,97.25,99.75,96.75,98.75,24739230.00,
2017-01-31,101.00,101.50,98.00,98.00,26637140.00,
2017-01-30,97.50,102.00,97.25,102.00,19018010.00,
2017-01-27,99.00,99.25,97.50,97.75,9485090.00,
2017-01-26,95.25,99.00,95.25,98.50,35236910.00,
2017-01-25,95.25,95.50,94.50,94.50,12844600.00,
2017-01-24,95.50,96.75,94.75,95.00,15770760.00,
2017-01-23,97.50,97.75,96.00,96.00,5995770.00,
2017-01-20,94.50,97.75,94.25,97.50,12871900.00,
2017-01-19,94.50,95.25,93.75,94.25,8214670.00,
2017-01-18,96.25,96.50,94.50,94.50,7157810.00,
2017-01-17,96.75,97.25,96.00,96.00,3845780.00,
2017-01-16,95.50,97.25,95.50,96.75,7327320.00,
2017-01-13,96.75,97.25,96.00,96.00,7568720.00,
2017-01-12,97.50,97.75,96.50,96.75,4860030.00,
2017-01-11,95.50,97.50,95.00,96.50,12735970.00,
2017-01-10,97.00,97.75,95.75,96.00,14319640.00,
2017-01-09,98.50,98.75,97.50,97.75,4043040.00,
2017-01-06,98.00,99.50,97.25,98.50,11994320.00,
2017-01-05,98.50,99.50,98.00,98.00,18897100.00,
2017-01-04,96.25,98.75,96.00,98.50,17353380.00,
2016-12-30,95.25,97.00,95.00,96.25,9954790.00,
2016-12-29,94.50,95.75,94.00,95.25,10616600.00,
2016-12-28,92.50,95.00,92.25,94.75,12857480.00,
2016-12-27,91.50,92.00,90.75,91.75,3589620.00,
2016-12-26,90.75,92.00,90.75,91.50,2818230.00,
2016-12-23,91.50,91.75,90.75,91.00,5279530.00,
2016-12-22,90.75,92.25,90.50,91.50,7407770.00,
2016-12-21,90.50,91.75,90.50,90.75,8156510.00,
2016-12-20,91.75,91.75,89.75,90.25,11603960.00,
2016-12-19,92.00,92.50,91.75,92.00,4273070.00,
2016-12-16,92.25,93.00,91.25,91.25,11065060.00,
2016-12-15,91.75,93.00,91.50,92.00,11970250.00,
2016-12-14,93.25,93.50,92.50,92.75,7655100.00,
2016-12-13,93.00,93.75,91.75,93.75,20517340.00,
2016-12-09,91.75,92.75,91.25,91.75,19369950.00,
2016-12-08,90.75,91.75,90.25,90.75,10306820.00,
2016-12-07,90.00,92.00,89.50,91.00,16656250.00,
2016-12-06,88.75,91.25,87.00,91.25,30352660.00,
2016-12-02,89.50,91.75,88.25,89.50,30403400.00,
2016-12-01,85.50,88.75,85.00,88.50,49799200.00,
2016-11-30,81.00,83.00,81.00,82.50,9152000.00,
2016-11-29,82.25,82.50,81.25,81.50,9235350.00,
2016-11-28,82.50,82.50,81.50,82.00,5144660.00,
2016-11-25,82.50,83.00,82.00,82.50,2092320.00,
2016-11-24,82.75,83.25,82.25,82.50,4225370.00,
2016-11-23,83.25,83.50,82.50,82.75,5002510.00,
2016-11-22,83.25,83.50,82.50,83.25,8464200.00,
2016-11-21,81.25,82.25,80.75,82.00,4266790.00,
2016-11-18,81.00,81.00,80.00,80.75,4749130.00,
2016-11-17,81.25,81.50,80.00,81.00,4283370.00,
2016-11-16,82.50,83.00,81.25,81.25,12048610.00,
2016-11-15,79.00,81.75,78.50,81.00,11752620.00,
2016-11-14,79.25,79.75,78.25,78.50,8348150.00,
2016-11-11,81.00,81.50,80.75,80.75,4268460.00,
2016-11-10,82.00,82.25,81.25,81.50,8299560.00,
2016-11-09,82.00,82.25,80.00,81.25,16141580.00,
2016-11-08,82.75,83.25,82.25,82.75,6490750.00,
2016-11-07,83.00,83.50,82.50,83.00,6600520.00,
2016-11-04,81.50,82.75,81.25,82.50,6262330.00,
2016-11-03,81.50,83.00,81.50,82.25,7039200.00,
2016-11-02,83.50,83.50,81.25,81.75,9277460.00,
2016-11-01,83.25,84.00,82.50,83.75,6478150.00,
2016-10-31,82.75,83.50,82.50,83.25,4547140.00,
2016-10-28,83.75,83.75,82.50,83.50,4626990.00,
2016-10-27,82.00,83.50,81.75,83.00,7118630.00,
2016-10-26,83.50,83.50,82.00,82.50,9256920.00,
2016-10-25,85.00,85.00,84.00,84.25,7237990.00,
