Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,72.25,73.00,72.25,72.75,3617840.00,
2017-03-02,72.25,73.50,72.25,72.75,16715050.00,
2017-03-01,72.00,73.00,71.75,72.75,11078040.00,
2017-02-28,71.75,72.50,71.25,71.25,9676820.00,
2017-02-27,72.75,73.25,71.75,71.75,10654130.00,
2017-02-24,73.50,73.75,72.25,73.25,12898400.00,
2017-02-23,71.75,74.00,71.25,73.75,27801730.00,
2017-02-22,69.25,71.50,69.25,71.50,20221520.00,
2017-02-21,70.00,70.25,69.00,69.00,7906000.00,
2017-02-20,70.00,70.25,69.50,69.75,6058480.00,
2017-02-17,69.75,70.25,69.50,69.75,11860140.00,
2017-02-16,69.75,70.00,68.75,69.25,10339180.00,
2017-02-15,68.75,70.00,67.75,70.00,21114520.00,
2017-02-14,67.75,68.25,67.25,67.50,16333840.00,
2017-02-10,68.25,68.75,67.00,67.50,28684080.00,
2017-02-09,70.25,70.50,68.25,68.25,13552090.00,
2017-02-08,68.50,70.50,68.25,70.25,16181700.00,
2017-02-07,69.75,70.00,68.75,69.00,14082750.00,
2017-02-06,69.25,70.25,69.00,69.75,19073870.00,
2017-02-03,66.50,68.50,66.00,68.25,11548260.00,
2017-02-02,66.25,67.00,65.50,66.50,16474610.00,
2017-02-01,67.00,67.25,65.75,66.50,21209050.00,
2017-01-31,68.25,69.00,67.50,67.75,10528090.00,
2017-01-30,68.25,68.75,67.75,68.50,9861680.00,
2017-01-27,68.00,68.50,67.50,68.00,3694060.00,
2017-01-26,69.00,69.50,67.25,68.25,13346320.00,
2017-01-25,68.75,69.00,68.00,68.50,13835210.00,
2017-01-24,67.50,68.75,67.00,68.25,17468890.00,
2017-01-23,66.25,67.50,65.75,67.50,12898360.00,
2017-01-20,65.50,66.25,65.00,66.00,10185240.00,
2017-01-19,65.25,66.00,64.25,65.50,13297960.00,
2017-01-18,64.25,66.00,64.00,65.25,13564860.00,
2017-01-17,65.50,66.75,64.00,64.00,32162740.00,
2017-01-16,63.50,66.00,63.50,65.25,38344050.00,
2017-01-13,63.25,63.50,63.00,63.50,8857300.00,
2017-01-12,63.25,63.25,62.50,62.75,7841160.00,
2017-01-11,63.00,63.50,63.00,63.25,10420900.00,
2017-01-10,63.00,63.50,62.75,63.50,8163520.00,
2017-01-09,64.00,64.00,63.00,63.25,10983670.00,
2017-01-06,64.50,64.50,63.75,64.00,8107520.00,
2017-01-05,64.25,64.75,63.75,64.25,12763870.00,
2017-01-04,63.25,64.50,63.00,64.00,14342510.00,
2016-12-30,63.50,63.75,62.75,63.00,3731580.00,
2016-12-29,63.00,63.50,62.75,63.25,6372500.00,
2016-12-28,63.25,63.50,63.00,63.00,5076160.00,
2016-12-27,63.25,63.25,62.75,62.75,5374920.00,
2016-12-26,62.75,63.75,62.75,63.25,2343320.00,
2016-12-23,63.00,63.25,62.75,62.75,4396820.00,
2016-12-22,63.00,63.25,62.75,63.00,2455070.00,
2016-12-21,63.50,63.75,63.00,63.00,5264550.00,
2016-12-20,63.00,63.75,62.75,63.25,7654160.00,
2016-12-19,63.50,64.00,62.75,62.75,5456250.00,
2016-12-16,63.00,63.75,62.75,63.25,16478540.00,
2016-12-15,63.25,63.25,62.25,62.50,8352610.00,
2016-12-14,65.50,65.50,63.25,63.50,11691100.00,
2016-12-13,65.50,66.00,64.75,65.00,14627810.00,
2016-12-09,65.25,65.50,64.50,64.75,5590110.00,
2016-12-08,65.00,65.25,64.75,65.25,6201840.00,
2016-12-07,63.75,64.75,63.50,64.75,11091750.00,
2016-12-06,64.75,65.00,62.50,63.75,18634750.00,
2016-12-02,64.75,65.50,64.50,64.75,23773600.00,
2016-12-01,64.25,65.00,64.25,64.25,29079080.00,
2016-11-30,62.50,63.00,62.00,62.50,12191030.00,
2016-11-29,63.00,63.50,62.50,62.50,11226050.00,
2016-11-28,63.00,63.00,62.25,62.75,3117870.00,
