Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.62,2.68,2.62,2.64,68719890.00,
2017-02-08,2.52,2.60,2.52,2.60,50356060.00,
2017-02-07,2.56,2.58,2.52,2.52,34293060.00,
2017-02-06,2.58,2.60,2.54,2.56,22470970.00,
2017-02-03,2.58,2.60,2.54,2.56,38145700.00,
2017-02-02,2.58,2.62,2.56,2.58,23087650.00,
2017-02-01,2.62,2.64,2.56,2.56,48608660.00,
2017-01-31,2.64,2.64,2.62,2.64,11505740.00,
2017-01-30,2.62,2.64,2.62,2.64,17219820.00,
2017-01-27,2.64,2.66,2.62,2.64,34556180.00,
2017-01-26,2.70,2.72,2.66,2.66,18661520.00,
2017-01-25,2.72,2.72,2.68,2.70,14813980.00,
2017-01-24,2.70,2.72,2.68,2.70,25094260.00,
2017-01-23,2.68,2.74,2.66,2.70,41234250.00,
2017-01-20,2.62,2.68,2.62,2.66,10817860.00,
2017-01-19,2.68,2.68,2.60,2.62,34206530.00,
2017-01-18,2.68,2.70,2.64,2.68,41637900.00,
2017-01-17,2.70,2.72,2.68,2.70,7776950.00,
2017-01-16,2.72,2.72,2.70,2.70,12930370.00,
2017-01-13,2.72,2.74,2.66,2.74,21358930.00,
2017-01-12,2.70,2.74,2.70,2.72,44220700.00,
2017-01-11,2.70,2.72,2.66,2.70,67481790.00,
2017-01-10,2.62,2.70,2.62,2.68,69482500.00,
2017-01-09,2.62,2.64,2.60,2.62,11207700.00,
2017-01-06,2.62,2.64,2.60,2.62,15125520.00,
2017-01-05,2.60,2.66,2.60,2.62,36462050.00,
2017-01-04,2.60,2.64,2.58,2.62,13900610.00,
2016-12-30,2.62,2.64,2.58,2.58,26036440.00,
2016-12-29,2.60,2.64,2.58,2.62,11927870.00,
2016-12-28,2.60,2.62,2.58,2.60,15488250.00,
2016-12-27,2.62,2.64,2.60,2.60,6339810.00,
2016-12-26,2.64,2.66,2.62,2.62,14905030.00,
2016-12-23,2.62,2.66,2.62,2.64,11799720.00,
2016-12-22,2.62,2.64,2.60,2.62,14578330.00,
2016-12-21,2.60,2.62,2.58,2.62,11437570.00,
2016-12-20,2.64,2.64,2.58,2.60,33163610.00,
2016-12-19,2.64,2.66,2.62,2.64,16953080.00,
2016-12-16,2.62,2.66,2.60,2.64,47085950.00,
2016-12-15,2.60,2.64,2.58,2.64,52679220.00,
2016-12-14,2.58,2.62,2.58,2.60,18427950.00,
2016-12-13,2.58,2.60,2.56,2.60,31766190.00,
2016-12-09,2.58,2.58,2.54,2.58,20855160.00,
2016-12-08,2.50,2.58,2.50,2.58,36951950.00,
2016-12-07,2.52,2.54,2.50,2.50,22306770.00,
2016-12-06,2.52,2.54,2.50,2.52,8771150.00,
2016-12-02,2.54,2.56,2.50,2.50,17337970.00,
2016-12-01,2.56,2.56,2.52,2.54,13935460.00,
2016-11-30,2.54,2.58,2.52,2.54,25292500.00,
2016-11-29,2.54,2.56,2.52,2.52,16801200.00,
2016-11-28,2.50,2.54,2.50,2.54,15651110.00,
2016-11-25,2.52,2.54,2.50,2.50,12295240.00,
2016-11-24,2.50,2.54,2.48,2.52,38325920.00,
2016-11-23,2.48,2.50,2.46,2.48,17573690.00,
2016-11-22,2.46,2.48,2.46,2.48,16793880.00,
2016-11-21,2.50,2.50,2.46,2.46,20597110.00,
2016-11-18,2.46,2.48,2.44,2.48,12317610.00,
2016-11-17,2.44,2.46,2.44,2.46,16303880.00,
2016-11-16,2.46,2.46,2.44,2.46,13029130.00,
2016-11-15,2.46,2.46,2.42,2.46,55909870.00,
2016-11-14,2.46,2.48,2.44,2.46,22652020.00,
2016-11-11,2.52,2.52,2.46,2.46,20685310.00,
2016-11-10,2.52,2.56,2.48,2.50,41127400.00,
2016-11-09,2.44,2.48,2.44,2.48,30782380.00,
2016-11-08,2.46,2.52,2.44,2.46,47277720.00,
2016-11-07,2.42,2.46,2.42,2.46,6009970.00,
2016-11-04,2.44,2.46,2.40,2.42,20365360.00,
2016-11-03,2.44,2.46,2.42,2.44,15864620.00,
2016-11-02,2.48,2.50,2.44,2.44,24000460.00,
2016-11-01,2.50,2.52,2.48,2.50,14687990.00,
2016-10-31,2.52,2.52,2.48,2.50,7175690.00,
2016-10-28,2.52,2.52,2.48,2.50,8145970.00,
2016-10-27,2.50,2.52,2.48,2.52,11462250.00,
2016-10-26,2.50,2.54,2.48,2.48,14978570.00,
2016-10-25,2.54,2.54,2.50,2.50,17020510.00,
2016-10-21,2.46,2.54,2.42,2.54,48461820.00,
2016-10-20,2.46,2.48,2.42,2.44,21091510.00,
2016-10-19,2.42,2.46,2.42,2.44,14446290.00,
2016-10-18,2.42,2.48,2.40,2.44,39920950.00,
2016-10-17,2.40,2.42,2.38,2.40,20229160.00,
2016-10-14,2.40,2.46,2.38,2.42,39997640.00,
2016-10-13,2.28,2.34,2.24,2.32,41848200.00,
2016-10-12,2.36,2.40,2.26,2.36,74083020.00,
2016-10-11,2.44,2.44,2.36,2.40,34966340.00,
2016-10-10,2.38,2.46,2.38,2.44,38098980.00,
2016-10-07,2.52,2.52,2.48,2.52,18745830.00,
2016-10-06,2.48,2.52,2.48,2.52,20451690.00,
2016-10-05,2.46,2.52,2.46,2.48,40703810.00,
2016-10-04,2.46,2.48,2.42,2.46,45710430.00,
2016-10-03,2.48,2.48,2.44,2.46,18947820.00,
2016-09-30,2.44,2.48,2.44,2.44,14830600.00,
2016-09-29,2.48,2.48,2.44,2.44,30498260.00,
2016-09-28,2.46,2.48,2.44,2.44,17452420.00,
2016-09-27,2.44,2.48,2.44,2.44,11255370.00,
2016-09-26,2.46,2.48,2.44,2.44,15610810.00,
2016-09-23,2.50,2.52,2.46,2.46,30154680.00,
2016-09-22,2.50,2.52,2.48,2.50,17294500.00,
2016-09-21,2.46,2.52,2.46,2.48,37003900.00,
2016-09-20,2.48,2.48,2.42,2.46,30057530.00,
2016-09-19,2.46,2.50,2.46,2.48,14109390.00,
2016-09-16,2.44,2.46,2.42,2.46,58668040.00,
2016-09-15,2.42,2.44,2.40,2.42,12223660.00,
2016-09-14,2.38,2.42,2.38,2.40,19376900.00,
2016-09-13,2.36,2.40,2.36,2.40,41845690.00,
2016-09-12,2.32,2.36,2.32,2.34,59328830.00,
2016-09-09,2.34,2.40,2.30,2.40,99109730.00,
