Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,61.00,61.25,60.25,61.00,1926500.00,
2017-03-02,61.50,61.75,60.75,61.25,2168340.00,
2017-03-01,61.50,61.50,60.25,61.50,1642420.00,
2017-02-28,61.25,61.75,60.25,61.50,1301400.00,
2017-02-27,61.50,61.75,60.50,61.25,937520.00,
2017-02-24,61.75,62.00,61.00,61.50,1172740.00,
2017-02-23,61.50,62.50,61.25,62.25,2458860.00,
2017-02-22,60.00,61.75,60.00,61.50,3344200.00,
2017-02-21,60.25,60.75,60.00,60.25,2521750.00,
2017-02-20,60.75,61.00,59.50,60.00,2530280.00,
2017-02-17,59.25,61.50,59.25,60.50,8732260.00,
2017-02-16,58.50,59.50,58.25,59.00,1492040.00,
2017-02-15,59.25,59.50,58.00,58.25,1598950.00,
2017-02-14,60.00,60.25,59.00,59.00,1655880.00,
2017-02-10,60.00,60.25,59.75,60.25,976560.00,
2017-02-09,59.75,60.25,59.75,60.00,600110.00,
2017-02-08,59.25,59.75,59.00,59.75,1779700.00,
2017-02-07,60.25,60.25,59.50,59.75,1209400.00,
2017-02-06,59.00,60.75,59.00,60.25,4006640.00,
2017-02-03,59.50,59.75,58.50,58.75,2311830.00,
2017-02-02,59.25,60.75,59.25,59.75,3955810.00,
2017-02-01,58.00,59.25,58.00,58.75,1147670.00,
2017-01-31,57.50,58.75,57.50,58.00,1739260.00,
2017-01-30,58.50,58.75,57.75,57.75,1965670.00,
2017-01-27,59.00,59.00,58.50,59.00,1144320.00,
2017-01-26,59.00,59.50,59.00,59.00,1321660.00,
2017-01-25,59.75,59.75,58.75,59.00,2084400.00,
2017-01-24,60.00,60.25,58.75,59.50,1885100.00,
2017-01-23,59.00,60.50,58.75,60.00,2947430.00,
2017-01-20,58.75,59.25,58.50,59.00,1335440.00,
2017-01-19,58.75,59.00,58.25,59.00,1641310.00,
2017-01-18,58.75,59.50,58.25,58.75,3110820.00,
2017-01-17,59.50,59.50,58.50,58.50,2417190.00,
2017-01-16,60.25,60.25,59.50,59.50,1005900.00,
2017-01-13,59.50,60.75,59.00,60.75,1578400.00,
2017-01-12,59.00,59.75,59.00,59.00,780580.00,
2017-01-11,59.25,59.75,58.75,59.00,2365620.00,
2017-01-10,59.75,60.25,59.00,59.75,2646870.00,
2017-01-09,61.75,62.00,60.50,60.50,2589590.00,
2017-01-06,63.00,63.00,61.50,61.50,2276310.00,
2017-01-05,65.00,65.00,62.75,63.00,2035090.00,
2017-01-04,63.75,65.00,63.00,65.00,1895410.00,
2016-12-30,65.25,65.25,63.25,63.50,1741440.00,
2016-12-29,62.50,65.25,62.50,65.25,2880520.00,
2016-12-28,63.50,63.75,62.50,62.75,602740.00,
2016-12-27,63.00,63.75,62.50,63.25,927030.00,
2016-12-26,61.75,63.25,61.25,63.25,829600.00,
2016-12-23,60.25,61.75,59.75,61.25,1082300.00,
2016-12-22,62.25,62.25,60.25,60.25,832640.00,
2016-12-21,63.00,63.00,62.00,62.00,497660.00,
2016-12-20,63.00,63.50,62.75,62.75,896520.00,
2016-12-19,63.00,63.75,62.50,62.50,2157600.00,
2016-12-16,62.00,63.00,61.75,62.50,1988300.00,
2016-12-15,63.25,63.25,61.75,62.00,1864100.00,
2016-12-14,66.50,66.75,63.50,63.50,2427660.00,
2016-12-13,65.00,66.00,65.00,66.00,2171590.00,
2016-12-09,65.25,65.25,64.50,65.00,1029560.00,
2016-12-08,66.00,66.00,65.00,65.00,1147860.00,
2016-12-07,65.50,66.00,65.00,66.00,1791440.00,
2016-12-06,63.00,65.50,63.00,65.50,1773330.00,
2016-12-02,64.00,64.50,62.75,63.00,2184430.00,
2016-12-01,66.50,66.75,64.00,64.25,2227440.00,
2016-11-30,64.50,66.00,64.00,66.00,3561700.00,
2016-11-29,65.50,65.75,63.50,64.50,2285940.00,
2016-11-28,65.75,66.50,64.75,64.75,2248380.00,
2016-11-25,64.00,64.75,63.25,64.25,3363100.00,
2016-11-24,63.25,65.00,62.75,64.50,2890050.00,
2016-11-23,66.25,66.25,62.75,63.25,4452230.00,
2016-11-22,61.50,65.25,61.25,65.00,6345050.00,
2016-11-21,57.75,61.00,57.75,60.75,3609460.00,
2016-11-18,56.00,57.25,55.25,57.25,1654020.00,
2016-11-17,54.75,55.75,54.50,55.75,1108630.00,
2016-11-16,56.00,56.25,54.50,55.00,1787940.00,
2016-11-15,58.50,58.50,55.25,55.75,2208940.00,
2016-11-14,56.75,58.50,56.75,57.50,2065340.00,
2016-11-11,58.25,58.50,57.00,57.00,1678510.00,
2016-11-10,59.25,59.75,58.25,58.25,2114510.00,
2016-11-09,58.50,58.75,57.75,58.75,2562610.00,
2016-11-08,58.00,59.00,57.75,59.00,1829000.00,
2016-11-07,57.75,58.25,57.50,57.75,1083900.00,
2016-11-04,57.25,58.25,57.00,57.75,1277900.00,
2016-11-03,57.75,58.75,57.50,57.75,983500.00,
2016-11-02,57.50,58.25,57.25,57.50,971950.00,
2016-11-01,58.25,58.50,57.25,57.50,1285930.00,
2016-10-31,59.25,59.25,57.75,58.00,1107110.00,
2016-10-28,59.25,59.75,58.50,58.75,1177030.00,
2016-10-27,58.75,59.75,58.25,58.50,1807280.00,
2016-10-26,59.50,59.50,57.75,58.25,1860600.00,
2016-10-25,58.25,59.25,58.00,59.25,1342810.00,
2016-10-21,57.25,58.50,57.00,57.75,1899230.00,
2016-10-20,58.50,58.75,57.50,57.75,1975930.00,
2016-10-19,56.00,58.25,55.75,58.00,2551490.00,
2016-10-18,55.50,57.00,55.50,56.00,1535830.00,
2016-10-17,56.00,57.75,55.25,55.75,5672450.00,
2016-10-14,55.00,56.50,53.75,55.50,7429560.00,
2016-10-13,50.50,51.00,48.00,51.00,5637330.00,
2016-10-12,51.75,52.25,48.00,50.75,8441350.00,
2016-10-11,54.75,54.75,50.50,51.75,6490410.00,
2016-10-10,52.25,57.00,52.25,54.50,6053020.00,
2016-10-07,60.00,60.00,58.25,59.00,1758820.00,
2016-10-06,60.75,61.00,59.75,60.00,1076620.00,
2016-10-05,61.25,61.75,61.00,61.00,893930.00,
2016-10-04,60.50,61.75,60.50,61.00,1978950.00,
2016-10-03,61.25,61.25,59.75,59.75,1188100.00,
2016-09-30,60.00,60.75,58.75,60.75,2094110.00,
2016-09-29,60.25,61.50,60.00,60.75,2501410.00,
2016-09-28,59.50,60.75,59.25,60.25,1491730.00,
2016-09-27,59.50,60.50,59.25,59.75,1506650.00,
2016-09-26,58.00,59.25,57.50,58.75,1134410.00,
2016-09-23,60.00,60.50,58.25,58.75,2769400.00,
2016-09-22,59.50,61.50,59.50,60.75,2130230.00,
2016-09-21,59.25,60.50,58.00,59.00,1211470.00,
2016-09-20,59.50,59.50,58.00,59.00,1050910.00,
2016-09-19,59.75,60.25,58.75,59.25,1724200.00,
2016-09-16,59.50,59.50,58.00,59.25,2381200.00,
2016-09-15,56.50,59.25,56.50,58.50,1649500.00,
2016-09-14,56.25,57.00,56.00,56.75,1671970.00,
2016-09-13,54.50,57.00,54.25,57.00,3158040.00,
2016-09-12,54.25,54.50,52.50,53.75,3374840.00,
2016-09-09,57.50,58.00,56.25,56.25,2043000.00,
