Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,9.45,9.45,9.35,9.45,388080.00,
2017-03-02,9.35,9.55,9.35,9.40,1104580.00,
2017-03-01,9.20,9.45,9.20,9.30,937500.00,
2017-02-28,9.40,9.45,9.20,9.25,1141930.00,
2017-02-27,9.65,9.65,9.40,9.45,1681000.00,
2017-02-24,9.60,9.65,9.45,9.65,2884880.00,
2017-02-23,9.00,9.65,9.00,9.55,6940410.00,
2017-02-22,9.35,9.45,8.85,8.95,5590600.00,
2017-02-21,9.30,9.45,9.30,9.40,539700.00,
2017-02-20,9.50,9.50,9.30,9.30,1178020.00,
2017-02-17,9.45,9.60,9.45,9.45,1343800.00,
2017-02-16,9.75,9.85,9.50,9.50,3875600.00,
2017-02-15,9.95,10.10,9.70,9.80,3138460.00,
2017-02-14,10.20,10.20,9.90,10.00,1729700.00,
2017-02-10,10.00,10.10,9.80,10.10,4999000.00,
2017-02-09,10.10,10.20,10.00,10.00,8135760.00,
2017-02-08,9.50,9.95,9.50,9.95,15753410.00,
2017-02-07,9.60,9.60,9.45,9.55,2024700.00,
2017-02-06,9.40,9.60,9.30,9.55,3477800.00,
2017-02-03,9.30,9.40,9.20,9.40,1930120.00,
2017-02-02,9.40,9.40,9.25,9.25,2098300.00,
2017-02-01,9.35,9.45,9.35,9.40,2334700.00,
2017-01-31,9.45,9.50,9.35,9.40,3646100.00,
2017-01-30,9.65,9.85,9.45,9.45,7086510.00,
2017-01-27,9.00,9.70,9.00,9.70,11515600.00,
2017-01-26,9.40,9.40,9.10,9.10,1912800.00,
2017-01-25,9.30,9.50,9.30,9.35,1758130.00,
2017-01-24,9.50,9.55,9.30,9.35,2567000.00,
2017-01-23,9.30,9.50,9.25,9.50,5709800.00,
2017-01-20,9.20,9.30,9.15,9.25,3748600.00,
2017-01-19,9.10,9.35,8.90,9.20,12269810.00,
2017-01-18,9.30,9.55,9.00,9.05,6684100.00,
2017-01-17,9.70,9.85,9.20,9.20,5399130.00,
2017-01-16,9.45,9.55,9.35,9.50,3016210.00,
2017-01-13,9.25,9.65,9.20,9.60,15520710.00,
2017-01-12,8.75,9.40,8.70,9.35,29594330.00,
2017-01-11,8.30,8.90,8.30,8.55,19843570.00,
2017-01-10,8.00,8.30,8.00,8.20,5888700.00,
2017-01-09,7.95,8.05,7.95,8.00,1392610.00,
2017-01-06,7.90,8.05,7.85,7.90,2204630.00,
2017-01-05,8.00,8.00,7.85,7.90,1004500.00,
2017-01-04,7.80,8.00,7.80,8.00,1265700.00,
2016-12-30,7.85,7.85,7.75,7.80,345300.00,
2016-12-29,7.80,7.85,7.75,7.80,413000.00,
2016-12-28,7.85,7.85,7.75,7.75,340100.00,
2016-12-27,7.85,7.85,7.75,7.85,587500.00,
2016-12-26,7.75,7.85,7.75,7.85,481500.00,
2016-12-23,7.80,7.85,7.75,7.80,1130700.00,
2016-12-22,7.90,7.95,7.75,7.75,3963240.00,
2016-12-21,7.95,8.20,7.95,7.95,17278980.00,
2016-12-20,7.75,7.80,7.70,7.75,1166700.00,
2016-12-19,7.75,7.75,7.70,7.70,286500.00,
2016-12-16,7.75,7.85,7.75,7.75,747900.00,
2016-12-15,7.80,7.80,7.75,7.75,480900.00,
2016-12-14,7.90,7.90,7.75,7.75,1094700.00,
2016-12-13,7.80,7.90,7.75,7.90,906800.00,
2016-12-09,7.75,7.90,7.75,7.80,1571400.00,
2016-12-08,7.75,7.85,7.75,7.80,3169000.00,
2016-12-07,8.00,8.05,7.75,7.80,5400170.00,
2016-12-06,8.00,8.05,8.00,8.00,821500.00,
2016-12-02,8.05,8.10,8.00,8.00,1095700.00,
2016-12-01,8.20,8.25,8.10,8.10,761020.00,
2016-11-30,8.20,8.20,8.10,8.10,2061100.00,
