Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,4.58,4.64,4.56,4.62,2816570.00,
2017-02-08,4.64,4.64,4.56,4.58,6535870.00,
2017-02-07,4.62,4.64,4.60,4.62,2918670.00,
2017-02-06,4.72,4.74,4.58,4.60,9782850.00,
2017-02-03,4.68,4.74,4.68,4.70,2602400.00,
2017-02-02,4.70,4.82,4.68,4.70,20217310.00,
2017-02-01,4.68,4.74,4.66,4.70,3871110.00,
2017-01-31,4.72,4.72,4.66,4.66,1908390.00,
2017-01-30,4.72,4.74,4.66,4.68,2979100.00,
2017-01-27,4.72,4.74,4.64,4.68,4275820.00,
2017-01-26,4.76,4.78,4.68,4.72,4138670.00,
2017-01-25,4.88,4.88,4.70,4.72,15433710.00,
2017-01-24,4.86,4.94,4.84,4.84,29176020.00,
2017-01-23,4.82,4.90,4.78,4.82,30255500.00,
2017-01-20,4.70,4.84,4.70,4.78,9006300.00,
2017-01-19,4.78,4.80,4.66,4.72,5791950.00,
2017-01-18,4.78,4.86,4.74,4.76,19573350.00,
2017-01-17,4.68,4.86,4.68,4.74,22002780.00,
2017-01-16,4.70,4.70,4.66,4.68,4744170.00,
2017-01-13,4.74,4.74,4.64,4.70,3880790.00,
2017-01-12,4.72,4.74,4.66,4.68,9141790.00,
2017-01-11,4.50,4.78,4.50,4.68,34581990.00,
2017-01-10,4.46,4.56,4.46,4.50,10758300.00,
2017-01-09,4.46,4.50,4.44,4.46,1809260.00,
2017-01-06,4.48,4.50,4.44,4.48,4054930.00,
2017-01-05,4.46,4.54,4.42,4.50,6910990.00,
2017-01-04,4.42,4.46,4.40,4.44,1181280.00,
2016-12-30,4.40,4.48,4.40,4.42,4607260.00,
2016-12-29,4.40,4.42,4.40,4.40,807090.00,
2016-12-28,4.38,4.48,4.36,4.40,3826690.00,
2016-12-27,4.40,4.42,4.36,4.40,1226710.00,
2016-12-26,4.42,4.44,4.40,4.40,660330.00,
2016-12-23,4.42,4.46,4.38,4.42,7848690.00,
2016-12-22,4.46,4.46,4.42,4.42,375600.00,
2016-12-21,4.46,4.48,4.42,4.44,1599100.00,
2016-12-20,4.48,4.48,4.44,4.44,917660.00,
2016-12-19,4.48,4.50,4.46,4.46,1425030.00,
2016-12-16,4.46,4.52,4.46,4.48,1867090.00,
2016-12-15,4.46,4.48,4.44,4.46,503300.00,
2016-12-14,4.52,4.54,4.46,4.46,923440.00,
2016-12-13,4.52,4.54,4.46,4.50,13647880.00,
2016-12-09,4.50,4.60,4.48,4.56,5289290.00,
2016-12-08,4.44,4.52,4.42,4.50,4029500.00,
2016-12-07,4.44,4.44,4.40,4.42,2616630.00,
2016-12-06,4.42,4.50,4.38,4.46,5316270.00,
2016-12-02,4.44,4.48,4.42,4.42,2181900.00,
2016-12-01,4.54,4.56,4.48,4.48,4423680.00,
2016-11-30,4.60,4.62,4.52,4.52,8709210.00,
2016-11-29,4.62,4.66,4.58,4.58,3037570.00,
2016-11-28,4.64,4.68,4.62,4.62,2918130.00,
2016-11-25,4.62,4.68,4.62,4.64,1024370.00,
2016-11-24,4.72,4.72,4.64,4.64,2928930.00,
2016-11-23,4.78,4.80,4.68,4.68,4655300.00,
2016-11-22,4.66,4.76,4.66,4.76,9462530.00,
2016-11-21,4.62,4.68,4.62,4.62,2455430.00,
2016-11-18,4.66,4.66,4.60,4.64,937820.00,
2016-11-17,4.64,4.66,4.58,4.66,833600.00,
2016-11-16,4.62,4.64,4.58,4.64,2771800.00,
2016-11-15,4.62,4.66,4.58,4.60,4140100.00,
2016-11-14,4.64,4.66,4.60,4.64,2108430.00,
2016-11-11,4.66,4.68,4.64,4.64,900000.00,
2016-11-10,4.70,4.72,4.64,4.66,1700420.00,
2016-11-09,4.70,4.70,4.62,4.68,3856100.00,
2016-11-08,4.74,4.74,4.68,4.68,1915480.00,
2016-11-07,4.66,4.74,4.66,4.70,4121770.00,
