Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,46.00,46.00,45.50,45.75,3676370.00,
2017-03-02,45.50,46.25,45.50,46.00,6972240.00,
2017-03-01,44.50,46.00,44.50,45.50,14300940.00,
2017-02-28,43.50,44.25,43.25,44.25,5782090.00,
2017-02-27,43.75,44.00,43.25,43.50,3632070.00,
2017-02-24,43.75,44.00,43.25,43.75,4500550.00,
2017-02-23,42.75,44.25,42.75,43.75,14084210.00,
2017-02-22,42.75,43.00,42.25,42.50,6080100.00,
2017-02-21,43.75,43.75,42.75,43.00,5680910.00,
2017-02-20,44.00,44.00,43.25,43.75,2690150.00,
2017-02-17,43.25,44.00,43.25,44.00,5246360.00,
2017-02-16,43.00,43.50,42.75,43.25,5571490.00,
2017-02-15,44.25,44.25,42.50,42.75,9098580.00,
2017-02-14,44.00,45.00,43.50,44.00,4779160.00,
2017-02-10,45.50,45.50,44.00,44.25,5144130.00,
2017-02-09,45.75,46.25,45.00,45.25,7110450.00,
2017-02-08,44.50,46.00,44.50,45.75,12055170.00,
2017-02-07,45.00,45.25,44.25,44.50,8666030.00,
2017-02-06,43.50,45.00,43.50,45.00,16339030.00,
2017-02-03,42.50,43.50,42.25,43.50,10513730.00,
2017-02-02,43.25,43.25,42.00,42.50,8671280.00,
2017-02-01,41.50,43.25,41.25,43.25,28792850.00,
2017-01-31,41.25,41.50,41.25,41.25,2676040.00,
2017-01-30,41.25,41.50,41.00,41.50,2371120.00,
2017-01-27,41.00,41.50,41.00,41.25,3729340.00,
2017-01-26,41.25,41.50,40.75,41.25,6377530.00,
2017-01-25,41.00,41.25,40.75,41.25,3429550.00,
2017-01-24,40.25,41.00,40.00,40.75,4882400.00,
2017-01-23,40.50,40.75,40.25,40.25,4809970.00,
2017-01-20,39.75,40.75,39.50,40.50,5448880.00,
2017-01-19,38.50,40.00,38.25,39.75,8880810.00,
2017-01-18,39.25,39.25,38.25,38.50,4552970.00,
2017-01-17,39.50,39.75,39.00,39.00,5654400.00,
2017-01-16,40.25,40.25,39.25,39.50,4196180.00,
2017-01-13,40.50,40.75,40.00,40.25,2612070.00,
2017-01-12,40.00,41.00,40.00,40.50,3804800.00,
2017-01-11,39.75,40.50,39.50,39.75,6482500.00,
2017-01-10,40.00,40.25,39.25,39.25,8036680.00,
2017-01-09,41.50,41.50,40.00,40.00,8934780.00,
2017-01-06,42.00,42.25,41.25,41.25,5559620.00,
2017-01-05,41.75,42.50,41.50,41.75,10535460.00,
2017-01-04,41.25,42.00,41.00,41.00,9729340.00,
2016-12-30,41.00,42.50,41.00,41.25,21370480.00,
2016-12-29,39.50,41.00,39.50,40.50,12156580.00,
2016-12-28,38.75,39.25,38.50,39.25,3997080.00,
2016-12-27,38.00,38.75,37.50,38.25,4017440.00,
2016-12-26,37.00,38.50,36.00,37.75,8442790.00,
2016-12-23,37.75,37.75,36.25,37.00,7923650.00,
2016-12-22,38.25,38.25,36.75,37.50,4928260.00,
2016-12-21,37.75,38.50,37.50,38.00,5892850.00,
