Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,154.50,156.00,153.50,154.00,6157680.00,
2017-02-08,153.50,154.50,153.00,154.00,5747680.00,
2017-02-07,154.50,155.00,153.50,154.00,3861660.00,
2017-02-06,154.00,155.00,153.50,154.50,9901780.00,
2017-02-03,151.00,153.50,151.00,153.00,6597930.00,
2017-02-02,152.00,153.00,151.00,151.00,6529310.00,
2017-02-01,150.50,153.00,150.50,152.00,6969590.00,
2017-01-31,152.00,152.00,150.50,151.00,7708570.00,
2017-01-30,152.50,153.00,152.00,152.50,3537220.00,
2017-01-27,153.50,153.50,152.50,152.50,4390470.00,
2017-01-26,153.50,154.00,152.50,153.50,10842960.00,
2017-01-25,151.00,153.00,150.50,152.00,16493640.00,
2017-01-24,150.00,151.50,150.00,150.50,7168920.00,
2017-01-23,151.00,152.00,149.50,150.50,8809580.00,
2017-01-20,151.50,152.00,148.50,150.50,28218140.00,
2017-01-19,155.00,155.50,153.00,155.00,6845250.00,
2017-01-18,155.50,156.50,155.00,156.00,4388730.00,
2017-01-17,155.00,156.50,153.50,155.00,8864670.00,
2017-01-16,157.00,157.00,155.00,155.00,5236950.00,
2017-01-13,156.50,158.50,155.50,157.50,6183520.00,
2017-01-12,158.50,158.50,154.50,155.50,7774680.00,
2017-01-11,158.00,158.50,157.00,157.00,6406720.00,
2017-01-10,156.00,158.50,156.00,157.50,11395490.00,
2017-01-09,156.50,158.00,155.50,156.50,6420660.00,
2017-01-06,156.50,157.00,155.00,156.50,3713150.00,
2017-01-05,156.50,157.50,155.50,156.50,8184310.00,
2017-01-04,154.00,156.00,153.50,156.00,11832900.00,
2016-12-30,151.50,153.50,150.50,152.50,7523720.00,
2016-12-29,149.00,152.00,148.50,151.00,5581940.00,
2016-12-28,149.00,149.50,148.50,149.00,3173260.00,
2016-12-27,148.50,149.00,148.00,148.50,2690740.00,
2016-12-26,146.50,148.50,146.50,148.50,3022000.00,
2016-12-23,146.50,147.00,146.00,146.50,4007570.00,
2016-12-22,145.50,147.00,145.50,146.00,2848370.00,
2016-12-21,146.00,147.00,145.50,145.50,3284840.00,
2016-12-20,147.00,147.00,145.00,145.50,3896380.00,
2016-12-19,146.50,147.50,146.00,147.00,4469830.00,
2016-12-16,148.50,148.50,146.00,146.00,7498930.00,
2016-12-15,145.00,148.00,145.00,147.00,8515020.00,
2016-12-14,149.50,150.00,146.00,146.00,7552230.00,
2016-12-13,148.50,149.50,146.50,149.50,7277410.00,
2016-12-09,151.00,151.50,149.00,150.00,8934380.00,
2016-12-08,149.00,150.00,148.00,149.00,8903360.00,
2016-12-07,145.50,148.00,145.50,148.00,5374790.00,
2016-12-06,146.00,146.00,143.50,146.00,4507580.00,
2016-12-02,145.50,146.00,144.00,145.00,2648860.00,
2016-12-01,147.00,148.00,145.00,145.00,7568130.00,
2016-11-30,145.00,147.00,145.00,146.50,23896400.00,
2016-11-29,146.50,147.00,145.00,145.00,6451120.00,
2016-11-28,145.00,146.50,144.00,144.50,8408930.00,
2016-11-25,144.00,145.00,143.50,144.50,4430750.00,
2016-11-24,144.50,144.50,143.00,143.00,6262780.00,
2016-11-23,145.00,145.00,143.50,145.00,8850600.00,
2016-11-22,144.00,144.50,143.00,143.50,4255850.00,
2016-11-21,143.50,144.50,142.50,142.50,4269470.00,
2016-11-18,144.00,144.00,142.50,144.00,5366840.00,
2016-11-17,141.00,144.00,140.50,144.00,6260500.00,
2016-11-16,142.50,142.50,140.00,140.00,4679780.00,
2016-11-15,139.00,141.50,138.00,141.50,8014150.00,
2016-11-14,139.00,139.50,137.50,138.00,10739740.00,
2016-11-11,144.00,144.00,141.50,141.50,9572640.00,
2016-11-10,145.50,147.00,145.00,146.00,15238970.00,
2016-11-09,144.00,144.50,141.50,144.00,12767660.00,
2016-11-08,145.00,146.00,144.50,145.50,7144810.00,
2016-11-07,141.50,145.50,141.50,143.50,7765200.00,
2016-11-04,141.50,142.00,139.00,140.00,8295180.00,
2016-11-03,143.50,144.50,142.50,142.50,3542410.00,
2016-11-02,143.00,144.50,142.50,144.00,4767840.00,
2016-11-01,144.00,144.50,143.00,143.00,5500080.00,
2016-10-31,143.00,144.00,143.00,143.50,3437070.00,
2016-10-28,145.00,145.00,143.00,144.00,2965910.00,
2016-10-27,143.50,145.50,143.00,144.50,3383640.00,
2016-10-26,144.50,145.50,144.00,144.00,3018920.00,
2016-10-25,147.00,147.00,144.50,145.50,3994940.00,
2016-10-21,146.00,146.50,145.50,146.00,3349000.00,
2016-10-20,146.00,147.50,145.00,146.00,6730440.00,
2016-10-19,143.00,146.00,141.00,144.50,13912260.00,
2016-10-18,148.00,148.50,145.50,146.00,6632310.00,
2016-10-17,147.50,148.00,145.50,147.00,9828810.00,
2016-10-14,149.00,151.00,147.00,149.00,30824020.00,
2016-10-13,138.50,142.50,135.50,142.00,25578070.00,
2016-10-12,141.00,141.50,135.00,140.00,27129160.00,
2016-10-11,146.50,146.50,141.00,143.00,11411600.00,
2016-10-10,145.00,147.50,144.50,145.00,15083130.00,
2016-10-07,152.00,152.50,150.50,151.00,8141800.00,
2016-10-06,152.00,153.00,150.50,151.50,8962300.00,
2016-10-05,152.50,152.50,150.50,151.00,13640100.00,
2016-10-04,150.00,154.50,149.50,152.00,30740390.00,
2016-10-03,149.50,150.00,149.00,149.50,2583720.00,
2016-09-30,148.50,149.50,147.50,148.00,6035980.00,
2016-09-29,151.00,151.50,149.00,149.50,9520060.00,
2016-09-28,150.50,151.50,149.00,150.00,6807690.00,
2016-09-27,151.50,152.50,150.50,150.50,4430680.00,
2016-09-26,150.50,151.50,150.00,151.00,7108360.00,
2016-09-23,154.50,155.00,150.50,152.50,9634890.00,
2016-09-22,154.00,155.00,153.50,154.00,9479510.00,
2016-09-21,152.50,155.00,151.00,152.00,11832010.00,
2016-09-20,153.50,153.50,149.00,150.50,11359980.00,
2016-09-19,154.50,155.00,150.50,152.50,7891840.00,
2016-09-16,153.00,154.50,151.50,153.50,28604700.00,
2016-09-15,154.50,154.50,151.50,151.50,7515370.00,
2016-09-14,151.00,154.00,150.50,154.00,15523990.00,
2016-09-13,146.50,152.00,146.50,152.00,15141110.00,
2016-09-12,144.00,147.00,143.00,143.50,13431970.00,
2016-09-09,147.50,147.50,145.00,145.50,9319290.00,
