Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,522.00,526.00,522.00,524.00,1088890.00,
2017-03-02,522.00,528.00,520.00,522.00,2254120.00,
2017-03-01,518.00,520.00,516.00,520.00,1087910.00,
2017-02-28,516.00,518.00,516.00,516.00,845940.00,
2017-02-27,518.00,520.00,516.00,516.00,1097800.00,
2017-02-24,518.00,520.00,516.00,520.00,1449540.00,
2017-02-23,518.00,520.00,516.00,520.00,1934410.00,
2017-02-22,516.00,518.00,514.00,516.00,1591860.00,
2017-02-21,518.00,520.00,514.00,516.00,1326220.00,
2017-02-20,524.00,526.00,514.00,518.00,1419660.00,
2017-02-17,526.00,526.00,520.00,522.00,821010.00,
2017-02-16,516.00,522.00,514.00,522.00,1663410.00,
2017-02-15,522.00,522.00,514.00,518.00,1683810.00,
2017-02-14,528.00,528.00,518.00,520.00,1839260.00,
2017-02-10,520.00,526.00,518.00,526.00,1793260.00,
2017-02-09,518.00,522.00,516.00,518.00,1920250.00,
2017-02-08,522.00,524.00,518.00,518.00,2757970.00,
2017-02-07,522.00,526.00,520.00,522.00,1484890.00,
2017-02-06,518.00,524.00,518.00,522.00,1572340.00,
2017-02-03,512.00,520.00,512.00,520.00,1360880.00,
2017-02-02,514.00,518.00,512.00,514.00,1345940.00,
2017-02-01,508.00,514.00,506.00,512.00,2145070.00,
2017-01-31,508.00,510.00,506.00,506.00,1407500.00,
2017-01-30,516.00,516.00,510.00,510.00,923370.00,
2017-01-27,514.00,520.00,512.00,516.00,2443290.00,
2017-01-26,514.00,516.00,510.00,514.00,2419000.00,
2017-01-25,502.00,510.00,502.00,508.00,3484760.00,
2017-01-24,496.00,500.00,496.00,496.00,1164740.00,
2017-01-23,496.00,498.00,494.00,496.00,713000.00,
2017-01-20,494.00,500.00,492.00,496.00,1427140.00,
2017-01-19,492.00,498.00,490.00,496.00,1953570.00,
2017-01-18,492.00,494.00,490.00,492.00,1607960.00,
2017-01-17,490.00,494.00,490.00,492.00,1351420.00,
2017-01-16,490.00,492.00,486.00,488.00,2016420.00,
2017-01-13,496.00,498.00,490.00,492.00,2192740.00,
2017-01-12,504.00,504.00,492.00,496.00,1695160.00,
2017-01-11,500.00,506.00,500.00,502.00,1822500.00,
2017-01-10,502.00,504.00,498.00,498.00,1634310.00,
2017-01-09,500.00,504.00,498.00,500.00,1013660.00,
2017-01-06,500.00,502.00,496.00,498.00,1666780.00,
2017-01-05,496.00,504.00,494.00,500.00,2437680.00,
2017-01-04,496.00,496.00,492.00,494.00,2038380.00,
2016-12-30,490.00,498.00,490.00,496.00,2127030.00,
2016-12-29,482.00,496.00,482.00,490.00,2745000.00,
2016-12-28,482.00,486.00,478.00,486.00,1578820.00,
2016-12-27,482.00,484.00,478.00,480.00,646700.00,
2016-12-26,482.00,484.00,480.00,482.00,358100.00,
