Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,8.25,8.25,8.10,8.15,2103440.00,
2017-03-02,8.10,8.25,8.00,8.25,8517300.00,
2017-03-01,8.05,8.10,8.00,8.05,2796300.00,
2017-02-28,8.15,8.20,8.05,8.05,1766000.00,
2017-02-27,8.25,8.25,8.10,8.10,3332700.00,
2017-02-24,8.35,8.35,8.10,8.25,7703500.00,
2017-02-23,8.40,8.45,8.25,8.40,6443000.00,
2017-02-22,8.15,8.55,8.10,8.45,27203690.00,
2017-02-21,8.15,8.20,7.90,8.00,5505700.00,
2017-02-20,8.25,8.25,8.05,8.15,3098200.00,
2017-02-17,8.20,8.30,8.10,8.25,2998100.00,
2017-02-16,8.15,8.30,8.10,8.15,7108600.00,
2017-02-15,8.30,8.30,8.05,8.15,11244660.00,
2017-02-14,8.65,8.65,8.20,8.30,9520400.00,
2017-02-10,8.70,8.75,8.60,8.65,2571200.00,
2017-02-09,8.70,8.85,8.50,8.60,13048800.00,
2017-02-08,9.25,9.30,8.60,8.75,16852600.00,
2017-02-07,9.35,9.45,9.15,9.25,2183000.00,
2017-02-06,9.40,9.45,9.25,9.40,1803100.00,
2017-02-03,9.35,9.45,9.15,9.40,3530900.00,
2017-02-02,9.30,9.50,9.30,9.35,3562700.00,
2017-02-01,9.55,9.60,9.30,9.35,7810200.00,
2017-01-31,9.65,9.75,9.45,9.50,10887900.00,
2017-01-30,9.45,9.85,9.45,9.65,17367150.00,
2017-01-27,9.40,9.45,9.25,9.40,11523360.00,
2017-01-26,9.50,9.55,9.30,9.45,16401710.00,
2017-01-25,9.35,9.55,9.30,9.50,42203000.00,
2017-01-24,9.05,9.30,9.00,9.20,29971040.00,
2017-01-23,8.85,9.05,8.80,8.95,12246100.00,
2017-01-20,8.55,8.85,8.55,8.85,9240000.00,
2017-01-19,8.60,8.65,8.50,8.55,3854200.00,
2017-01-18,8.75,8.85,8.60,8.60,5113660.00,
2017-01-17,8.75,8.90,8.70,8.75,3008200.00,
2017-01-16,8.85,8.95,8.75,8.75,3712800.00,
2017-01-13,8.95,9.15,8.85,8.85,14035630.00,
2017-01-12,8.80,9.05,8.75,8.95,15171520.00,
2017-01-11,8.85,8.90,8.70,8.75,12078200.00,
2017-01-10,8.50,8.80,8.50,8.80,11261100.00,
2017-01-09,8.85,8.90,8.55,8.60,9707100.00,
2017-01-06,8.80,9.00,8.75,8.85,10503230.00,
2017-01-05,9.00,9.05,8.65,8.75,13301150.00,
2017-01-04,9.05,9.15,8.90,9.00,10025000.00,
2016-12-30,9.00,9.20,8.90,9.00,12798200.00,
2016-12-29,9.00,9.10,8.95,8.95,13160950.00,
2016-12-28,9.30,9.30,8.85,8.95,36964030.00,
2016-12-27,8.65,9.30,8.60,9.30,64168020.00,
2016-12-26,8.65,8.80,8.55,8.60,8100100.00,
2016-12-23,8.35,8.70,8.35,8.70,16340300.00,
2016-12-22,8.45,8.65,8.30,8.30,15395700.00,
2016-12-21,8.20,8.45,8.20,8.45,15919600.00,
2016-12-20,8.25,8.30,7.95,8.15,194379180.00,
2016-12-19,8.80,8.80,8.40,8.50,16939680.00,
2016-12-16,8.70,8.85,8.55,8.70,11117020.00,
2016-12-15,8.55,8.85,8.55,8.65,22603510.00,
2016-12-14,8.75,8.80,8.55,8.60,33199980.00,
2016-12-13,8.05,8.60,8.05,8.60,31097530.00,
2016-12-09,8.15,8.25,8.00,8.05,7716710.00,
2016-12-08,8.00,8.20,7.90,8.10,13640900.00,
2016-12-07,7.80,8.05,7.75,7.95,8695310.00,
2016-12-06,7.70,7.80,7.70,7.80,1916500.00,
2016-12-02,7.80,7.85,7.60,7.60,2929600.00,
2016-12-01,7.95,7.95,7.75,7.80,3547400.00,
2016-11-30,7.85,7.95,7.80,7.90,1911020.00,
2016-11-29,7.85,8.05,7.80,7.85,6375600.00,
2016-11-28,8.05,8.05,7.80,7.85,5328600.00,
2016-11-25,8.00,8.20,7.95,8.05,6796600.00,
2016-11-24,7.95,8.00,7.85,7.95,1779200.00,
2016-11-23,7.95,8.05,7.85,7.90,3771400.00,
2016-11-22,8.10,8.10,7.85,7.95,5204500.00,
2016-11-21,8.10,8.15,7.85,8.10,15744210.00,
2016-11-18,7.70,8.05,7.70,7.95,7937000.00,
2016-11-17,7.65,7.80,7.60,7.75,2263800.00,
2016-11-16,7.30,7.70,7.30,7.70,1394590.00,
2016-11-15,7.40,7.45,7.30,7.30,1332300.00,
2016-11-14,7.60,7.60,7.40,7.40,746200.00,
2016-11-11,7.75,7.85,7.55,7.60,4756400.00,
2016-11-10,7.65,7.90,7.65,7.80,4917200.00,
2016-11-09,7.55,7.65,7.50,7.65,1733000.00,
2016-11-08,7.75,7.75,7.55,7.65,3170300.00,
2016-11-07,7.50,7.90,7.50,7.65,8890750.00,
2016-11-04,7.55,7.75,7.45,7.50,6017800.00,
2016-11-03,7.35,7.65,7.35,7.45,5514400.00,
2016-11-02,7.40,7.40,7.30,7.35,425800.00,
2016-11-01,7.45,7.45,7.35,7.40,357200.00,
2016-10-31,7.40,7.45,7.30,7.40,408700.00,
2016-10-28,7.40,7.45,7.35,7.35,410000.00,
2016-10-27,7.30,7.45,7.25,7.35,396300.00,
2016-10-26,7.45,7.50,7.35,7.35,2631520.00,
2016-10-25,7.50,7.50,7.35,7.40,953600.00,
2016-10-21,7.40,7.50,7.40,7.45,270300.00,
2016-10-20,7.45,7.55,7.45,7.50,2881940.00,
2016-10-19,7.30,7.40,7.20,7.35,2037200.00,
2016-10-18,7.20,7.30,7.05,7.20,1331500.00,
2016-10-17,7.15,7.40,7.15,7.30,986700.00,
2016-10-14,6.80,7.50,6.65,7.20,4129700.00,
2016-10-13,6.45,6.60,5.90,6.45,6534560.00,
2016-10-12,7.05,7.10,6.00,6.45,5000000.00,
2016-10-11,7.15,7.20,7.05,7.15,1271510.00,
2016-10-10,7.00,7.20,7.00,7.10,3455200.00,
2016-10-07,7.55,7.65,7.55,7.60,1006900.00,
2016-10-06,7.65,7.65,7.55,7.60,699100.00,
2016-10-05,7.75,7.75,7.55,7.60,1141300.00,
2016-10-04,7.60,7.75,7.55,7.70,2791900.00,
2016-10-03,7.60,7.60,7.50,7.55,741900.00,
2016-09-30,7.60,7.60,7.50,7.55,1812500.00,
2016-09-29,7.60,7.65,7.50,7.55,674970.00,
2016-09-28,7.60,7.60,7.45,7.55,1982200.00,
2016-09-27,7.50,7.60,7.50,7.55,2036400.00,
2016-09-26,7.40,7.55,7.35,7.50,1143100.00,
2016-09-23,7.50,7.50,7.40,7.40,1987400.00,
2016-09-22,7.45,7.55,7.40,7.50,2229700.00,
2016-09-21,7.35,7.50,7.35,7.40,2492100.00,
2016-09-20,7.45,7.50,7.35,7.35,1978400.00,
2016-09-19,7.40,7.50,7.35,7.45,982910.00,
2016-09-16,7.55,7.65,7.40,7.45,2104600.00,
2016-09-15,7.45,7.65,7.40,7.55,7741900.00,
2016-09-14,7.30,7.45,7.30,7.45,1059200.00,
2016-09-13,7.30,7.40,7.30,7.35,4378830.00,
2016-09-12,7.15,7.30,6.95,7.20,5126800.00,
2016-09-09,7.40,7.60,7.40,7.50,14257600.00,
