Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,1.98,2.02,1.97,2.00,118810050.00,
2017-03-02,1.98,1.98,1.96,1.97,32234390.00,
2017-03-01,1.94,1.98,1.90,1.98,134027410.00,
2017-02-28,1.96,1.98,1.87,1.94,245782300.00,
2017-02-27,1.99,2.00,1.95,1.96,78291690.00,
2017-02-24,1.98,2.04,1.96,2.00,157352120.00,
2017-02-23,1.98,1.98,1.95,1.97,40213490.00,
2017-02-22,1.97,1.99,1.96,1.98,39604750.00,
2017-02-21,1.98,2.00,1.96,1.96,59258490.00,
2017-02-20,1.98,1.99,1.96,1.98,39826540.00,
2017-02-17,1.99,2.00,1.96,1.98,74555170.00,
2017-02-16,1.93,2.00,1.92,2.00,223447160.00,
2017-02-15,1.97,1.97,1.90,1.92,114069360.00,
2017-02-14,1.95,1.98,1.94,1.97,165209050.00,
2017-02-10,1.95,1.96,1.92,1.93,74954100.00,
2017-02-09,1.96,1.96,1.93,1.94,66936240.00,
2017-02-08,1.92,1.96,1.91,1.95,252576660.00,
2017-02-07,1.89,1.94,1.88,1.91,296007240.00,
2017-02-06,1.86,1.88,1.85,1.88,59773630.00,
2017-02-03,1.83,1.85,1.82,1.84,39215400.00,
2017-02-02,1.87,1.87,1.82,1.84,78522540.00,
2017-02-01,1.88,1.88,1.84,1.86,47244860.00,
2017-01-31,1.87,1.88,1.85,1.87,35920620.00,
2017-01-30,1.86,1.89,1.85,1.87,42489830.00,
2017-01-27,1.85,1.87,1.83,1.85,44332530.00,
2017-01-26,1.88,1.89,1.83,1.85,53342580.00,
2017-01-25,1.90,1.90,1.86,1.86,70184470.00,
2017-01-24,1.90,1.92,1.88,1.89,152964580.00,
2017-01-23,1.86,1.90,1.85,1.88,176262490.00,
2017-01-20,1.80,1.84,1.79,1.84,54345030.00,
2017-01-19,1.82,1.83,1.79,1.80,75333040.00,
2017-01-18,1.85,1.87,1.82,1.82,118845030.00,
2017-01-17,1.80,1.85,1.80,1.85,99876300.00,
2017-01-16,1.80,1.81,1.79,1.79,24298590.00,
2017-01-13,1.81,1.82,1.80,1.80,40375040.00,
2017-01-12,1.81,1.82,1.79,1.81,42940890.00,
2017-01-11,1.79,1.84,1.79,1.81,150138200.00,
2017-01-10,1.74,1.80,1.73,1.80,142929720.00,
2017-01-09,1.70,1.73,1.69,1.73,58526740.00,
2017-01-06,1.69,1.71,1.69,1.70,56844530.00,
2017-01-05,1.71,1.72,1.67,1.69,74031500.00,
2017-01-04,1.67,1.71,1.66,1.69,89148280.00,
2016-12-30,1.67,1.67,1.66,1.66,19588500.00,
2016-12-29,1.66,1.67,1.65,1.66,21139200.00,
2016-12-28,1.64,1.67,1.64,1.66,31478700.00,
2016-12-27,1.64,1.65,1.63,1.65,11492090.00,
2016-12-26,1.64,1.65,1.63,1.64,14499230.00,
2016-12-23,1.64,1.64,1.63,1.63,4187750.00,
2016-12-22,1.63,1.64,1.62,1.63,12650250.00,
2016-12-21,1.64,1.64,1.62,1.63,12726440.00,
2016-12-20,1.64,1.65,1.62,1.63,30660150.00,
2016-12-19,1.65,1.65,1.62,1.63,34994850.00,
2016-12-16,1.64,1.65,1.63,1.65,18032470.00,
2016-12-15,1.64,1.65,1.63,1.64,10172690.00,
2016-12-14,1.63,1.65,1.62,1.63,33544870.00,
2016-12-13,1.65,1.66,1.63,1.63,20064270.00,
2016-12-09,1.66,1.67,1.65,1.65,27018160.00,
2016-12-08,1.66,1.67,1.65,1.66,17635610.00,
2016-12-07,1.63,1.67,1.62,1.67,38227000.00,
2016-12-06,1.64,1.64,1.62,1.62,16103420.00,
2016-12-02,1.64,1.65,1.62,1.63,16301820.00,
2016-12-01,1.63,1.65,1.63,1.64,20470360.00,
2016-11-30,1.64,1.65,1.62,1.63,54785720.00,
2016-11-29,1.64,1.65,1.63,1.64,17542760.00,
2016-11-28,1.64,1.65,1.63,1.63,17730750.00,
2016-11-25,1.63,1.65,1.63,1.64,9535340.00,
2016-11-24,1.63,1.65,1.62,1.63,21134720.00,
2016-11-23,1.63,1.64,1.63,1.64,9196150.00,
2016-11-22,1.63,1.65,1.62,1.64,38732660.00,
2016-11-21,1.62,1.64,1.62,1.63,15551940.00,
2016-11-18,1.64,1.64,1.61,1.62,27940800.00,
2016-11-17,1.66,1.66,1.62,1.65,59718860.00,
2016-11-16,1.68,1.68,1.65,1.67,25579210.00,
2016-11-15,1.67,1.67,1.65,1.67,23800080.00,
2016-11-14,1.68,1.68,1.65,1.66,32631340.00,
2016-11-11,1.68,1.69,1.67,1.69,30012220.00,
2016-11-10,1.69,1.69,1.67,1.68,16335480.00,
2016-11-09,1.67,1.68,1.66,1.68,22301700.00,
2016-11-08,1.68,1.69,1.67,1.67,24722120.00,
2016-11-07,1.67,1.68,1.66,1.68,24056040.00,
2016-11-04,1.67,1.68,1.66,1.67,33247050.00,
2016-11-03,1.67,1.70,1.66,1.67,62985250.00,
2016-11-02,1.66,1.67,1.65,1.66,32794990.00,
2016-11-01,1.67,1.68,1.65,1.66,59999660.00,
2016-10-31,1.69,1.70,1.66,1.66,52971660.00,
2016-10-28,1.71,1.72,1.67,1.68,66104540.00,
2016-10-27,1.74,1.76,1.70,1.72,52577400.00,
2016-10-26,1.74,1.76,1.73,1.75,40228180.00,
2016-10-25,1.74,1.74,1.71,1.74,46093290.00,
2016-10-21,1.69,1.73,1.68,1.73,48322590.00,
2016-10-20,1.70,1.72,1.68,1.69,41256900.00,
2016-10-19,1.69,1.71,1.69,1.69,26208290.00,
2016-10-18,1.70,1.72,1.68,1.70,40781560.00,
2016-10-17,1.68,1.70,1.67,1.69,20695740.00,
2016-10-14,1.64,1.70,1.62,1.67,162491880.00,
2016-10-13,1.59,1.61,1.54,1.57,124582230.00,
2016-10-12,1.65,1.65,1.50,1.60,192974950.00,
2016-10-11,1.69,1.71,1.65,1.66,69867820.00,
2016-10-10,1.69,1.72,1.68,1.68,113187070.00,
2016-10-07,1.77,1.78,1.75,1.76,27889360.00,
2016-10-06,1.75,1.78,1.75,1.76,37376750.00,
2016-10-05,1.73,1.77,1.73,1.75,47676350.00,
2016-10-04,1.74,1.75,1.72,1.73,41640450.00,
2016-10-03,1.75,1.76,1.73,1.73,11888260.00,
